model,accuracy,precision_macro,recall_macro,f1_macro,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,auc
10_text_only,0.8738898756660746,0.874841643863383,0.8734884249324683,0.8736970156563502,0.8595317725752508,0.8986013986013986,0.8786324786324786,0.8901515151515151,0.8483754512635379,0.8687615526802218,0.9420994168286587
11_rgb_pose_velo_text_no_lora_with_soft,0.9360568383658969,0.9360202433237417,0.9360972962055994,0.9360469519121545,0.9401408450704225,0.9335664335664335,0.9368421052631579,0.931899641577061,0.9386281588447654,0.935251798561151,0.9795574461639444
12_rgb_pose_no_velo_lora,0.9253996447602132,0.9253867898336741,0.9254941809093433,0.925393760411934,0.9326241134751773,0.9195804195804196,0.926056338028169,0.9181494661921709,0.9314079422382672,0.9247311827956989,0.9745399005326802
13_rgb_lora,0.91651865008881,0.9176358062227628,0.9161280957309839,0.9163909821950487,0.8996655518394648,0.9405594405594405,0.9196581196581196,0.9356060606060606,0.8916967509025271,0.9131238447319778,0.9774683799954558
14_rgb_pose_velo_lora,0.9236234458259325,0.9235895494131011,0.9236323243543461,0.9236080213313138,0.9263157894736842,0.9230769230769231,0.9246935201401051,0.920863309352518,0.924187725631769,0.9225225225225225,0.9745777688015955
15_rgb_text_soft_lora,0.91651865008881,0.9183485656257934,0.9160144909242383,0.9163402288384505,0.8943894389438944,0.9475524475524476,0.9202037351443124,0.9423076923076923,0.8844765342960289,0.9124767225325885,0.9762313498775592
16_pose_no_velo_text_soft_lora,0.8472468916518651,0.8479128764908026,0.8476054631289289,0.8472348427482457,0.8676470588235294,0.8251748251748252,0.8458781362007168,0.8281786941580757,0.8700361010830325,0.8485915492957746,0.9170432455631012
17_pose_velo_text_soft_lora,0.8472468916518651,0.8479128764908026,0.8476054631289289,0.8472348427482457,0.8676470588235294,0.8251748251748252,0.8458781362007168,0.8281786941580757,0.8700361010830325,0.8485915492957746,0.9170432455631012
18_rgb_pose_velo_text_lora,0.9360568383658969,0.9360202433237417,0.9360972962055994,0.9360469519121545,0.9401408450704225,0.9335664335664335,0.9368421052631579,0.931899641577061,0.9386281588447654,0.935251798561151,0.9805672666683498
19_rgb_text_lora,0.9271758436944938,0.9283343468126077,0.9267880134306127,0.9270644738297233,0.9096989966555183,0.951048951048951,0.9299145299145299,0.946969696969697,0.9025270758122743,0.9242144177449169,0.9826942011057535
6_rgb_pose_no_velo_text_soft_lora,0.9325044404973357,0.9335545443053975,0.9329416071293328,0.9324940047961631,0.9592592592592593,0.9055944055944056,0.9316546762589928,0.9078498293515358,0.9602888086642599,0.9333333333333333,0.9770455176592361
8_rgb_pose_velo_text,0.9342806394316163,0.9342503785966684,0.9343490444573477,0.9342731744564309,0.9399293286219081,0.9300699300699301,0.9349736379613357,0.9285714285714286,0.9386281588447654,0.933572710951526,0.980264320517028
9_text_with_soft,0.8632326820603907,0.8638958507379559,0.8628853096362121,0.8630598700441294,0.8518518518518519,0.8846153846153846,0.8679245283018868,0.8759398496240601,0.8411552346570397,0.858195211786372,0.9338946252303654
model18_test_on_hockey_dataset_only,0.93,0.9343434343434343,0.9299999999999999,0.9298245614035088,0.9777777777777777,0.88,0.9263157894736842,0.8909090909090909,0.98,0.9333333333333333,0.9813999999999999
model18_test_on_rlvs_dataset_only,0.95,0.9507211538461539,0.95,0.9499799919967987,0.9326923076923077,0.97,0.9509803921568627,0.96875,0.93,0.9489795918367347,0.9865499999999999
model18_test_on_rwf_dataset_only,0.9494949494949495,0.9494897959183674,0.9494897959183674,0.9494897959183674,0.9489795918367347,0.9489795918367347,0.9489795918367347,0.95,0.95,0.95,0.9857142857142858
model18_test_on_ubi_dataset_only,0.93,0.9343434343434343,0.9299999999999999,0.9298245614035088,0.9777777777777777,0.88,0.9263157894736842,0.8909090909090909,0.98,0.9333333333333333,0.9813999999999999
