model,accuracy,precision_macro,recall_macro,f1_macro,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,auc
tvr,0.97,0.9719626168224299,0.9696969696969697,0.9699519230769231,1.0,0.9393939393939394,0.96875,0.9439252336448598,1.0,0.9711538461538461,0.6873062306230624
pose_fusion_ce_tvr,0.9625,0.9626641651031895,0.9624212421242124,0.9624885121068327,0.9692307692307692,0.9545454545454546,0.9618320610687023,0.9560975609756097,0.9702970297029703,0.9631449631449631,0.7322982298229823
rgb_pose_ablation,0.9925,0.9925373134328358,0.9925742574257426,0.992499953124707,0.9850746268656716,1.0,0.9924812030075187,1.0,0.9851485148514851,0.9925187032418953,0.6863186318631863
fl_tvr,0.98,0.9802822540286258,0.9798979897989799,0.9799919967987194,0.9896907216494846,0.9696969696969697,0.9795918367346939,0.970873786407767,0.9900990099009901,0.9803921568627451,0.6945194519451947
rlvs_ce_loss,0.97,0.9702732459213292,0.9698969896989699,0.9699879951980792,0.979381443298969,0.9595959595959596,0.9693877551020408,0.9611650485436893,0.9801980198019802,0.9705882352941176,0.8323082308230823
baseline,0.9025,0.9066449708620299,0.903015301530153,0.9023235719518381,0.863013698630137,0.9545454545454546,0.9064748201438849,0.9502762430939227,0.8514851485148515,0.8981723237597912,0.24457445744574458
rlvs_focal,0.9725,0.9732332974272903,0.9723222322232223,0.9724791873854604,0.9895287958115183,0.9545454545454546,0.9717223650385605,0.9569377990430622,0.9900990099009901,0.9732360097323601,0.6995449544954495
dynamic_rgb,0.97,0.9705735161645481,0.9701970197019703,0.96999699969997,0.9514563106796117,0.98989898989899,0.9702970297029703,0.9896907216494846,0.9504950495049505,0.9696969696969697,0.7580383038303832
ce_fl,0.9775,0.9779104402893544,0.9773727372737273,0.9774886036055753,0.9896373056994818,0.9646464646464646,0.9769820971867008,0.966183574879227,0.9900990099009901,0.9779951100244498,0.7334858485848585
ce_tvr,0.9675,0.9691571891240491,0.9672217221722172,0.9674542325144735,0.9946524064171123,0.9393939393939394,0.9662337662337662,0.9436619718309859,0.995049504950495,0.9686746987951808,0.8095934593459346
