epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,51.93345,0.58096,0.00099,38.28/755.17G,21.61G
17/215,57.05935,0.55109,0.00098,45.72/755.17G,21.61G
18/215,65.60252,0.48727,0.00098,41.52/755.17G,23.20G
19/215,74.23561,0.41399,0.00098,41.10/755.17G,24.78G
20/215,77.69784,0.37234,0.00098,41.66/755.17G,24.78G
21/215,79.38399,0.35052,0.00098,41.23/755.17G,24.79G
22/215,78.95683,0.347,0.00097,41.67/755.17G,24.79G
23/215,80.30576,0.33401,0.00097,42.03/755.17G,24.79G
24/215,77.67536,0.36214,0.00097,40.97/755.17G,24.79G
25/215,78.86691,0.35096,0.00097,41.61/755.17G,24.79G
26/215,78.14748,0.35383,0.00096,41.36/755.17G,24.79G
27/215,80.93525,0.31915,0.00096,41.31/755.17G,24.79G
28/215,82.41906,0.30054,0.00096,43.34/755.17G,24.79G
29/215,81.58723,0.30893,0.00096,43.33/755.17G,24.79G
30/215,81.85701,0.3064,0.00095,43.01/755.17G,24.79G
31/215,83.38579,0.2783,0.00095,43.21/755.17G,24.79G
32/215,83.58813,0.28134,0.00095,43.60/755.17G,24.79G
33/215,84.15018,0.27595,0.00094,42.80/755.17G,24.79G
34/215,84.01529,0.27709,0.00094,43.05/755.17G,24.79G
35/215,85.2518,0.25575,0.00094,43.19/755.17G,24.79G
36/215,85.31924,0.25889,0.00093,43.29/755.17G,24.79G
37/215,85.04946,0.25166,0.00093,43.32/755.17G,24.79G
38/215,86.06115,0.24553,0.00092,43.30/755.17G,24.79G
39/215,86.33094,0.24343,0.00092,43.08/755.17G,24.79G
40/215,86.55576,0.23821,0.00092,43.44/755.17G,24.79G
41/215,85.81385,0.23929,0.00091,44.10/755.17G,24.79G
42/215,87.07284,0.22879,0.00091,43.07/755.17G,24.79G
43/215,87.76978,0.22372,0.0009,43.36/755.17G,24.79G
44/215,87.34263,0.22202,0.0009,42.83/755.17G,24.79G
45/215,86.42086,0.23306,0.0009,43.25/755.17G,24.79G
46/215,88.06205,0.21005,0.00089,43.19/755.17G,24.79G
47/215,87.32014,0.2193,0.00089,43.48/755.17G,24.79G
48/215,87.92716,0.21252,0.00088,43.51/755.17G,24.79G
49/215,88.1295,0.2012,0.00088,43.16/755.17G,24.79G
50/215,89.16367,0.19237,0.00087,43.60/755.17G,24.79G
51/215,88.51169,0.20588,0.00087,43.34/755.17G,24.79G
52/215,88.78147,0.20206,0.00086,43.35/755.17G,24.79G
53/215,89.16367,0.19231,0.00086,43.16/755.17G,24.79G
54/215,88.8714,0.19729,0.00085,43.19/755.17G,24.79G
55/215,88.66906,0.19145,0.00085,43.14/755.17G,24.79G
56/215,89.38849,0.18699,0.00084,43.48/755.17G,24.79G
57/215,89.32104,0.18755,0.00084,43.21/755.17G,24.79G
58/215,90.28777,0.17405,0.00083,43.22/755.17G,24.79G
59/215,89.88309,0.18484,0.00083,43.32/755.17G,24.79G
60/215,89.97302,0.1853,0.00082,43.56/755.17G,24.79G
61/215,90.17536,0.17963,0.00081,44.02/755.17G,24.79G
62/215,90.82734,0.16574,0.00081,44.53/755.17G,24.79G
63/215,90.44514,0.17397,0.0008,43.80/755.17G,24.79G
64/215,89.79317,0.1837,0.0008,44.30/755.17G,24.79G
65/215,91.14209,0.16534,0.00079,44.22/755.17G,24.79G
66/215,90.91727,0.16316,0.00078,43.88/755.17G,24.79G
67/215,91.5018,0.16085,0.00078,44.03/755.17G,24.79G
68/215,91.29946,0.16096,0.00077,43.71/755.17G,24.79G
69/215,91.56924,0.16144,0.00077,43.72/755.17G,24.79G
70/215,91.36691,0.15237,0.00076,44.50/755.17G,24.79G
71/215,91.43435,0.15922,0.00075,43.90/755.17G,24.79G
72/215,90.91727,0.16587,0.00075,43.97/755.17G,24.79G
73/215,91.68165,0.15655,0.00074,43.95/755.17G,24.79G
74/215,91.52428,0.15588,0.00074,44.45/755.17G,24.79G
75/215,92.33363,0.1466,0.00073,43.84/755.17G,24.79G
76/215,91.23201,0.1588,0.00072,43.51/755.17G,24.79G
77/215,92.26619,0.14457,0.00072,43.93/755.17G,24.79G
78/215,91.88399,0.15336,0.00071,43.38/755.17G,24.79G
79/215,92.04137,0.14929,0.0007,44.59/755.17G,24.79G
80/215,92.33363,0.1464,0.0007,43.94/755.17G,24.79G
81/215,92.13129,0.14968,0.00069,44.13/755.17G,24.79G
82/215,92.51349,0.14545,0.00068,44.52/755.17G,24.79G
83/215,92.26619,0.146,0.00068,44.64/755.17G,24.79G
84/215,92.60342,0.14431,0.00067,44.28/755.17G,24.79G
85/215,92.73831,0.14735,0.00066,44.14/755.17G,24.79G
86/215,92.67086,0.13526,0.00065,44.74/755.17G,24.79G
87/215,92.78327,0.13863,0.00065,44.21/755.17G,24.79G
88/215,92.89568,0.13296,0.00064,44.17/755.17G,24.79G
89/215,93.07554,0.13141,0.00063,44.33/755.17G,24.79G
90/215,93.32284,0.13206,0.00063,43.88/755.17G,24.79G
91/215,93.23291,0.1337,0.00062,44.12/755.17G,24.79G
92/215,92.89568,0.13876,0.00061,44.06/755.17G,24.79G
93/215,93.45773,0.12884,0.00061,44.43/755.17G,24.79G
94/215,93.21043,0.13203,0.0006,44.32/755.17G,24.79G
