epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,54.78867,0.56399,0.00099,28.48/111.30G,1.52G
17/215,58.67806,0.53973,0.00098,41.64/111.30G,1.52G
18/215,61.71313,0.5197,0.00098,52.22/111.30G,1.53G
19/215,61.89299,0.51317,0.00098,62.16/111.30G,1.53G
20/215,62.61241,0.51224,0.00098,71.63/111.30G,1.53G
21/215,63.06205,0.50595,0.00098,75.06/111.30G,1.53G
22/215,63.98381,0.49948,0.00097,74.87/111.30G,1.53G
23/215,63.71403,0.49871,0.00097,75.35/111.30G,1.53G
24/215,64.41097,0.49712,0.00097,74.52/111.30G,1.53G
25/215,64.77068,0.4922,0.00097,75.43/111.30G,1.53G
26/215,64.70324,0.49277,0.00096,10.16/111.30G,1.53G
27/215,64.2536,0.49559,0.00096,10.43/111.30G,1.53G
28/215,65.55755,0.48881,0.00096,10.53/111.30G,1.53G
29/215,64.32104,0.49289,0.00096,10.68/111.30G,1.53G
30/215,64.63579,0.49138,0.00095,10.77/111.30G,1.53G
31/215,64.81565,0.48912,0.00095,10.40/111.30G,1.53G
32/215,65.66996,0.4863,0.00095,11.00/111.30G,1.53G
33/215,65.53507,0.48906,0.00094,11.28/111.30G,1.53G
34/215,65.84982,0.48656,0.00094,10.52/111.30G,1.53G
35/215,65.84982,0.48563,0.00094,10.13/111.30G,1.53G
36/215,66.18705,0.47713,0.00093,11.08/111.30G,1.53G
37/215,65.75989,0.4869,0.00093,11.22/111.30G,1.53G
38/215,66.29946,0.47875,0.00092,10.39/111.30G,1.53G
39/215,65.69245,0.48083,0.00092,10.99/111.30G,1.53G
40/215,65.44514,0.48296,0.00092,10.73/111.30G,1.53G
41/215,66.00719,0.48295,0.00091,10.45/111.30G,1.53G
42/215,67.15378,0.47216,0.00091,10.54/111.30G,1.53G
43/215,66.70414,0.47298,0.0009,11.44/111.30G,1.53G
44/215,66.34442,0.47716,0.0009,11.15/111.30G,1.53G
45/215,66.56924,0.47935,0.0009,11.42/111.30G,1.53G
46/215,66.45683,0.47897,0.00089,12.09/111.30G,1.53G
47/215,66.56924,0.48098,0.00089,10.92/111.30G,1.53G
48/215,67.08633,0.4679,0.00088,10.79/111.30G,1.53G
49/215,66.34442,0.47814,0.00088,11.38/111.30G,1.53G
50/215,67.19874,0.47239,0.00087,10.89/111.30G,1.53G
51/215,67.10881,0.47376,0.00087,11.36/111.30G,1.53G
52/215,66.72662,0.4748,0.00086,10.57/111.30G,1.53G
53/215,66.72662,0.47009,0.00086,11.73/111.30G,1.53G
54/215,66.9964,0.47051,0.00085,11.11/111.30G,1.53G
55/215,67.3786,0.466,0.00085,10.76/111.30G,1.53G
56/215,67.73831,0.46663,0.00084,10.59/111.30G,1.53G
57/215,68.72752,0.46359,0.00084,11.24/111.30G,1.53G
58/215,67.42356,0.46806,0.00083,11.01/111.30G,1.53G
59/215,67.73831,0.46612,0.00083,11.19/111.30G,1.53G
60/215,67.78327,0.46396,0.00082,11.53/111.30G,1.53G
61/215,67.80576,0.4659,0.00081,10.71/111.30G,1.53G
62/215,67.31115,0.46518,0.00081,10.89/111.30G,1.53G
63/215,67.8732,0.46647,0.0008,11.16/111.30G,1.53G
64/215,68.34532,0.45775,0.0008,10.42/111.30G,1.53G
65/215,67.33363,0.46838,0.00079,11.30/111.30G,1.53G
66/215,68.03058,0.46081,0.00078,11.34/111.30G,1.53G
67/215,67.73831,0.46362,0.00078,11.06/111.30G,1.53G
68/215,67.8732,0.46089,0.00077,11.12/111.30G,1.53G
69/215,68.36781,0.45926,0.00077,11.39/111.30G,1.53G
70/215,68.48022,0.46144,0.00076,10.76/111.30G,1.53G
71/215,69.2446,0.45411,0.00075,10.73/111.30G,1.53G
72/215,68.68255,0.45845,0.00075,11.04/111.30G,1.53G
73/215,69.10971,0.45429,0.00074,11.10/111.30G,1.53G
74/215,68.39029,0.45854,0.00074,11.11/111.30G,1.53G
75/215,68.16547,0.45865,0.00073,10.98/111.30G,1.53G
76/215,68.92986,0.45351,0.00072,10.88/111.30G,1.53G
77/215,69.04227,0.45514,0.00072,11.87/111.30G,1.53G
78/215,67.96313,0.45855,0.00071,10.75/111.30G,1.53G
79/215,68.48022,0.45593,0.0007,10.86/111.30G,1.53G
80/215,68.88489,0.45355,0.0007,11.28/111.30G,1.53G
81/215,68.48022,0.45995,0.00069,11.06/111.30G,1.53G
82/215,69.51439,0.45496,0.00068,10.89/111.30G,1.53G
83/215,68.66007,0.45352,0.00068,10.74/111.30G,1.53G
84/215,69.3795,0.45352,0.00067,12.43/111.30G,1.53G
85/215,69.19964,0.45326,0.00066,11.31/111.30G,1.53G
86/215,69.28957,0.4512,0.00065,10.78/111.30G,1.53G
87/215,69.19964,0.44942,0.00065,11.16/111.30G,1.53G
88/215,68.75,0.4533,0.00064,10.89/111.30G,1.53G
89/215,69.19964,0.45127,0.00063,11.09/111.30G,1.53G
90/215,69.46942,0.45158,0.00063,11.20/111.30G,1.53G
91/215,68.63759,0.45215,0.00062,10.80/111.30G,1.53G
92/215,69.31205,0.44836,0.00061,13.19/111.30G,1.53G
93/215,69.60432,0.44829,0.00061,12.83/111.30G,1.53G
94/215,68.63759,0.44984,0.0006,13.05/111.30G,1.53G
95/215,69.44694,0.44868,0.00059,12.81/111.30G,1.53G
96/215,68.88489,0.45108,0.00058,12.80/111.30G,1.53G
97/215,69.51439,0.44723,0.00058,14.45/111.30G,1.53G
98/215,69.76169,0.45008,0.00057,13.94/111.30G,1.53G
