epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,52.04586,0.58763,0.00099,65.97/755.17G,21.35G
17/215,56.99191,0.54717,0.00098,66.82/755.17G,22.69G
18/215,67.31115,0.48743,0.00098,67.32/755.17G,24.02G
19/215,72.84173,0.43308,0.00098,66.48/755.17G,24.02G
20/215,74.07824,0.41769,0.00098,67.11/755.17G,24.02G
21/215,75.67446,0.39544,0.00098,67.12/755.17G,24.02G
22/215,76.64119,0.37706,0.00097,67.27/755.17G,24.02G
23/215,78.52968,0.35231,0.00097,67.20/755.17G,24.02G
24/215,76.88849,0.37451,0.00097,66.72/755.17G,24.02G
25/215,78.91187,0.34923,0.00097,66.59/755.17G,24.02G
26/215,79.09173,0.33873,0.00096,66.54/755.17G,24.02G
27/215,81.09263,0.32207,0.00096,66.83/755.17G,24.02G
28/215,82.03687,0.30467,0.00096,66.87/755.17G,24.02G
29/215,82.19424,0.30915,0.00096,66.70/755.17G,24.02G
30/215,81.36241,0.31263,0.00095,66.77/755.17G,24.02G
31/215,82.55396,0.29415,0.00095,67.01/755.17G,24.02G
32/215,82.32914,0.29014,0.00095,66.51/755.17G,24.02G
33/215,83.63309,0.28707,0.00094,67.67/755.17G,24.02G
34/215,84.06025,0.26996,0.00094,66.71/755.17G,24.02G
35/215,84.375,0.26834,0.00094,66.87/755.17G,24.02G
36/215,84.89209,0.26947,0.00093,66.87/755.17G,24.02G
37/215,85.04946,0.26078,0.00093,66.64/755.17G,24.02G
38/215,85.45414,0.24779,0.00092,67.34/755.17G,24.02G
39/215,84.93705,0.2557,0.00092,67.46/755.17G,24.02G
40/215,85.90378,0.24337,0.00092,66.90/755.17G,24.02G
41/215,85.76888,0.24742,0.00091,67.16/755.17G,24.02G
42/215,86.39838,0.23987,0.00091,67.19/755.17G,24.02G
43/215,86.48831,0.23316,0.0009,67.60/755.17G,24.02G
44/215,85.97122,0.23876,0.0009,67.33/755.17G,24.02G
45/215,87.47752,0.22684,0.0009,67.39/755.17G,24.02G
46/215,87.85971,0.22334,0.00089,66.69/755.17G,24.02G
47/215,86.42086,0.23442,0.00089,67.30/755.17G,24.02G
48/215,87.5,0.22482,0.00088,67.23/755.17G,24.02G
49/215,87.90468,0.2209,0.00088,67.52/755.17G,24.02G
50/215,86.33094,0.23631,0.00087,67.34/755.17G,24.02G
51/215,85.85881,0.23991,0.00087,67.59/755.17G,24.02G
52/215,88.15198,0.20938,0.00086,69.36/755.17G,24.02G
53/215,87.79227,0.21405,0.00086,70.00/755.17G,24.02G
54/215,87.76978,0.21713,0.00085,70.20/755.17G,24.02G
55/215,88.06205,0.20403,0.00085,70.06/755.17G,24.02G
56/215,89.07374,0.1964,0.00084,70.09/755.17G,24.02G
57/215,90.33273,0.17926,0.00084,69.97/755.17G,24.02G
58/215,88.44424,0.20324,0.00083,69.68/755.17G,24.02G
