epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,53.19245,0.56877,0.00099,67.35/755.17G,1.78G
17/215,57.05935,0.5465,0.00098,70.16/755.17G,1.78G
18/215,59.375,0.53401,0.00098,75.76/755.17G,2.04G
19/215,61.93795,0.52013,0.00098,75.55/755.17G,2.04G
20/215,61.53327,0.51631,0.00098,75.64/755.17G,2.04G
21/215,63.15198,0.50875,0.00098,75.39/755.17G,2.04G
22/215,64.00629,0.50458,0.00097,77.36/755.17G,2.04G
23/215,63.80396,0.50287,0.00097,77.59/755.17G,2.04G
24/215,63.10701,0.50484,0.00097,77.05/755.17G,2.04G
25/215,63.84892,0.50216,0.00097,76.85/755.17G,2.04G
26/215,64.45594,0.4936,0.00096,77.28/755.17G,2.04G
27/215,64.07374,0.49604,0.00096,77.06/755.17G,2.04G
28/215,63.46673,0.49368,0.00096,76.46/755.17G,2.04G
29/215,63.80396,0.49535,0.00096,75.22/755.17G,2.04G
30/215,65.51259,0.49388,0.00095,77.22/755.17G,2.04G
31/215,65.42266,0.49052,0.00095,75.23/755.17G,2.04G
32/215,65.73741,0.4856,0.00095,78.25/755.17G,2.04G
33/215,65.24281,0.48904,0.00094,76.32/755.17G,2.04G
34/215,66.07464,0.48538,0.00094,77.20/755.17G,2.04G
35/215,65.73741,0.48386,0.00094,76.33/755.17G,2.04G
36/215,64.70324,0.49225,0.00093,77.10/755.17G,2.04G
37/215,66.09712,0.48284,0.00093,77.24/755.17G,2.04G
38/215,65.96223,0.48428,0.00092,76.76/755.17G,2.04G
39/215,66.47932,0.48062,0.00092,76.15/755.17G,2.04G
40/215,66.36691,0.48685,0.00092,87.89/755.17G,2.04G
41/215,64.65827,0.48529,0.00091,70.09/755.17G,2.04G
42/215,65.82734,0.48191,0.00091,73.31/755.17G,2.04G
43/215,66.2545,0.48,0.0009,73.30/755.17G,2.04G
44/215,66.56924,0.47513,0.0009,72.21/755.17G,2.04G
45/215,66.72662,0.4807,0.0009,72.88/755.17G,2.04G
46/215,66.23201,0.47702,0.00089,72.71/755.17G,2.04G
47/215,66.56924,0.48137,0.00089,73.91/755.17G,2.04G
48/215,67.76079,0.47011,0.00088,72.28/755.17G,2.04G
49/215,67.69335,0.47414,0.00088,72.96/755.17G,2.04G
50/215,67.71583,0.47148,0.00087,72.19/755.17G,2.04G
51/215,67.04137,0.47764,0.00087,70.53/755.17G,2.04G
52/215,66.65917,0.47547,0.00086,72.82/755.17G,2.04G
53/215,67.28867,0.47206,0.00086,73.12/755.17G,2.04G
54/215,67.60342,0.46826,0.00085,72.56/755.17G,2.04G
55/215,67.35612,0.46979,0.00085,71.46/755.17G,2.04G
56/215,67.80576,0.4666,0.00084,72.96/755.17G,2.04G
57/215,67.26619,0.46984,0.00084,72.64/755.17G,2.04G
58/215,66.61421,0.47295,0.00083,72.66/755.17G,2.04G
59/215,67.96313,0.46592,0.00083,72.56/755.17G,2.04G
60/215,67.55845,0.46493,0.00082,72.40/755.17G,2.04G
61/215,67.04137,0.47003,0.00081,72.26/755.17G,2.04G
62/215,67.96313,0.46233,0.00081,72.75/755.17G,2.04G
63/215,68.23291,0.46252,0.0008,73.59/755.17G,2.04G
64/215,67.82824,0.46779,0.0008,72.96/755.17G,2.04G
65/215,68.36781,0.46358,0.00079,71.91/755.17G,2.04G
66/215,68.2554,0.46618,0.00078,72.85/755.17G,2.04G
67/215,67.60342,0.46217,0.00078,72.29/755.17G,2.04G
68/215,68.14299,0.46707,0.00077,73.05/755.17G,2.04G
69/215,68.05306,0.46484,0.00077,73.10/755.17G,2.04G
70/215,67.98561,0.46515,0.00076,74.58/755.17G,2.04G
71/215,68.27788,0.46256,0.00075,74.11/755.17G,2.04G
72/215,68.48022,0.46322,0.00075,73.71/755.17G,2.04G
73/215,68.70504,0.4585,0.00074,74.51/755.17G,2.04G
74/215,68.09802,0.46508,0.00074,71.88/755.17G,2.04G
75/215,68.59263,0.45779,0.00073,73.48/755.17G,2.04G
76/215,68.07554,0.46126,0.00072,73.29/755.17G,2.04G
77/215,67.89568,0.46176,0.00072,73.47/755.17G,2.04G
78/215,69.35701,0.45551,0.00071,72.48/755.17G,2.04G
79/215,69.33453,0.45389,0.0007,74.03/755.17G,2.04G
80/215,68.48022,0.46151,0.0007,74.46/755.17G,2.04G
81/215,70.05396,0.45636,0.00069,72.72/755.17G,2.04G
82/215,69.55935,0.45416,0.00068,73.16/755.17G,2.04G
83/215,68.77248,0.45568,0.00068,73.26/755.17G,2.04G
84/215,68.61511,0.45669,0.00067,72.36/755.17G,2.04G
85/215,68.90737,0.45822,0.00066,74.68/755.17G,2.04G
86/215,68.72752,0.45528,0.00065,74.24/755.17G,2.04G
87/215,69.76169,0.44853,0.00065,73.99/755.17G,2.04G
88/215,68.81745,0.45626,0.00064,73.34/755.17G,2.04G
89/215,69.51439,0.4493,0.00063,72.93/755.17G,2.04G
90/215,69.40198,0.45151,0.00063,73.17/755.17G,2.04G
91/215,69.42446,0.4501,0.00062,72.92/755.17G,2.04G
92/215,68.54766,0.45684,0.00061,72.72/755.17G,2.04G
93/215,69.08723,0.45586,0.00061,73.67/755.17G,2.04G
94/215,69.06475,0.44986,0.0006,73.13/755.17G,2.04G
