epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,51.3714,0.58927,0.00099,46.60/755.17G,21.35G
17/215,57.08183,0.55151,0.00098,49.48/755.17G,22.69G
18/215,66.63669,0.48935,0.00098,50.04/755.17G,24.02G
19/215,71.74011,0.44106,0.00098,50.33/755.17G,24.02G
20/215,74.88759,0.40874,0.00098,50.33/755.17G,24.02G
21/215,76.41637,0.39209,0.00098,50.20/755.17G,24.02G
22/215,74.93255,0.39709,0.00097,50.05/755.17G,24.02G
23/215,78.01259,0.35486,0.00097,50.11/755.17G,24.02G
24/215,77.90018,0.36182,0.00097,49.02/755.17G,24.02G
25/215,78.52968,0.34771,0.00097,50.16/755.17G,24.02G
26/215,79.38399,0.34382,0.00096,49.79/755.17G,24.02G
27/215,80.53058,0.32247,0.00096,50.45/755.17G,24.02G
28/215,81.8795,0.30337,0.00096,50.54/755.17G,24.02G
29/215,81.83453,0.30945,0.00096,50.18/755.17G,24.02G
30/215,82.86871,0.29699,0.00095,49.71/755.17G,24.02G
31/215,83.58813,0.28239,0.00095,49.47/755.17G,24.02G
32/215,83.56565,0.28073,0.00095,50.25/755.17G,24.02G
33/215,83.65558,0.27779,0.00094,50.23/755.17G,24.02G
34/215,84.26259,0.26949,0.00094,50.38/755.17G,24.02G
35/215,83.76799,0.27635,0.00094,50.32/755.17G,24.02G
36/215,83.47572,0.28298,0.00093,49.99/755.17G,24.02G
37/215,84.06025,0.27845,0.00093,49.98/755.17G,24.02G
38/215,84.35252,0.26101,0.00092,49.96/755.17G,24.02G
39/215,84.75719,0.26184,0.00092,50.29/755.17G,24.02G
40/215,85.43165,0.2553,0.00092,50.15/755.17G,24.02G
41/215,85.72392,0.25101,0.00091,50.50/755.17G,24.02G
42/215,85.99371,0.2397,0.00091,50.64/755.17G,24.02G
43/215,86.21853,0.23705,0.0009,49.76/755.17G,24.02G
44/215,86.39838,0.23617,0.0009,50.35/755.17G,24.02G
45/215,86.60072,0.23321,0.0009,49.84/755.17G,24.02G
46/215,87.0054,0.22694,0.00089,49.57/755.17G,24.02G
47/215,88.19694,0.21857,0.00089,50.67/755.17G,24.02G
48/215,87.92716,0.21643,0.00088,50.80/755.17G,24.02G
49/215,87.9946,0.22047,0.00088,51.13/755.17G,24.02G
50/215,86.93795,0.22542,0.00087,50.33/755.17G,24.02G
51/215,86.98291,0.22228,0.00087,50.61/755.17G,24.02G
52/215,87.88219,0.21,0.00086,50.01/755.17G,24.02G
53/215,87.97212,0.21199,0.00086,49.95/755.17G,24.02G
54/215,87.02788,0.22218,0.00085,50.22/755.17G,24.02G
55/215,88.26439,0.20441,0.00085,50.60/755.17G,24.02G
56/215,88.08453,0.20715,0.00084,50.46/755.17G,24.02G
57/215,89.05126,0.19822,0.00084,50.26/755.17G,24.02G
58/215,88.60162,0.1998,0.00083,50.23/755.17G,24.02G
59/215,88.33183,0.20591,0.00083,50.57/755.17G,24.02G
60/215,89.43345,0.19175,0.00082,51.06/755.17G,24.02G
61/215,89.14119,0.18926,0.00081,51.14/755.17G,24.02G
62/215,89.61331,0.18508,0.00081,49.82/755.17G,24.02G
63/215,89.52338,0.1897,0.0008,50.18/755.17G,24.02G
64/215,89.32104,0.18912,0.0008,50.39/755.17G,24.02G
65/215,89.47842,0.18569,0.00079,50.12/755.17G,24.02G
66/215,89.83813,0.17957,0.00078,50.75/755.17G,24.02G
67/215,89.9955,0.1805,0.00078,50.35/755.17G,24.02G
68/215,89.70324,0.18451,0.00077,50.62/755.17G,24.02G
69/215,89.07374,0.1897,0.00077,51.41/755.17G,24.02G
70/215,90.51259,0.1738,0.00076,51.05/755.17G,24.02G
71/215,89.86061,0.18062,0.00075,49.92/755.17G,24.02G
72/215,90.55755,0.17068,0.00075,49.98/755.17G,24.02G
73/215,89.72572,0.17171,0.00074,50.23/755.17G,24.02G
74/215,91.20953,0.15987,0.00074,50.12/755.17G,24.02G
75/215,90.15288,0.18106,0.00073,50.25/755.17G,24.02G
76/215,89.09622,0.19299,0.00072,50.94/755.17G,24.02G
77/215,90.8723,0.16966,0.00072,50.53/755.17G,24.02G
78/215,90.91727,0.16974,0.00071,50.86/755.17G,24.02G
79/215,90.8723,0.16562,0.0007,50.51/755.17G,24.02G
80/215,91.16457,0.16209,0.0007,50.55/755.17G,24.02G
81/215,91.47932,0.16271,0.00069,50.20/755.17G,24.02G
82/215,91.38939,0.15245,0.00068,49.89/755.17G,24.02G
83/215,91.45683,0.15958,0.00068,50.45/755.17G,24.02G
84/215,91.07464,0.1597,0.00067,51.16/755.17G,24.02G
85/215,91.32194,0.16809,0.00066,50.12/755.17G,24.02G
86/215,92.26619,0.1459,0.00065,50.59/755.17G,24.02G
87/215,91.86151,0.15355,0.00065,50.73/755.17G,24.02G
88/215,92.10881,0.14956,0.00064,47.87/755.17G,24.02G
89/215,92.04137,0.14197,0.00063,47.71/755.17G,24.02G
90/215,91.7491,0.15318,0.00063,47.08/755.17G,24.02G
91/215,91.95144,0.14486,0.00062,47.29/755.17G,24.02G
92/215,91.00719,0.16719,0.00061,48.16/755.17G,24.02G
93/215,91.5018,0.15289,0.00061,47.41/755.17G,24.02G
94/215,92.10881,0.14557,0.0006,47.18/755.17G,24.02G
95/215,89.47842,0.18752,0.00059,49.56/755.17G,24.02G
96/215,91.2545,0.15919,0.00058,49.79/755.17G,24.02G
97/215,92.33363,0.1459,0.00058,47.27/755.17G,24.02G
98/215,92.10881,0.14186,0.00057,48.62/755.17G,24.02G
99/215,92.49101,0.13966,0.00056,48.05/755.17G,24.02G
100/215,92.53597,0.13947,0.00055,47.91/755.17G,24.02G
101/215,92.19874,0.14132,0.00055,45.99/755.17G,24.02G
102/215,92.3786,0.13792,0.00054,48.12/755.17G,24.02G
103/215,93.1205,0.127,0.00053,48.46/755.17G,24.02G
104/215,93.32284,0.12203,0.00053,48.96/755.17G,24.02G
105/215,92.3786,0.13909,0.00052,48.17/755.17G,24.02G
106/215,93.09802,0.12459,0.00051,48.41/755.17G,24.02G
107/215,93.57014,0.12829,0.0005,47.96/755.17G,24.02G
108/215,92.8732,0.13752,0.0005,48.19/755.17G,24.02G
109/215,92.71583,0.13889,0.00049,48.33/755.17G,24.02G
110/215,93.16547,0.12958,0.00048,48.63/755.17G,24.02G
111/215,92.40108,0.14203,0.00047,48.89/755.17G,24.02G
112/215,93.68255,0.12053,0.00047,48.30/755.17G,24.02G
113/215,93.61511,0.127,0.00046,48.80/755.17G,24.02G
114/215,93.27788,0.12972,0.00045,48.45/755.17G,24.02G
115/215,93.68255,0.12071,0.00045,47.86/755.17G,24.02G
116/215,93.45773,0.13127,0.00044,48.29/755.17G,24.02G
117/215,94.28957,0.11081,0.00043,48.58/755.17G,24.02G
118/215,93.81745,0.12939,0.00042,48.03/755.17G,24.02G
119/215,93.43525,0.12562,0.00042,48.43/755.17G,24.02G
120/215,93.61511,0.12493,0.00041,48.54/755.17G,24.02G
121/215,93.63759,0.12426,0.0004,48.33/755.17G,24.02G
122/215,93.75,0.12975,0.00039,48.55/755.17G,24.02G
123/215,93.61511,0.11941,0.00039,48.99/755.17G,24.02G
124/215,94.19964,0.11593,0.00038,48.12/755.17G,24.02G
125/215,93.70504,0.11947,0.00037,47.97/755.17G,24.02G
126/215,93.63759,0.12301,0.00037,48.28/755.17G,24.02G
127/215,94.73921,0.10604,0.00036,48.32/755.17G,24.02G
128/215,93.88489,0.12055,0.00035,48.41/755.17G,24.02G
129/215,94.01978,0.11608,0.00035,48.51/755.17G,24.02G
130/215,94.06475,0.11855,0.00034,48.92/755.17G,24.02G
131/215,93.88489,0.12484,0.00033,48.56/755.17G,24.02G
