epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,52.13579,0.58552,0.00099,43.48/755.17G,20.78G
17/215,57.55396,0.55257,0.00098,54.05/755.17G,22.10G
18/215,63.80396,0.50891,0.00098,54.61/755.17G,23.43G
19/215,70.90827,0.44404,0.00098,54.75/755.17G,23.43G
20/215,73.38129,0.41968,0.00098,54.50/755.17G,23.43G
21/215,74.59532,0.40846,0.00098,55.30/755.17G,23.43G
22/215,75.31475,0.40066,0.00097,55.28/755.17G,23.43G
23/215,76.46133,0.37742,0.00097,55.26/755.17G,23.43G
24/215,78.19245,0.35673,0.00097,54.91/755.17G,23.43G
25/215,79.63129,0.33922,0.00097,54.68/755.17G,23.43G
26/215,81.25,0.32096,0.00096,55.56/755.17G,23.43G
27/215,80.66547,0.32619,0.00096,55.05/755.17G,23.43G
28/215,81.0027,0.32139,0.00096,55.00/755.17G,23.43G
29/215,81.33993,0.32088,0.00096,54.79/755.17G,23.43G
30/215,79.13669,0.33691,0.00095,55.36/755.17G,23.43G
31/215,79.2491,0.33189,0.00095,56.06/755.17G,23.43G
32/215,80.39568,0.32461,0.00095,55.41/755.17G,23.43G
33/215,83.0036,0.29179,0.00094,54.71/755.17G,23.43G
34/215,82.93615,0.28634,0.00094,55.91/755.17G,23.43G
35/215,83.54317,0.28072,0.00094,54.58/755.17G,23.43G
36/215,83.04856,0.28049,0.00093,54.93/755.17G,23.43G
37/215,82.41906,0.29338,0.00093,55.65/755.17G,23.43G
38/215,82.23921,0.29026,0.00092,55.07/755.17G,23.43G
39/215,84.82464,0.26107,0.00092,55.66/755.17G,23.43G
40/215,84.1277,0.26897,0.00092,54.84/755.17G,23.43G
41/215,84.57734,0.26032,0.00091,55.80/755.17G,23.43G
42/215,85.02698,0.2582,0.00091,54.89/755.17G,23.43G
43/215,85.88129,0.24569,0.0009,54.94/755.17G,23.43G
44/215,86.15108,0.24033,0.0009,55.33/755.17G,23.43G
45/215,86.78058,0.23458,0.0009,55.09/755.17G,23.43G
46/215,85.85881,0.23791,0.00089,55.27/755.17G,23.43G
47/215,86.96043,0.22985,0.00089,55.39/755.17G,23.43G
48/215,87.38759,0.22911,0.00088,55.25/755.17G,23.43G
49/215,85.88129,0.24085,0.00088,55.71/755.17G,23.43G
50/215,85.76888,0.24714,0.00087,55.65/755.17G,23.43G
51/215,86.60072,0.23035,0.00087,54.53/755.17G,23.43G
52/215,86.53327,0.23575,0.00086,55.92/755.17G,23.43G
53/215,87.20773,0.21914,0.00086,54.92/755.17G,23.43G
54/215,87.43255,0.21582,0.00085,55.49/755.17G,23.43G
55/215,87.18525,0.22243,0.00085,55.32/755.17G,23.43G
56/215,88.17446,0.20523,0.00084,55.39/755.17G,23.43G
57/215,87.76978,0.21907,0.00084,55.46/755.17G,23.43G
58/215,88.46673,0.19747,0.00083,55.48/755.17G,23.43G
59/215,88.48921,0.20885,0.00083,55.22/755.17G,23.43G
60/215,88.19694,0.20597,0.00082,51.81/755.17G,23.43G
61/215,87.65737,0.21386,0.00081,55.25/755.17G,23.43G
62/215,86.66817,0.22634,0.00081,54.76/755.17G,23.43G
63/215,88.80396,0.20128,0.0008,55.75/755.17G,23.43G
64/215,88.46673,0.19893,0.0008,55.93/755.17G,23.43G
65/215,89.59083,0.18709,0.00079,54.28/755.17G,23.43G
66/215,89.36601,0.18733,0.00078,54.88/755.17G,23.43G
67/215,89.65827,0.18927,0.00078,54.94/755.17G,23.43G
68/215,89.54586,0.18845,0.00077,55.37/755.17G,23.43G
69/215,90.17536,0.1759,0.00077,55.00/755.17G,23.43G
70/215,89.54586,0.18443,0.00076,54.88/755.17G,23.43G
71/215,90.51259,0.17359,0.00075,54.39/755.17G,23.43G
72/215,90.28777,0.16881,0.00075,54.83/755.17G,23.43G
73/215,90.46763,0.17046,0.00074,55.74/755.17G,23.43G
74/215,89.9955,0.1816,0.00074,54.83/755.17G,23.43G
75/215,90.40018,0.17618,0.00073,54.90/755.17G,23.43G
76/215,91.41187,0.15996,0.00072,55.79/755.17G,23.43G
77/215,91.20953,0.15712,0.00072,55.90/755.17G,23.43G
78/215,91.20953,0.16094,0.00071,55.78/755.17G,23.43G
79/215,91.09712,0.16475,0.0007,55.53/755.17G,23.43G
80/215,91.18705,0.15891,0.0007,56.07/755.17G,23.43G
81/215,91.32194,0.1574,0.00069,55.63/755.17G,23.43G
82/215,91.77158,0.15287,0.00068,55.33/755.17G,23.43G
83/215,91.47932,0.15637,0.00068,55.35/755.17G,23.43G
84/215,91.59173,0.15675,0.00067,55.91/755.17G,23.43G
85/215,91.72662,0.15292,0.00066,55.55/755.17G,23.43G
86/215,92.53597,0.14309,0.00065,55.07/755.17G,23.43G
87/215,91.83903,0.14639,0.00065,55.87/755.17G,23.43G
88/215,91.90647,0.15691,0.00064,56.17/755.17G,23.43G
89/215,92.13129,0.14318,0.00063,55.82/755.17G,23.43G
90/215,91.72662,0.1461,0.00063,55.50/755.17G,23.43G
91/215,91.56924,0.14743,0.00062,55.33/755.17G,23.43G
92/215,92.73831,0.13816,0.00061,55.80/755.17G,23.43G
93/215,92.24371,0.14655,0.00061,56.27/755.17G,23.43G
94/215,92.64838,0.14026,0.0006,56.04/755.17G,23.43G
95/215,92.3786,0.14684,0.00059,55.20/755.17G,23.43G
96/215,91.5018,0.15633,0.00058,55.19/755.17G,23.43G
97/215,92.22122,0.14212,0.00058,55.66/755.17G,23.43G
98/215,92.46853,0.13621,0.00057,56.06/755.17G,23.43G
99/215,93.34532,0.12874,0.00056,56.43/755.17G,23.43G
100/215,93.30036,0.13232,0.00055,55.82/755.17G,23.43G
101/215,92.8732,0.13506,0.00055,55.84/755.17G,23.43G
102/215,93.00809,0.13304,0.00054,56.68/755.17G,23.43G
103/215,93.32284,0.1277,0.00053,56.45/755.17G,23.43G
104/215,93.2554,0.13579,0.00053,56.26/755.17G,23.43G
105/215,93.97482,0.12216,0.00052,56.43/755.17G,23.43G
106/215,93.39029,0.12868,0.00051,55.99/755.17G,23.43G
107/215,93.48022,0.13148,0.0005,56.39/755.17G,23.43G
108/215,93.75,0.12223,0.0005,56.40/755.17G,23.43G
109/215,93.90737,0.12081,0.00049,56.58/755.17G,23.43G
110/215,93.43525,0.13442,0.00048,55.81/755.17G,23.43G
111/215,93.18795,0.13956,0.00047,56.33/755.17G,23.43G
112/215,93.75,0.12446,0.00047,56.19/755.17G,23.43G
113/215,93.95234,0.11986,0.00046,55.21/755.17G,23.43G
114/215,93.68255,0.12953,0.00045,56.22/755.17G,23.43G
115/215,93.77248,0.1273,0.00045,55.04/755.17G,23.43G
116/215,94.08723,0.12093,0.00044,55.69/755.17G,23.43G
117/215,94.2446,0.11661,0.00043,56.06/755.17G,23.43G
118/215,94.2446,0.12017,0.00042,55.85/755.17G,23.43G
119/215,93.95234,0.12341,0.00042,55.70/755.17G,23.43G
120/215,94.17716,0.12494,0.00041,56.20/755.17G,23.43G
121/215,94.06475,0.11681,0.0004,56.09/755.17G,23.43G
122/215,94.31205,0.11276,0.00039,56.64/755.17G,23.43G
123/215,94.82914,0.10731,0.00039,56.26/755.17G,23.43G
124/215,94.3795,0.11528,0.00038,55.95/755.17G,23.43G
125/215,94.53687,0.11342,0.00037,55.95/755.17G,23.43G
126/215,94.55935,0.1199,0.00037,56.16/755.17G,23.43G
127/215,94.94155,0.10156,0.00036,56.35/755.17G,23.43G
128/215,94.2446,0.11984,0.00035,55.82/755.17G,23.43G
129/215,94.91906,0.1073,0.00035,56.16/755.17G,23.43G
130/215,94.3795,0.1223,0.00034,55.67/755.17G,23.43G
131/215,94.55935,0.11509,0.00033,56.31/755.17G,23.43G
132/215,94.67176,0.11484,0.00032,56.45/755.17G,23.43G
133/215,94.44694,0.11288,0.00032,55.84/755.17G,23.43G
134/215,94.58183,0.11241,0.00031,55.65/755.17G,23.43G
135/215,94.80665,0.106,0.0003,56.84/755.17G,23.43G
136/215,94.96403,0.10598,0.0003,53.20/755.17G,23.43G
137/215,94.82914,0.10708,0.00029,62.05/755.17G,23.43G
138/215,95.16637,0.1028,0.00028,54.46/755.17G,23.43G
139/215,95.07644,0.10535,0.00028,54.39/755.17G,23.43G
140/215,94.89658,0.10697,0.00027,55.59/755.17G,23.43G
141/215,95.09892,0.10555,0.00026,55.43/755.17G,23.43G
142/215,95.09892,0.1048,0.00026,56.23/755.17G,23.43G
143/215,95.25629,0.10363,0.00025,55.80/755.17G,23.43G
144/215,94.6268,0.10918,0.00025,55.53/755.17G,23.43G
145/215,95.1214,0.10195,0.00024,55.09/755.17G,23.43G
146/215,95.70594,0.09737,0.00023,55.32/755.17G,23.43G
147/215,95.25629,0.10328,0.00023,55.74/755.17G,23.43G
148/215,95.57104,0.09258,0.00022,56.56/755.17G,23.43G
149/215,95.59353,0.09953,0.00022,55.44/755.17G,23.43G
150/215,95.45863,0.09647,0.00021,55.44/755.17G,23.43G
151/215,95.57104,0.09535,0.0002,56.54/755.17G,23.43G
152/215,95.23381,0.10116,0.0002,56.36/755.17G,23.43G
153/215,95.63849,0.0942,0.00019,56.06/755.17G,23.43G
154/215,95.72842,0.10313,0.00019,55.73/755.17G,23.43G
155/215,95.81835,0.09696,0.00018,55.58/755.17G,23.43G
156/215,95.34622,0.10441,0.00017,56.44/755.17G,23.43G
157/215,95.43615,0.10696,0.00017,55.56/755.17G,23.43G
158/215,95.54856,0.10207,0.00016,56.38/755.17G,23.43G
159/215,95.52608,0.10113,0.00016,56.57/755.17G,23.43G
