epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,50.53957,0.59611,0.00099,71.30/755.17G,21.03G
17/215,52.85522,0.58287,0.00098,75.36/755.17G,22.61G
18/215,54.4964,0.5611,0.00098,74.77/755.17G,22.61G
19/215,63.26439,0.51089,0.00098,76.47/755.17G,22.61G
20/215,66.7491,0.49134,0.00098,76.22/755.17G,22.61G
21/215,70.07644,0.4579,0.00098,79.66/755.17G,24.19G
22/215,71.875,0.43571,0.00097,75.37/755.17G,24.19G
23/215,74.28058,0.41094,0.00097,75.95/755.17G,24.19G
24/215,75.96673,0.39805,0.00097,80.17/755.17G,24.19G
25/215,76.28147,0.39545,0.00097,74.93/755.17G,24.19G
26/215,76.28147,0.38447,0.00096,75.26/755.17G,24.19G
27/215,77.60791,0.3751,0.00096,78.83/755.17G,24.19G
28/215,78.66457,0.36006,0.00096,74.92/755.17G,24.19G
29/215,78.03507,0.36388,0.00096,74.77/755.17G,24.19G
30/215,79.27158,0.35053,0.00095,75.74/755.17G,24.19G
31/215,79.2491,0.34349,0.00095,76.61/755.17G,24.19G
32/215,80.08094,0.33322,0.00095,74.90/755.17G,24.19G
33/215,80.46313,0.32942,0.00094,80.23/755.17G,24.19G
34/215,79.33903,0.33204,0.00094,78.90/755.17G,24.19G
35/215,80.7554,0.31947,0.00094,79.96/755.17G,24.19G
36/215,81.54227,0.31317,0.00093,79.24/755.17G,24.19G
37/215,82.08183,0.30346,0.00093,75.49/755.17G,24.19G
38/215,82.23921,0.30855,0.00092,80.30/755.17G,24.19G
39/215,81.85701,0.30058,0.00092,76.97/755.17G,24.19G
40/215,83.13849,0.28802,0.00092,74.90/755.17G,24.19G
41/215,82.91367,0.28665,0.00091,75.19/755.17G,24.19G
42/215,83.4982,0.28506,0.00091,76.69/755.17G,24.19G
43/215,84.46493,0.27736,0.0009,74.49/755.17G,24.19G
44/215,84.28507,0.26818,0.0009,75.87/755.17G,24.19G
45/215,85.0045,0.2624,0.0009,76.15/755.17G,24.19G
46/215,85.16187,0.25878,0.00089,77.77/755.17G,24.19G
47/215,84.91457,0.26183,0.00089,75.83/755.17G,24.19G
48/215,85.38669,0.25388,0.00088,75.44/755.17G,24.19G
49/215,86.10612,0.24326,0.00088,79.45/755.17G,24.19G
