epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,51.07914,0.59307,0.00099,52.37/755.17G,21.35G
17/215,53.52968,0.57144,0.00098,55.81/755.17G,22.69G
18/215,58.16097,0.5458,0.00098,55.49/755.17G,22.69G
19/215,65.46763,0.49305,0.00098,58.49/755.17G,22.69G
20/215,71.875,0.44752,0.00098,55.06/755.17G,22.69G
21/215,74.14568,0.41724,0.00098,56.23/755.17G,22.69G
22/215,74.95504,0.40613,0.00097,56.17/755.17G,22.69G
23/215,76.68615,0.37937,0.00097,57.74/755.17G,22.69G
24/215,77.96763,0.36101,0.00097,56.63/755.17G,22.69G
25/215,77.20324,0.37461,0.00097,55.30/755.17G,22.69G
26/215,78.93435,0.34945,0.00096,55.51/755.17G,22.69G
27/215,78.91187,0.34347,0.00096,57.19/755.17G,24.01G
28/215,80.28327,0.32766,0.00096,56.29/755.17G,24.01G
29/215,81.29496,0.31981,0.00096,56.49/755.17G,24.01G
30/215,81.25,0.31374,0.00095,57.28/755.17G,24.01G
31/215,82.21673,0.30137,0.00095,56.97/755.17G,24.01G
32/215,81.81205,0.3076,0.00095,56.56/755.17G,24.01G
33/215,81.51978,0.31229,0.00094,57.12/755.17G,24.01G
34/215,83.56565,0.28363,0.00094,55.89/755.17G,24.01G
35/215,83.52068,0.27684,0.00094,56.30/755.17G,24.01G
36/215,83.22842,0.28563,0.00093,57.99/755.17G,24.01G
37/215,83.43076,0.28442,0.00093,57.27/755.17G,24.01G
38/215,82.89119,0.29106,0.00092,56.08/755.17G,24.01G
39/215,83.97032,0.27504,0.00092,56.70/755.17G,24.01G
40/215,84.33004,0.26508,0.00092,56.71/755.17G,24.01G
41/215,84.91457,0.26418,0.00091,57.06/755.17G,24.01G
42/215,86.19604,0.24584,0.00091,58.32/755.17G,24.01G
43/215,85.56655,0.24709,0.0009,56.30/755.17G,24.01G
44/215,85.54406,0.25301,0.0009,56.66/755.17G,24.01G
45/215,85.92626,0.24561,0.0009,55.89/755.17G,24.01G
46/215,86.55576,0.23914,0.00089,57.98/755.17G,24.01G
47/215,86.1286,0.2423,0.00089,57.75/755.17G,24.01G
48/215,86.93795,0.2359,0.00088,59.29/755.17G,24.01G
49/215,85.38669,0.25487,0.00088,56.76/755.17G,24.01G
50/215,85.99371,0.24284,0.00087,57.84/755.17G,24.01G
51/215,86.64568,0.23405,0.00087,56.78/755.17G,24.01G
52/215,87.02788,0.21794,0.00086,57.91/755.17G,24.01G
53/215,87.67986,0.22225,0.00086,58.09/755.17G,24.01G
54/215,86.89299,0.22669,0.00085,57.82/755.17G,24.01G
55/215,88.15198,0.2144,0.00085,50.17/755.17G,24.01G
56/215,87.2527,0.2184,0.00084,54.24/755.17G,24.01G
57/215,88.55665,0.20066,0.00084,54.81/755.17G,24.01G
58/215,88.30935,0.20957,0.00083,54.22/755.17G,24.01G
59/215,87.5,0.21706,0.00083,54.92/755.17G,24.01G
60/215,88.51169,0.20879,0.00082,55.60/755.17G,24.01G
61/215,88.73651,0.20246,0.00081,56.20/755.17G,24.01G
62/215,88.55665,0.20392,0.00081,54.98/755.17G,24.01G
63/215,88.39928,0.20515,0.0008,54.22/755.17G,24.01G
64/215,89.02878,0.19935,0.0008,55.24/755.17G,24.01G
65/215,88.17446,0.2108,0.00079,55.25/755.17G,24.02G
66/215,89.05126,0.18968,0.00078,57.97/755.17G,24.02G
67/215,88.69155,0.19342,0.00078,55.53/755.17G,24.02G
68/215,88.1295,0.21231,0.00077,54.99/755.17G,24.02G
69/215,87.11781,0.22061,0.00077,57.33/755.17G,24.02G
70/215,88.93885,0.19155,0.00076,58.08/755.17G,24.02G
71/215,88.64658,0.203,0.00075,55.09/755.17G,24.02G
72/215,89.47842,0.18551,0.00075,55.47/755.17G,24.02G
73/215,89.45594,0.18519,0.00074,56.15/755.17G,24.02G
74/215,90.44514,0.17551,0.00074,56.65/755.17G,24.02G
75/215,89.56835,0.18832,0.00073,55.39/755.17G,24.02G
76/215,89.81565,0.18478,0.00072,56.31/755.17G,24.02G
77/215,89.9955,0.18483,0.00072,56.34/755.17G,24.02G
78/215,89.77068,0.18133,0.00071,55.75/755.17G,24.02G
79/215,90.51259,0.17322,0.0007,56.07/755.17G,24.02G
80/215,89.95054,0.17896,0.0007,56.24/755.17G,24.02G
81/215,89.97302,0.18427,0.00069,58.50/755.17G,24.02G
82/215,90.91727,0.16946,0.00068,55.67/755.17G,24.02G
83/215,91.16457,0.16155,0.00068,56.17/755.17G,24.02G
84/215,90.28777,0.17496,0.00067,56.16/755.17G,24.02G
85/215,90.58004,0.16633,0.00066,56.85/755.17G,24.02G
86/215,91.59173,0.15773,0.00065,56.97/755.17G,24.02G
87/215,90.8723,0.15893,0.00065,56.53/755.17G,24.02G
88/215,91.18705,0.16316,0.00064,58.75/755.17G,24.02G
89/215,91.09712,0.16145,0.00063,56.27/755.17G,24.02G
90/215,91.63669,0.15833,0.00063,56.38/755.17G,24.02G
91/215,91.56924,0.15261,0.00062,55.80/755.17G,24.02G
92/215,91.83903,0.15384,0.00061,56.99/755.17G,24.02G
93/215,91.5018,0.15331,0.00061,57.85/755.17G,24.02G
94/215,92.22122,0.13917,0.0006,58.30/755.17G,24.02G
95/215,91.70414,0.16244,0.00059,56.48/755.17G,24.02G
96/215,92.15378,0.14579,0.00058,56.39/755.17G,24.02G
97/215,92.49101,0.1436,0.00058,58.78/755.17G,24.02G
98/215,91.90647,0.14691,0.00057,56.74/755.17G,24.02G
99/215,91.32194,0.1543,0.00056,57.40/755.17G,24.02G
100/215,92.8732,0.13466,0.00055,59.06/755.17G,24.02G
101/215,92.51349,0.14159,0.00055,57.30/755.17G,24.02G
102/215,92.31115,0.14176,0.00054,57.15/755.17G,24.02G
103/215,92.06385,0.1422,0.00053,56.30/755.17G,24.02G
104/215,92.55845,0.13463,0.00053,57.38/755.17G,24.02G
105/215,93.27788,0.13315,0.00052,56.74/755.17G,24.02G
