epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,50.58453,0.58619,0.00099,70.75/755.17G,0.40G
17/215,49.55036,0.58067,0.00098,74.49/755.17G,0.74G
18/215,49.66277,0.57424,0.00098,74.61/755.17G,0.74G
19/215,49.48291,0.57412,0.00098,75.16/755.17G,0.74G
20/215,50.06745,0.57032,0.00098,74.89/755.17G,0.74G
21/215,50.8768,0.57004,0.00098,74.43/755.17G,0.74G
22/215,50.26978,0.57037,0.00097,74.93/755.17G,0.74G
23/215,50.02248,0.57204,0.00097,73.85/755.17G,0.74G
24/215,48.6286,0.57077,0.00097,74.17/755.17G,0.74G
25/215,48.94335,0.56902,0.00097,74.67/755.17G,0.74G
26/215,50.33723,0.57026,0.00096,74.55/755.17G,0.74G
27/215,49.59532,0.56811,0.00096,74.48/755.17G,0.74G
28/215,51.59622,0.56785,0.00096,74.51/755.17G,0.74G
29/215,50.6295,0.56636,0.00096,74.06/755.17G,0.74G
30/215,49.79766,0.56854,0.00095,74.26/755.17G,0.74G
31/215,49.73022,0.56826,0.00095,74.65/755.17G,0.74G
32/215,48.89838,0.56979,0.00095,80.49/755.17G,0.74G
33/215,48.85342,0.56996,0.00094,81.16/755.17G,0.74G
34/215,49.46043,0.56744,0.00094,80.77/755.17G,0.74G
35/215,50.15737,0.56749,0.00094,82.05/755.17G,0.74G
36/215,49.57284,0.56977,0.00093,81.57/755.17G,0.74G
37/215,50.04496,0.56769,0.00093,81.15/755.17G,0.74G
38/215,48.33633,0.56998,0.00092,81.03/755.17G,0.74G
39/215,51.07914,0.56622,0.00092,81.28/755.17G,0.74G
40/215,50.13489,0.56698,0.00092,80.50/755.17G,0.74G
41/215,50.80935,0.56741,0.00091,81.00/755.17G,0.74G
42/215,50.44964,0.56809,0.00091,80.63/755.17G,0.74G
43/215,48.80845,0.57042,0.0009,79.84/755.17G,0.74G
44/215,50.40468,0.56631,0.0009,81.14/755.17G,0.74G
45/215,49.28058,0.57024,0.0009,80.77/755.17G,0.74G
46/215,49.84263,0.56698,0.00089,81.31/755.17G,0.74G
47/215,49.88759,0.5666,0.00089,80.89/755.17G,0.74G
48/215,50.08993,0.56822,0.00088,90.94/755.17G,0.74G
49/215,50.0,0.56691,0.00088,90.69/755.17G,0.74G
50/215,49.39299,0.56832,0.00087,80.93/755.17G,0.74G
51/215,49.10072,0.56939,0.00087,80.01/755.17G,0.74G
52/215,49.3705,0.56825,0.00086,81.31/755.17G,0.74G
53/215,51.48381,0.56524,0.00086,81.98/755.17G,0.74G
54/215,50.02248,0.56794,0.00085,81.47/755.17G,0.74G
55/215,51.23651,0.56588,0.00085,81.35/755.17G,0.74G
