epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,62.14029,0.5279,0.00099,36.33/755.17G,21.04G
17/215,72.25719,0.44771,0.00098,40.75/755.17G,22.62G
18/215,76.91097,0.38807,0.00098,41.08/755.17G,22.62G
19/215,73.92086,0.4153,0.00098,41.45/755.17G,22.62G
20/215,77.72032,0.37349,0.00098,41.48/755.17G,22.62G
21/215,78.93435,0.35962,0.00098,42.00/755.17G,24.20G
22/215,80.28327,0.3301,0.00097,41.35/755.17G,24.20G
23/215,76.03417,0.37734,0.00097,42.47/755.17G,24.20G
24/215,81.04766,0.31675,0.00097,42.66/755.17G,24.20G
25/215,81.8795,0.31158,0.00097,42.09/755.17G,24.20G
26/215,80.21583,0.3213,0.00096,42.07/755.17G,24.20G
27/215,81.54227,0.30315,0.00096,42.69/755.17G,24.20G
28/215,83.36331,0.28707,0.00096,42.62/755.17G,24.20G
29/215,81.94694,0.30316,0.00096,42.94/755.17G,24.20G
30/215,82.82374,0.29075,0.00095,42.90/755.17G,24.20G
31/215,83.40827,0.28636,0.00095,42.54/755.17G,24.20G
32/215,85.13939,0.25882,0.00095,43.28/755.17G,24.20G
33/215,85.04946,0.26071,0.00094,42.28/755.17G,24.20G
34/215,85.67896,0.23941,0.00094,42.92/755.17G,24.20G
35/215,85.27428,0.251,0.00094,42.64/755.17G,24.20G
36/215,84.91457,0.25537,0.00093,42.15/755.17G,24.20G
37/215,85.07194,0.25661,0.00093,42.54/755.17G,24.20G
38/215,85.58903,0.24304,0.00092,42.79/755.17G,24.20G
39/215,85.70144,0.24429,0.00092,42.50/755.17G,24.20G
40/215,85.97122,0.24065,0.00092,42.34/755.17G,24.20G
41/215,86.28597,0.2413,0.00091,42.79/755.17G,24.20G
42/215,87.14029,0.22612,0.00091,42.69/755.17G,24.20G
43/215,87.36511,0.21771,0.0009,42.17/755.17G,24.20G
44/215,88.48921,0.20095,0.0009,42.58/755.17G,24.20G
45/215,88.66906,0.20669,0.0009,42.08/755.17G,24.20G
46/215,88.80396,0.20037,0.00089,42.04/755.17G,24.20G
47/215,89.52338,0.19083,0.00089,42.43/755.17G,24.20G
48/215,88.89388,0.1937,0.00088,41.71/755.17G,24.20G
49/215,89.97302,0.18377,0.00088,41.31/755.17G,24.20G
50/215,90.01799,0.18529,0.00087,41.22/755.17G,24.20G
51/215,89.45594,0.19309,0.00087,41.32/755.17G,24.20G
52/215,90.1304,0.1793,0.00086,42.16/755.17G,24.20G
53/215,90.08543,0.17818,0.00086,43.37/755.17G,24.20G
54/215,89.18615,0.19453,0.00085,44.12/755.17G,24.20G
55/215,89.32104,0.19127,0.00085,47.48/755.17G,24.20G
56/215,90.625,0.16612,0.00084,48.18/755.17G,24.20G
57/215,89.97302,0.18313,0.00084,48.14/755.17G,24.20G
58/215,90.98471,0.16974,0.00083,46.80/755.17G,24.20G
59/215,91.18705,0.16925,0.00083,43.42/755.17G,24.20G
60/215,91.16457,0.16324,0.00082,46.87/755.17G,24.20G
61/215,91.54676,0.15578,0.00081,46.89/755.17G,24.20G
62/215,91.09712,0.1623,0.00081,44.04/755.17G,24.20G
63/215,90.91727,0.16416,0.0008,43.65/755.17G,24.20G
