epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,52.09083,0.58194,0.00099,38.52/755.17G,21.63G
17/215,52.42806,0.5774,0.00098,43.06/755.17G,21.63G
18/215,61.24101,0.5315,0.00098,43.70/755.17G,23.22G
19/215,69.78417,0.46082,0.00098,43.77/755.17G,24.81G
20/215,72.97662,0.42374,0.00098,44.54/755.17G,24.81G
21/215,75.96673,0.39405,0.00098,43.73/755.17G,24.81G
22/215,75.98921,0.38901,0.00097,44.95/755.17G,24.81G
23/215,78.39478,0.35783,0.00097,44.83/755.17G,24.81G
24/215,79.04676,0.34472,0.00097,44.13/755.17G,24.81G
25/215,80.23831,0.33132,0.00097,44.46/755.17G,24.81G
26/215,78.84442,0.34319,0.00096,43.95/755.17G,24.81G
27/215,80.86781,0.32198,0.00096,44.19/755.17G,24.81G
28/215,80.59802,0.32206,0.00096,44.19/755.17G,24.81G
29/215,82.01439,0.2991,0.00096,44.06/755.17G,24.81G
30/215,81.38489,0.30231,0.00095,44.67/755.17G,24.81G
31/215,82.44155,0.28995,0.00095,44.68/755.17G,24.81G
32/215,82.44155,0.29502,0.00095,44.99/755.17G,24.81G
33/215,82.44155,0.29657,0.00094,44.74/755.17G,24.81G
34/215,83.0036,0.28363,0.00094,44.65/755.17G,24.81G
35/215,84.39748,0.26925,0.00094,44.65/755.17G,24.81G
36/215,83.99281,0.2696,0.00093,45.10/755.17G,24.81G
37/215,83.63309,0.26747,0.00093,44.67/755.17G,24.81G
38/215,85.18435,0.25855,0.00092,45.70/755.17G,24.81G
39/215,84.6223,0.26555,0.00092,45.22/755.17G,24.81G
40/215,85.2518,0.25138,0.00092,44.64/755.17G,24.81G
41/215,86.17356,0.24381,0.00091,45.01/755.17G,24.81G
42/215,86.69065,0.23772,0.00091,44.55/755.17G,24.81G
43/215,86.78058,0.23354,0.0009,45.27/755.17G,24.81G
44/215,87.05036,0.21808,0.0009,45.02/755.17G,24.81G
45/215,87.11781,0.22881,0.0009,44.67/755.17G,24.81G
46/215,87.0054,0.22888,0.00089,45.50/755.17G,24.81G
47/215,87.02788,0.22458,0.00089,44.72/755.17G,24.81G
48/215,87.58993,0.2182,0.00088,45.18/755.17G,24.81G
49/215,87.92716,0.21215,0.00088,45.49/755.17G,24.81G
50/215,88.33183,0.20851,0.00087,45.36/755.17G,24.81G
51/215,88.55665,0.19668,0.00087,45.32/755.17G,24.81G
52/215,88.73651,0.20338,0.00086,44.67/755.17G,24.81G
53/215,88.55665,0.19914,0.00086,45.13/755.17G,24.81G
54/215,88.96133,0.19376,0.00085,45.17/755.17G,24.81G
55/215,88.75899,0.19477,0.00085,44.68/755.17G,24.81G
56/215,89.65827,0.18466,0.00084,45.16/755.17G,24.81G
57/215,89.59083,0.1857,0.00084,44.82/755.17G,24.81G
58/215,89.5009,0.18545,0.00083,44.58/755.17G,24.81G
59/215,90.26529,0.17722,0.00083,44.87/755.17G,24.81G
60/215,90.26529,0.17116,0.00082,44.70/755.17G,24.81G
61/215,90.31025,0.17803,0.00081,44.53/755.17G,24.81G
62/215,91.16457,0.16281,0.00081,45.09/755.17G,24.81G
63/215,91.14209,0.17139,0.0008,44.79/755.17G,24.81G
64/215,91.20953,0.15841,0.0008,45.52/755.17G,24.81G
65/215,90.31025,0.1709,0.00079,45.66/755.17G,24.81G
66/215,91.43435,0.16274,0.00078,45.69/755.17G,24.81G
67/215,91.2545,0.16201,0.00078,45.78/755.17G,24.81G
68/215,91.70414,0.15555,0.00077,45.15/755.17G,24.81G
69/215,90.91727,0.16343,0.00077,45.69/755.17G,24.81G
70/215,91.45683,0.15377,0.00076,46.11/755.17G,24.81G
71/215,91.63669,0.15169,0.00075,44.91/755.17G,24.81G
72/215,91.18705,0.15373,0.00075,45.15/755.17G,24.81G
73/215,91.47932,0.15707,0.00074,45.25/755.17G,24.81G
74/215,91.29946,0.16162,0.00074,45.31/755.17G,24.81G
75/215,92.35612,0.14462,0.00073,45.60/755.17G,24.81G
76/215,91.7491,0.15342,0.00072,44.99/755.17G,24.81G
77/215,90.60252,0.17716,0.00072,45.18/755.17G,24.81G
78/215,92.3786,0.14744,0.00071,45.60/755.17G,24.81G
79/215,92.35612,0.13973,0.0007,45.86/755.17G,24.81G
80/215,92.46853,0.14001,0.0007,45.23/755.17G,24.81G
81/215,92.28867,0.14475,0.00069,45.28/755.17G,24.81G
82/215,92.94065,0.13972,0.00068,45.49/755.17G,24.81G
83/215,92.67086,0.1407,0.00068,45.62/755.17G,24.81G
84/215,92.49101,0.14446,0.00067,45.43/755.17G,24.81G
85/215,93.07554,0.13352,0.00066,45.62/755.17G,24.81G
86/215,92.91817,0.13464,0.00065,45.30/755.17G,24.81G
87/215,93.16547,0.12839,0.00065,55.23/755.17G,24.81G
88/215,93.36781,0.13098,0.00064,45.87/755.17G,24.81G
89/215,93.1205,0.13889,0.00063,45.19/755.17G,24.81G
90/215,93.43525,0.13497,0.00063,45.55/755.17G,24.81G
91/215,93.36781,0.13602,0.00062,46.14/755.17G,24.81G
92/215,93.07554,0.13722,0.00061,44.90/755.17G,24.81G
93/215,93.72752,0.12208,0.00061,45.63/755.17G,24.81G
