epoch,accuracy,loss,lr,RAM,gpu_mem
16/100,58.7455,0.86791,0.00094,46.87/755.17G,20.76G
17/100,71.875,0.6129,0.00093,39.92/755.17G,20.76G
18/100,73.67356,0.57639,0.00092,48.46/755.17G,22.08G
19/100,75.4946,0.55119,0.00091,48.45/755.17G,22.08G
20/100,77.81025,0.51685,0.0009,47.24/755.17G,22.08G
21/100,78.97932,0.47927,0.0009,46.73/755.17G,22.08G
22/100,81.11511,0.4733,0.00089,46.91/755.17G,22.08G
23/100,82.48651,0.43821,0.00088,46.64/755.17G,22.08G
24/100,82.53147,0.41482,0.00086,46.09/755.17G,23.40G
25/100,83.67806,0.40457,0.00085,47.97/755.17G,23.40G
26/100,83.38579,0.39957,0.00084,46.81/755.17G,23.40G
27/100,84.41996,0.38381,0.00083,46.97/755.17G,23.40G
28/100,84.82464,0.37277,0.00082,46.72/755.17G,23.40G
29/100,84.57734,0.3746,0.00081,47.50/755.17G,23.40G
30/100,85.11691,0.35099,0.00079,47.04/755.17G,23.40G
31/100,85.31924,0.35454,0.00078,47.17/755.17G,23.40G
32/100,86.17356,0.33732,0.00077,47.38/755.17G,23.40G
33/100,86.19604,0.34203,0.00075,48.03/755.17G,23.40G
34/100,86.28597,0.3396,0.00074,46.11/755.17G,23.40G
35/100,86.91547,0.31036,0.00073,48.03/755.17G,23.40G
36/100,87.29766,0.30962,0.00071,46.04/755.17G,23.40G
37/100,88.3768,0.30806,0.0007,48.14/755.17G,23.40G
38/100,87.83723,0.29989,0.00068,46.44/755.17G,23.40G
39/100,87.94964,0.29693,0.00067,45.52/755.17G,23.41G
40/100,89.16367,0.28006,0.00065,46.90/755.17G,23.41G
41/100,89.2536,0.27847,0.00064,46.44/755.17G,23.41G
42/100,89.20863,0.27959,0.00062,46.19/755.17G,23.41G
43/100,89.05126,0.29163,0.00061,45.81/755.17G,23.41G
44/100,89.41097,0.26467,0.00059,47.50/755.17G,23.41G
45/100,89.65827,0.2793,0.00058,46.28/755.17G,23.41G
46/100,89.68076,0.2662,0.00056,45.54/755.17G,23.41G
47/100,90.42266,0.25877,0.00055,46.08/755.17G,23.41G
48/100,90.49011,0.24807,0.00053,45.32/755.17G,23.41G
49/100,90.3777,0.25466,0.00052,45.81/755.17G,23.41G
50/100,90.53507,0.25277,0.0005,46.05/755.17G,23.41G
51/100,90.91727,0.23342,0.00048,45.58/755.17G,23.41G
52/100,90.58004,0.24707,0.00047,45.49/755.17G,23.41G
53/100,90.84982,0.23997,0.00045,46.44/755.17G,23.41G
54/100,91.45683,0.22063,0.00044,46.20/755.17G,23.41G
55/100,91.02968,0.21878,0.00042,45.60/755.17G,23.41G
56/100,90.51259,0.2273,0.00041,45.80/755.17G,23.41G
57/100,91.56924,0.23026,0.00039,45.33/755.17G,23.41G
58/100,91.34442,0.22568,0.00038,58.16/755.17G,23.41G
59/100,91.41187,0.22832,0.00036,56.11/755.17G,23.41G
60/100,91.68165,0.2237,0.00035,57.43/755.17G,23.41G
61/100,91.77158,0.22163,0.00033,56.77/755.17G,23.41G
62/100,91.00719,0.24019,0.00032,58.18/755.17G,23.41G
63/100,91.59173,0.22325,0.0003,56.77/755.17G,23.41G
64/100,92.28867,0.20786,0.00029,56.28/755.17G,23.41G
65/100,91.97392,0.22368,0.00027,56.15/755.17G,23.41G
66/100,92.76079,0.20975,0.00026,55.75/755.17G,23.41G
67/100,91.97392,0.20511,0.00025,55.49/755.17G,23.41G
68/100,92.04137,0.20169,0.00023,55.74/755.17G,23.41G
