epoch,accuracy,loss,lr,RAM,gpu_mem
16/350,53.3801,0.59119,0.00099,34.12/755.17G,21.35G
17/350,50.38265,0.59481,0.00099,34.84/755.17G,22.68G
18/350,52.55102,0.57996,0.00099,35.24/755.17G,22.68G
19/350,50.63776,0.59007,0.00099,38.46/755.17G,22.68G
20/350,53.76276,0.5735,0.00099,35.51/755.17G,24.01G
21/350,64.60459,0.50164,0.00099,35.90/755.17G,24.01G
22/350,71.17347,0.45737,0.00099,38.46/755.17G,24.01G
23/350,67.02806,0.47858,0.00099,35.75/755.17G,24.01G
24/350,67.28316,0.48499,0.00099,35.84/755.17G,24.01G
25/350,70.66327,0.44859,0.00099,36.54/755.17G,24.01G
26/350,73.08673,0.41951,0.00099,36.90/755.17G,24.01G
27/350,70.28061,0.45119,0.00099,36.91/755.17G,24.01G
28/350,73.08673,0.42854,0.00098,39.41/755.17G,24.01G
29/350,75.0,0.41067,0.00098,36.36/755.17G,24.01G
30/350,72.83163,0.41845,0.00098,39.37/755.17G,24.01G
31/350,74.7449,0.39954,0.00098,36.39/755.17G,24.01G
32/350,74.55357,0.39231,0.00098,36.80/755.17G,24.01G
33/350,74.7449,0.39279,0.00098,36.62/755.17G,24.01G
34/350,75.95663,0.38125,0.00098,39.42/755.17G,24.01G
35/350,75.5102,0.38375,0.00098,36.35/755.17G,24.01G
36/350,73.08673,0.41777,0.00097,39.43/755.17G,24.01G
37/350,75.76531,0.39245,0.00097,35.61/755.17G,24.01G
38/350,76.91327,0.37573,0.00097,35.75/755.17G,24.01G
39/350,77.23214,0.3694,0.00097,36.25/755.17G,24.01G
40/350,76.59439,0.37843,0.00097,37.90/755.17G,24.01G
41/350,77.93367,0.36801,0.00097,34.81/755.17G,24.01G
42/350,76.40306,0.37596,0.00096,38.46/755.17G,24.01G
43/350,76.53061,0.37818,0.00096,35.03/755.17G,24.01G
44/350,76.65816,0.3838,0.00096,35.68/755.17G,24.01G
45/350,78.06122,0.34811,0.00096,38.39/755.17G,24.02G
46/350,76.02041,0.36377,0.00096,35.06/755.17G,24.02G
47/350,78.3801,0.34949,0.00096,35.54/755.17G,25.35G
48/350,76.78571,0.36865,0.00095,39.15/755.17G,25.35G
49/350,78.57143,0.35112,0.00095,42.15/755.17G,25.35G
50/350,78.82653,0.33987,0.00095,36.07/755.17G,25.35G
51/350,78.6352,0.34197,0.00095,39.61/755.17G,25.35G
52/350,79.97449,0.31835,0.00095,36.08/755.17G,25.35G
53/350,80.67602,0.32464,0.00094,36.01/755.17G,25.35G
54/350,81.7602,0.31391,0.00094,39.32/755.17G,25.35G
55/350,80.10204,0.32665,0.00094,35.51/755.17G,25.35G
56/350,81.88776,0.29882,0.00094,35.80/755.17G,25.35G
57/350,80.80357,0.32099,0.00094,39.95/755.17G,25.35G
58/350,82.01531,0.31165,0.00093,36.14/755.17G,25.35G
59/350,83.35459,0.2854,0.00093,40.18/755.17G,25.35G
60/350,81.44133,0.31113,0.00093,36.91/755.17G,25.35G
