epoch,accuracy,loss,lr,RAM,gpu_mem
16/350,55.8125,0.56836,0.00099,23.61/755.17G,21.35G
17/350,55.25,0.57236,0.00099,26.05/755.17G,22.69G
18/350,62.6875,0.51779,0.00099,25.51/755.17G,22.69G
19/350,71.9375,0.43649,0.00099,25.43/755.17G,22.69G
20/350,80.6875,0.34785,0.00099,26.02/755.17G,22.69G
21/350,80.8125,0.32829,0.00099,25.07/755.17G,24.02G
22/350,79.1875,0.34934,0.00099,25.58/755.17G,24.02G
23/350,81.375,0.32677,0.00099,25.59/755.17G,24.02G
24/350,82.0625,0.32279,0.00099,25.72/755.17G,24.02G
25/350,85.625,0.26835,0.00099,28.37/755.17G,24.02G
26/350,86.8125,0.24727,0.00099,28.60/755.17G,24.02G
27/350,87.625,0.23727,0.00099,25.76/755.17G,24.02G
28/350,88.8125,0.21446,0.00098,26.24/755.17G,24.02G
29/350,90.625,0.18929,0.00098,25.59/755.17G,24.02G
30/350,91.5,0.171,0.00098,25.23/755.17G,24.02G
31/350,91.1875,0.18111,0.00098,25.34/755.17G,24.02G
32/350,90.8125,0.17958,0.00098,25.36/755.17G,24.02G
33/350,89.25,0.19606,0.00098,25.56/755.17G,24.02G
34/350,89.5,0.20292,0.00098,25.09/755.17G,24.02G
35/350,90.9375,0.18603,0.00098,34.65/755.17G,24.02G
36/350,91.4375,0.17269,0.00097,37.45/755.17G,24.02G
37/350,91.9375,0.16907,0.00097,37.61/755.17G,24.02G
38/350,93.4375,0.13805,0.00097,34.44/755.17G,24.02G
39/350,93.5,0.15158,0.00097,34.19/755.17G,24.02G
40/350,94.8125,0.11395,0.00097,34.42/755.17G,24.02G
41/350,94.0,0.12435,0.00097,34.56/755.17G,24.02G
42/350,93.5625,0.13589,0.00096,34.01/755.17G,24.02G
43/350,93.375,0.14766,0.00096,34.69/755.17G,24.02G
44/350,93.9375,0.12851,0.00096,34.35/755.17G,24.02G
45/350,94.5625,0.12021,0.00096,34.75/755.17G,24.02G
46/350,94.375,0.13519,0.00096,34.17/755.17G,24.02G
47/350,94.4375,0.1298,0.00096,34.24/755.17G,24.02G
48/350,96.0,0.09723,0.00095,37.52/755.17G,24.02G
49/350,95.1875,0.12674,0.00095,34.75/755.17G,24.02G
50/350,94.125,0.1373,0.00095,34.15/755.17G,24.02G
51/350,95.0625,0.11525,0.00095,34.40/755.17G,24.02G
52/350,92.1875,0.17203,0.00095,34.59/755.17G,24.02G
53/350,91.9375,0.17457,0.00094,34.59/755.17G,24.02G
54/350,96.0,0.09341,0.00094,34.32/755.17G,24.02G
55/350,94.5625,0.13199,0.00094,34.01/755.17G,24.02G
56/350,96.0,0.09531,0.00094,34.47/755.17G,24.02G
57/350,95.5,0.10679,0.00094,34.54/755.17G,24.02G
58/350,95.625,0.09177,0.00093,34.18/755.17G,24.02G
59/350,95.75,0.10054,0.00093,34.50/755.17G,24.02G
60/350,93.9375,0.14684,0.00093,37.41/755.17G,24.02G
61/350,95.9375,0.0897,0.00093,34.20/755.17G,24.02G
62/350,96.8125,0.07924,0.00092,34.13/755.17G,24.02G
63/350,96.3125,0.08069,0.00092,34.52/755.17G,24.02G
64/350,96.3125,0.08952,0.00092,34.56/755.17G,24.02G
65/350,96.875,0.08641,0.00092,34.51/755.17G,24.02G
66/350,96.375,0.08773,0.00091,34.19/755.17G,24.02G
67/350,96.25,0.08845,0.00091,34.29/755.17G,24.02G
68/350,97.3125,0.05958,0.00091,34.56/755.17G,24.02G
69/350,96.6875,0.08627,0.00091,34.05/755.17G,24.02G
70/350,95.9375,0.08937,0.0009,37.92/755.17G,24.02G
71/350,97.5625,0.06591,0.0009,37.91/755.17G,24.02G
72/350,96.125,0.08744,0.0009,34.16/755.17G,24.02G
73/350,97.5625,0.05895,0.0009,34.16/755.17G,24.02G
74/350,96.5,0.09554,0.00089,34.37/755.17G,24.02G
75/350,90.5625,0.19055,0.00089,34.35/755.17G,24.02G
76/350,91.5625,0.15397,0.00089,34.21/755.17G,24.02G
77/350,96.5,0.0777,0.00089,34.19/755.17G,24.02G
78/350,97.3125,0.07111,0.00088,34.14/755.17G,24.02G
79/350,97.375,0.06589,0.00088,34.35/755.17G,24.02G
80/350,98.6875,0.03691,0.00088,34.70/755.17G,24.02G
81/350,97.9375,0.06291,0.00087,37.67/755.17G,24.02G
82/350,97.625,0.06458,0.00087,34.20/755.17G,24.02G
83/350,97.4375,0.0658,0.00087,34.30/755.17G,24.02G
84/350,97.9375,0.05448,0.00086,34.39/755.17G,24.02G
85/350,97.625,0.06035,0.00086,33.92/755.17G,24.02G
86/350,97.75,0.05266,0.00086,34.42/755.17G,24.02G
87/350,98.1875,0.05006,0.00086,34.64/755.17G,24.02G
88/350,97.4375,0.07098,0.00085,34.07/755.17G,24.02G
89/350,97.25,0.07349,0.00085,34.15/755.17G,24.02G
90/350,97.75,0.05194,0.00085,34.09/755.17G,24.02G
91/350,98.0625,0.05241,0.00084,34.35/755.17G,24.02G
92/350,98.5,0.04044,0.00084,34.79/755.17G,24.02G
93/350,98.875,0.02839,0.00084,37.98/755.17G,24.02G
94/350,97.625,0.06801,0.00083,34.75/755.17G,24.02G
95/350,97.8125,0.05915,0.00083,34.07/755.17G,24.02G
96/350,97.9375,0.05705,0.00083,34.40/755.17G,24.02G
97/350,98.25,0.04737,0.00082,33.95/755.17G,24.02G
