epoch,accuracy,loss,lr,RAM,gpu_mem
16/115,66.5018,0.51137,0.00095,38.74/755.17G,20.76G
17/115,74.57284,0.4099,0.00095,52.86/755.17G,22.09G
18/115,76.61871,0.37544,0.00094,52.99/755.17G,22.09G
19/115,80.1259,0.32481,0.00093,53.76/755.17G,22.09G
20/115,79.58633,0.34393,0.00093,53.51/755.17G,23.41G
21/115,80.57554,0.32006,0.00092,52.54/755.17G,23.41G
22/115,82.53147,0.30027,0.00091,52.97/755.17G,23.41G
23/115,81.81205,0.30242,0.0009,53.33/755.17G,23.41G
24/115,84.03777,0.26859,0.0009,52.34/755.17G,23.41G
25/115,83.58813,0.26989,0.00089,53.23/755.17G,23.41G
26/115,84.98201,0.25501,0.00088,52.58/755.17G,23.41G
27/115,85.40917,0.24462,0.00087,52.79/755.17G,23.41G
28/115,86.75809,0.23184,0.00086,52.78/755.17G,23.41G
29/115,86.71313,0.22665,0.00085,52.27/755.17G,23.41G
30/115,87.45504,0.22196,0.00084,52.74/755.17G,23.41G
31/115,86.17356,0.23327,0.00083,52.67/755.17G,23.41G
32/115,85.18435,0.24958,0.00082,53.41/755.17G,23.41G
33/115,87.7473,0.21082,0.00081,52.67/755.17G,23.41G
34/115,89.02878,0.19802,0.0008,52.88/755.17G,23.41G
35/115,87.41007,0.2152,0.00079,53.29/755.17G,23.41G
36/115,88.82644,0.19833,0.00078,53.22/755.17G,23.41G
37/115,89.47842,0.18599,0.00077,53.49/755.17G,23.41G
38/115,89.29856,0.1863,0.00075,52.55/755.17G,23.41G
39/115,89.56835,0.18329,0.00074,52.51/755.17G,23.41G
40/115,89.88309,0.17363,0.00073,52.80/755.17G,23.41G
41/115,90.40018,0.17314,0.00072,52.78/755.17G,23.41G
42/115,90.93975,0.16555,0.00071,53.22/755.17G,23.41G
43/115,91.2545,0.15459,0.00069,52.15/755.17G,23.41G
44/115,90.625,0.17188,0.00068,52.68/755.17G,23.41G
45/115,90.98471,0.16102,0.00067,53.04/755.17G,23.41G
46/115,91.1196,0.15983,0.00065,52.88/755.17G,23.41G
47/115,91.38939,0.16392,0.00064,52.70/755.17G,23.41G
48/115,91.2545,0.15135,0.00063,53.18/755.17G,23.41G
49/115,91.7491,0.15303,0.00062,52.83/755.17G,23.41G
50/115,91.29946,0.15553,0.0006,53.09/755.17G,23.41G
51/115,91.83903,0.14479,0.00059,52.92/755.17G,23.41G
52/115,90.22032,0.17108,0.00057,52.75/755.17G,23.41G
53/115,89.86061,0.17488,0.00056,53.64/755.17G,23.41G
54/115,92.31115,0.1425,0.00055,52.87/755.17G,23.41G
55/115,92.82824,0.13932,0.00053,53.40/755.17G,23.41G
56/115,92.67086,0.13792,0.00052,53.06/755.17G,23.41G
57/115,91.83903,0.14961,0.00051,52.81/755.17G,23.41G
58/115,91.81655,0.15025,0.00049,53.04/755.17G,23.41G
59/115,92.91817,0.13164,0.00048,52.70/755.17G,23.41G
60/115,92.78327,0.13279,0.00047,53.04/755.17G,23.41G
61/115,92.82824,0.13098,0.00045,53.01/755.17G,23.41G
62/115,93.23291,0.12507,0.00044,52.79/755.17G,23.41G
63/115,93.34532,0.1216,0.00043,52.68/755.17G,23.41G
64/115,93.16547,0.12877,0.00041,52.74/755.17G,23.41G
65/115,93.23291,0.12745,0.0004,52.98/755.17G,23.41G
66/115,93.79496,0.12241,0.00038,53.53/755.17G,23.41G
67/115,93.34532,0.11899,0.00037,53.26/755.17G,23.41G
68/115,93.81745,0.11803,0.00036,53.85/755.17G,23.41G
69/115,93.70504,0.12101,0.00035,52.69/755.17G,23.41G
70/115,93.70504,0.12271,0.00033,52.70/755.17G,23.41G
71/115,93.86241,0.11683,0.00032,53.22/755.17G,23.41G
72/115,94.04227,0.11439,0.00031,52.85/755.17G,23.41G
73/115,93.81745,0.11195,0.00029,53.00/755.17G,23.41G
74/115,93.21043,0.12814,0.00028,53.31/755.17G,23.41G
75/115,93.16547,0.12611,0.00027,53.52/755.17G,23.41G
76/115,94.35701,0.11185,0.00026,53.44/755.17G,23.41G
77/115,94.22212,0.11346,0.00025,52.97/755.17G,23.41G
78/115,94.71673,0.10452,0.00023,53.11/755.17G,23.41G
