epoch,accuracy,loss,lr,RAM,gpu_mem
16/350,52.47302,0.58472,0.00099,21.57/755.17G,53.59G
17/350,53.3723,0.56814,0.00099,22.94/755.17G,55.18G
18/350,62.88219,0.51646,0.00099,23.24/755.17G,55.18G
19/350,70.41367,0.45385,0.00099,22.83/755.17G,56.76G
20/350,69.44694,0.45387,0.00099,23.29/755.17G,56.76G
21/350,74.5054,0.41175,0.00099,23.69/755.17G,56.76G
22/350,76.46133,0.39164,0.00099,22.90/755.17G,56.76G
23/350,76.16906,0.38656,0.00099,22.77/755.17G,56.76G
24/350,78.64209,0.35843,0.00099,23.39/755.17G,56.77G
25/350,78.59712,0.35663,0.00099,25.56/755.17G,56.77G
26/350,76.61871,0.37527,0.00099,23.17/755.17G,58.35G
27/350,78.43975,0.34923,0.00099,23.45/755.17G,58.35G
28/350,81.11511,0.32115,0.00098,23.21/755.17G,59.94G
29/350,81.18255,0.31664,0.00098,22.98/755.17G,59.94G
30/350,81.83453,0.29856,0.00098,22.90/755.17G,59.94G
31/350,79.76619,0.32756,0.00098,24.16/755.17G,59.94G
32/350,82.10432,0.30337,0.00098,23.17/755.17G,59.95G
33/350,82.68885,0.29245,0.00098,23.52/755.17G,59.95G
34/350,82.82374,0.28795,0.00098,26.15/755.17G,59.95G
35/350,83.65558,0.28534,0.00098,26.03/755.17G,59.95G
36/350,84.03777,0.27132,0.00097,26.15/755.17G,59.95G
37/350,83.70054,0.28039,0.00097,26.79/755.17G,59.95G
38/350,84.35252,0.26906,0.00097,25.84/755.17G,59.95G
39/350,83.27338,0.28763,0.00097,25.93/755.17G,59.95G
40/350,84.08273,0.26902,0.00097,25.57/755.17G,59.95G
41/350,84.6223,0.26358,0.00097,26.61/755.17G,59.95G
42/350,85.18435,0.24758,0.00096,27.86/755.17G,59.95G
43/350,85.20683,0.25622,0.00096,28.74/755.17G,59.95G
44/350,86.33094,0.24217,0.00096,28.11/755.17G,59.95G
45/350,85.47662,0.2422,0.00096,28.15/755.17G,59.95G
46/350,86.28597,0.23678,0.00096,28.64/755.17G,59.95G
