epoch,accuracy,loss,lr,RAM,gpu_mem
16/350,57.66637,0.54779,0.00099,21.40/755.17G,1.78G
17/350,65.01799,0.49561,0.00099,22.35/755.17G,2.04G
18/350,68.54766,0.46836,0.00099,22.20/755.17G,2.04G
19/350,68.77248,0.45728,0.00099,22.39/755.17G,2.04G
20/350,70.43615,0.4424,0.00099,22.24/755.17G,2.31G
21/350,71.76259,0.4311,0.00099,22.10/755.17G,2.31G
22/350,72.16727,0.42248,0.00099,22.44/755.17G,2.31G
23/350,72.72932,0.42326,0.00099,22.60/755.17G,2.31G
24/350,72.72932,0.4177,0.00099,22.41/755.17G,2.31G
25/350,74.16817,0.39835,0.00099,22.04/755.17G,2.31G
26/350,73.96583,0.3991,0.00099,22.71/755.17G,2.31G
27/350,75.2473,0.39213,0.00099,22.54/755.17G,2.31G
28/350,75.76439,0.38711,0.00098,22.61/755.17G,2.31G
29/350,75.76439,0.38908,0.00098,22.44/755.17G,2.31G
30/350,76.07914,0.38286,0.00098,22.86/755.17G,2.31G
31/350,76.70863,0.36991,0.00098,22.89/755.17G,2.31G
32/350,76.52878,0.37258,0.00098,22.60/755.17G,2.31G
33/350,77.4955,0.36639,0.00098,22.43/755.17G,2.31G
34/350,77.36061,0.37126,0.00098,22.20/755.17G,2.31G
35/350,77.4955,0.36276,0.00098,22.42/755.17G,2.31G
36/350,77.06835,0.36628,0.00097,22.95/755.17G,2.31G
37/350,77.42806,0.36107,0.00097,22.48/755.17G,2.31G
38/350,77.90018,0.36173,0.00097,22.50/755.17G,2.31G
39/350,78.23741,0.35379,0.00097,22.95/755.17G,2.31G
40/350,78.57464,0.35398,0.00097,24.94/755.17G,2.31G
41/350,78.28237,0.35726,0.00097,25.10/755.17G,2.31G
42/350,78.21493,0.3495,0.00096,24.82/755.17G,2.31G
43/350,78.08004,0.35685,0.00096,25.22/755.17G,2.31G
44/350,78.48471,0.35246,0.00096,24.90/755.17G,2.31G
45/350,78.32734,0.35356,0.00096,24.67/755.17G,2.31G
46/350,78.91187,0.34698,0.00096,25.43/755.17G,2.31G
47/350,78.82194,0.34509,0.00096,22.61/755.17G,2.31G
48/350,79.20414,0.34111,0.00095,22.31/755.17G,2.31G
49/350,79.99101,0.34061,0.00095,22.82/755.17G,2.31G
50/350,79.90108,0.33229,0.00095,22.12/755.17G,2.31G
51/350,80.57554,0.33287,0.00095,22.30/755.17G,2.31G
52/350,79.65378,0.33443,0.00095,22.43/755.17G,2.31G
53/350,78.95683,0.34453,0.00094,22.65/755.17G,2.31G
54/350,79.33903,0.33676,0.00094,22.53/755.17G,2.31G
55/350,80.17086,0.33583,0.00094,22.60/755.17G,2.31G
56/350,78.84442,0.33837,0.00094,22.51/755.17G,2.31G
57/350,78.93435,0.33699,0.00094,22.73/755.17G,2.31G
58/350,79.06924,0.34195,0.00093,22.37/755.17G,2.31G
59/350,80.14838,0.32798,0.00093,22.14/755.17G,2.31G
60/350,80.32824,0.32679,0.00093,22.61/755.17G,2.31G
61/350,79.13669,0.34043,0.00093,22.61/755.17G,2.31G
62/350,80.48561,0.33029,0.00092,22.61/755.17G,2.31G
63/350,80.03597,0.32285,0.00092,22.68/755.17G,2.31G
64/350,80.7554,0.33019,0.00092,22.48/755.17G,2.31G
65/350,80.68795,0.32071,0.00092,22.46/755.17G,2.31G
66/350,80.19335,0.32659,0.00091,22.78/755.17G,2.31G
67/350,80.86781,0.32627,0.00091,22.71/755.17G,2.31G
68/350,80.30576,0.33081,0.00091,22.77/755.17G,2.31G
69/350,81.45234,0.31778,0.00091,22.90/755.17G,2.31G
70/350,80.39568,0.32109,0.0009,22.99/755.17G,2.31G
71/350,80.6205,0.32092,0.0009,23.04/755.17G,2.31G
72/350,80.57554,0.3265,0.0009,22.73/755.17G,2.31G
73/350,81.16007,0.31135,0.0009,22.91/755.17G,2.31G
74/350,81.09263,0.319,0.00089,27.15/755.17G,2.31G
