epoch,accuracy,loss,lr,RAM,gpu_mem
16/350,49.73022,18.56543,0.00099,51.02/755.17G,55.87G
17/350,52.60791,19.02264,0.00099,50.37/755.17G,57.20G
18/350,54.81115,17.79738,0.00099,51.27/755.17G,57.20G
19/350,64.16367,17.17877,0.00099,50.93/755.17G,57.20G
20/350,70.23381,16.9106,0.00099,51.71/755.17G,57.20G
21/350,72.68435,16.65571,0.00099,52.11/755.17G,57.20G
22/350,74.93255,16.4427,0.00099,50.86/755.17G,57.20G
23/350,76.73112,16.22564,0.00099,51.52/755.17G,58.53G
24/350,77.60791,16.03854,0.00099,50.06/755.17G,58.53G
25/350,78.86691,15.90724,0.00099,51.52/755.17G,58.53G
26/350,79.2491,15.81717,0.00099,51.76/755.17G,58.53G
27/350,79.54137,15.67768,0.00099,53.90/755.17G,58.53G
28/350,79.96853,15.53188,0.00098,52.86/755.17G,58.53G
29/350,80.03597,15.43523,0.00098,51.94/755.17G,58.53G
30/350,80.91277,15.29946,0.00098,53.31/755.17G,58.53G
31/350,81.27248,15.17569,0.00098,52.74/755.17G,58.53G
32/350,81.07014,15.08804,0.00098,50.73/755.17G,58.53G
33/350,81.60971,14.98474,0.00098,51.14/755.17G,58.53G
34/350,82.19424,14.85965,0.00098,50.32/755.17G,58.53G
35/350,79.74371,14.91171,0.00098,52.41/755.17G,58.53G
36/350,81.92446,14.78619,0.00097,52.32/755.17G,58.53G
37/350,81.67716,14.63567,0.00097,50.68/755.17G,58.53G
38/350,82.84622,14.47395,0.00097,50.84/755.17G,58.53G
39/350,83.0036,14.31461,0.00097,53.26/755.17G,58.53G
40/350,83.83543,14.21487,0.00097,51.78/755.17G,58.53G
41/350,83.85791,14.14105,0.00097,51.78/755.17G,58.53G
42/350,83.72302,14.07822,0.00096,51.19/755.17G,58.53G
43/350,83.63309,14.00349,0.00096,50.84/755.17G,58.53G
44/350,83.8804,13.91063,0.00096,52.06/755.17G,58.53G
45/350,84.71223,13.8257,0.00096,51.93/755.17G,58.53G
46/350,84.89209,13.72962,0.00096,51.23/755.17G,59.86G
47/350,84.06025,13.68568,0.00096,50.93/755.17G,59.86G
48/350,84.26259,13.61206,0.00095,51.17/755.17G,59.86G
49/350,85.45414,13.49855,0.00095,51.73/755.17G,59.86G
50/350,85.20683,13.50147,0.00095,52.15/755.17G,59.86G
51/350,85.27428,13.42917,0.00095,51.38/755.17G,59.86G
52/350,85.54406,13.34318,0.00095,51.97/755.17G,59.86G
53/350,85.94874,13.28114,0.00094,49.95/755.17G,59.86G
54/350,86.39838,13.21083,0.00094,52.79/755.17G,59.87G
55/350,85.04946,13.21921,0.00094,52.22/755.17G,59.87G
56/350,86.82554,13.13907,0.00094,53.14/755.17G,59.87G
57/350,86.3759,13.07956,0.00094,51.83/755.17G,59.87G
58/350,87.07284,13.04063,0.00093,53.06/755.17G,59.87G
59/350,86.46583,13.0002,0.00093,46.07/755.17G,59.87G
60/350,86.84802,12.95431,0.00093,45.55/755.17G,59.87G
