epoch,accuracy,loss,lr,RAM,gpu_mem
62/350,85.45414,18.50828,0.00092,38.29/755.17G,55.87G
63/350,86.82554,16.84893,0.00092,40.57/755.17G,57.20G
64/350,87.16277,15.63211,0.00092,40.53/755.17G,57.20G
65/350,87.32014,14.80231,0.00092,38.74/755.17G,58.53G
66/350,87.34263,14.33735,0.00091,37.90/755.17G,58.53G
67/350,87.72482,14.03021,0.00091,41.24/755.17G,59.86G
68/350,88.15198,13.81828,0.00091,39.73/755.17G,59.86G
69/350,88.3768,13.65922,0.00091,40.51/755.17G,59.86G
70/350,88.42176,13.55032,0.0009,40.71/755.17G,59.86G
71/350,87.9946,13.49554,0.0009,38.54/755.17G,59.86G
72/350,88.6241,13.36615,0.0009,40.76/755.17G,59.86G
73/350,88.82644,13.18018,0.0009,40.32/755.17G,59.86G
74/350,88.75899,13.06002,0.00089,41.00/755.17G,59.86G
75/350,88.91637,13.01207,0.00089,41.19/755.17G,59.86G
76/350,88.57914,12.99795,0.00089,39.60/755.17G,59.86G
77/350,89.36601,12.94226,0.00089,41.12/755.17G,59.86G
78/350,88.8714,12.91404,0.00088,40.17/755.17G,59.86G
79/350,89.32104,12.86128,0.00088,39.99/755.17G,59.86G
80/350,89.5009,12.79876,0.00088,41.32/755.17G,59.86G
81/350,90.17536,12.74881,0.00087,39.67/755.17G,59.86G
82/350,89.81565,12.67135,0.00087,40.77/755.17G,59.86G
83/350,89.61331,12.56829,0.00087,32.45/755.17G,59.86G
84/350,90.15288,12.51571,0.00086,32.76/755.17G,59.86G
85/350,90.10791,12.4898,0.00086,32.40/755.17G,59.86G
86/350,90.28777,12.49567,0.00086,32.70/755.17G,59.86G
87/350,90.44514,12.45485,0.00086,32.70/755.17G,59.86G
88/350,90.625,12.44426,0.00085,32.57/755.17G,59.86G
89/350,89.32104,12.46787,0.00085,32.70/755.17G,59.86G
90/350,89.90558,12.40444,0.00085,33.32/755.17G,59.86G
91/350,90.17536,12.36512,0.00084,58.52/755.17G,59.86G
92/350,90.06295,12.32326,0.00084,58.96/755.17G,59.86G
93/350,89.11871,12.31155,0.00084,58.54/755.17G,59.86G
94/350,89.77068,12.33089,0.00083,58.74/755.17G,59.86G
95/350,90.625,12.23837,0.00083,58.57/755.17G,59.86G
96/350,90.71493,12.19727,0.00083,58.89/755.17G,59.86G
97/350,90.28777,12.1624,0.00082,49.80/755.17G,59.86G
98/350,90.69245,12.10823,0.00082,58.94/755.17G,59.86G
99/350,90.55755,12.07717,0.00082,58.48/755.17G,59.86G
100/350,90.75989,12.05132,0.00081,60.46/755.17G,59.86G
101/350,90.91727,12.02367,0.00081,61.35/755.17G,59.86G
102/350,91.23201,11.99379,0.0008,60.81/755.17G,59.86G
103/350,91.20953,12.01785,0.0008,60.62/755.17G,59.86G
104/350,90.3777,12.06772,0.0008,60.72/755.17G,59.86G
105/350,90.84982,12.03872,0.00079,60.72/755.17G,59.86G
106/350,90.78237,12.01477,0.00079,60.34/755.17G,59.86G
107/350,91.56924,11.97427,0.00079,60.53/755.17G,59.86G
108/350,90.96223,11.93316,0.00078,57.46/755.17G,59.86G
109/350,91.72662,11.86875,0.00078,60.38/755.17G,59.86G
110/350,91.05216,11.85082,0.00078,60.61/755.17G,59.86G
111/350,91.09712,11.84851,0.00077,58.69/755.17G,59.86G
112/350,91.47932,11.84971,0.00077,58.78/755.17G,59.87G
113/350,91.95144,11.81818,0.00076,58.51/755.17G,59.87G
114/350,91.95144,11.74723,0.00076,58.57/755.17G,59.87G
115/350,92.06385,11.75971,0.00076,32.50/755.17G,59.87G
116/350,91.27698,11.76903,0.00075,32.41/755.17G,59.87G
117/350,92.31115,11.74793,0.00075,32.37/755.17G,59.87G
118/350,91.5018,11.73574,0.00074,32.89/755.17G,59.87G
119/350,91.86151,11.73041,0.00074,32.35/755.17G,59.87G
120/350,91.5018,11.69605,0.00074,32.68/755.17G,59.87G
121/350,92.04137,11.70025,0.00073,29.61/755.17G,59.87G
122/350,92.22122,11.68041,0.00073,37.48/755.17G,59.87G
123/350,92.13129,11.6296,0.00073,37.52/755.17G,59.87G
124/350,92.58094,11.57827,0.00072,37.16/755.17G,59.87G
125/350,91.9964,11.5929,0.00072,38.95/755.17G,59.87G
126/350,92.76079,11.55487,0.00071,39.10/755.17G,59.87G
127/350,92.69335,11.56384,0.00071,39.11/755.17G,59.87G
128/350,92.13129,11.53423,0.0007,39.10/755.17G,59.87G
129/350,92.46853,11.49896,0.0007,39.56/755.17G,59.87G
130/350,92.26619,11.49212,0.0007,39.10/755.17G,59.87G
131/350,93.07554,11.50414,0.00069,40.39/755.17G,59.87G
132/350,92.15378,11.50899,0.00069,39.84/755.17G,59.87G
133/350,92.89568,11.48361,0.00068,39.80/755.17G,59.87G
134/350,93.23291,11.4264,0.00068,40.57/755.17G,59.87G
135/350,92.31115,11.4127,0.00068,40.64/755.17G,59.87G
136/350,92.91817,11.39173,0.00067,40.11/755.17G,59.87G
137/350,92.44604,11.42475,0.00067,40.23/755.17G,59.87G
138/350,92.82824,11.39443,0.00066,40.71/755.17G,59.87G
139/350,93.39029,11.36479,0.00066,39.89/755.17G,59.87G
140/350,92.46853,11.34845,0.00065,41.20/755.17G,59.87G
141/350,92.44604,11.36099,0.00065,40.79/755.17G,59.87G
142/350,92.82824,11.33501,0.00065,41.38/755.17G,59.87G
143/350,92.96313,11.33188,0.00064,41.56/755.17G,59.87G
144/350,93.57014,11.26651,0.00064,41.09/755.17G,59.87G
145/350,93.14299,11.28475,0.00063,40.87/755.17G,59.87G
146/350,93.36781,11.24518,0.00063,29.00/755.17G,59.87G
147/350,93.30036,11.24366,0.00062,37.16/755.17G,59.87G
148/350,93.21043,11.24137,0.00062,37.33/755.17G,59.87G
149/350,93.95234,11.2182,0.00062,37.31/755.17G,59.87G
150/350,93.59263,11.21894,0.00061,29.72/755.17G,59.87G
151/350,93.52518,11.19417,0.00061,37.51/755.17G,59.87G
152/350,94.10971,11.20295,0.0006,37.27/755.17G,59.87G
153/350,93.57014,11.19076,0.0006,37.54/755.17G,59.87G
154/350,94.49191,11.17206,0.00059,29.07/755.17G,59.87G
155/350,93.16547,11.17168,0.00059,28.91/755.17G,59.87G
156/350,93.72752,11.1445,0.00058,32.84/755.17G,59.87G
157/350,93.43525,11.15586,0.00058,33.19/755.17G,59.87G
158/350,93.2554,11.12996,0.00058,33.12/755.17G,59.87G
159/350,93.54766,11.12564,0.00057,32.99/755.17G,59.87G
