epoch,accuracy,loss,lr,RAM,gpu_mem
1/100,59.17266,0.53575,0.001,61.99/755.17G,3.35G
2/100,73.06655,0.41883,0.00199,63.17/755.17G,5.20G
3/100,76.48381,0.37905,0.00298,64.11/755.17G,5.50G
4/100,77.29317,0.36267,0.00397,66.59/755.17G,5.50G
5/100,78.91187,0.3549,0.00497,67.22/755.17G,7.05G
6/100,80.3732,0.33772,0.00496,66.89/755.17G,7.35G
7/100,80.57554,0.32555,0.00494,33.86/755.17G,7.35G
8/100,79.92356,0.32434,0.00492,35.38/755.17G,8.89G
9/100,80.93525,0.31636,0.0049,35.04/755.17G,9.19G
10/100,82.05935,0.30468,0.00488,35.34/755.17G,9.19G
11/100,82.95863,0.29104,0.00485,35.10/755.17G,10.74G
12/100,83.07104,0.29495,0.00482,34.92/755.17G,11.04G
13/100,83.7455,0.28208,0.00479,35.22/755.17G,11.04G
14/100,83.34083,0.28135,0.00476,34.94/755.17G,11.04G
15/100,83.52068,0.2825,0.00473,35.01/755.17G,11.04G
16/100,84.15018,0.27894,0.00469,34.83/755.17G,11.04G
17/100,84.28507,0.27553,0.00465,35.32/755.17G,12.58G
18/100,84.01529,0.2746,0.00461,35.74/755.17G,12.88G
19/100,85.38669,0.26011,0.00457,34.90/755.17G,12.88G
20/100,85.09442,0.26808,0.00452,35.87/755.17G,12.88G
21/100,85.0045,0.26249,0.00448,35.25/755.17G,14.73G
22/100,85.36421,0.25842,0.00443,35.46/755.17G,14.73G
23/100,83.94784,0.27341,0.00438,36.22/755.17G,14.73G
24/100,85.97122,0.24772,0.00432,36.10/755.17G,16.28G
25/100,84.93705,0.26777,0.00427,36.14/755.17G,16.58G
26/100,85.85881,0.25489,0.00421,36.33/755.17G,18.12G
27/100,84.93705,0.25639,0.00415,36.57/755.17G,18.42G
28/100,85.56655,0.24869,0.00409,36.50/755.17G,18.42G
29/100,85.20683,0.25239,0.00403,37.52/755.17G,18.42G
30/100,86.33094,0.24333,0.00397,37.38/755.17G,18.42G
31/100,84.73471,0.25686,0.00391,36.66/755.17G,18.42G
32/100,86.26349,0.24778,0.00384,37.47/755.17G,18.42G
33/100,86.19604,0.24009,0.00377,37.18/755.17G,18.42G
34/100,85.88129,0.25128,0.0037,37.07/755.17G,18.42G
35/100,86.30845,0.24215,0.00364,37.06/755.17G,18.42G
36/100,86.30845,0.2426,0.00356,37.65/755.17G,18.42G
37/100,86.51079,0.2417,0.00349,37.84/755.17G,18.42G
38/100,86.6232,0.24189,0.00342,37.84/755.17G,18.42G
39/100,86.82554,0.23201,0.00335,37.78/755.17G,18.42G
40/100,86.19604,0.23774,0.00327,38.05/755.17G,18.42G
41/100,86.44335,0.23396,0.0032,37.98/755.17G,18.42G
42/100,86.24101,0.24226,0.00312,38.04/755.17G,18.42G
43/100,86.48831,0.23054,0.00305,37.86/755.17G,18.42G
44/100,87.41007,0.22647,0.00297,37.39/755.17G,18.42G
45/100,86.42086,0.23804,0.00289,37.48/755.17G,18.42G
46/100,87.02788,0.23172,0.00281,37.44/755.17G,18.42G
47/100,86.96043,0.2292,0.00274,37.43/755.17G,18.42G
48/100,86.91547,0.23019,0.00266,37.80/755.17G,18.42G
49/100,86.6232,0.23184,0.00258,37.70/755.17G,18.42G
50/100,87.45504,0.22384,0.0025,37.32/755.17G,18.42G
51/100,87.43255,0.23029,0.00242,37.69/755.17G,18.42G
52/100,87.63489,0.21779,0.00234,37.65/755.17G,18.43G
53/100,87.47752,0.2226,0.00227,37.40/755.17G,19.97G
54/100,87.56745,0.22263,0.00219,37.53/755.17G,20.27G
55/100,87.65737,0.21872,0.00211,37.10/755.17G,20.27G
56/100,87.05036,0.22361,0.00203,37.17/755.17G,20.27G
57/100,87.70234,0.22271,0.00195,38.82/755.17G,20.27G
58/100,87.65737,0.22624,0.00188,31.90/755.17G,20.27G
59/100,87.72482,0.22324,0.0018,33.05/755.17G,20.27G
60/100,87.54496,0.22343,0.00173,35.51/755.17G,20.27G
61/100,87.32014,0.21967,0.00165,35.23/755.17G,20.27G
62/100,87.67986,0.21808,0.00158,35.29/755.17G,20.27G
63/100,87.76978,0.21918,0.00151,35.39/755.17G,20.27G
64/100,88.33183,0.21006,0.00144,35.26/755.17G,20.27G
65/100,87.36511,0.22335,0.00137,35.33/755.17G,20.27G
66/100,88.60162,0.20828,0.0013,35.29/755.17G,20.27G
67/100,87.92716,0.21815,0.00123,35.04/755.17G,20.27G
68/100,88.89388,0.20234,0.00116,35.34/755.17G,20.27G
69/100,88.06205,0.21381,0.0011,34.11/755.17G,20.27G
70/100,87.85971,0.21802,0.00103,34.37/755.17G,20.27G
71/100,87.67986,0.22163,0.00097,34.42/755.17G,20.27G
72/100,88.08453,0.21202,0.00091,34.23/755.17G,20.27G
73/100,88.46673,0.20423,0.00085,34.29/755.17G,20.27G
74/100,88.48921,0.2081,0.00079,34.11/755.17G,20.27G
75/100,88.28687,0.21143,0.00073,34.59/755.17G,20.27G
76/100,88.55665,0.20923,0.00068,34.15/755.17G,20.27G
77/100,88.60162,0.20685,0.00062,34.29/755.17G,20.27G
78/100,87.72482,0.21364,0.00057,34.55/755.17G,20.27G
