epoch,accuracy,loss,lr,RAM,gpu_mem
1/100,64.90558,0.48946,0.001,20.45/503.53G,2.54G
2/100,73.94335,0.41301,0.00199,21.80/503.53G,4.96G
3/100,74.52788,0.40136,0.00298,22.77/503.53G,4.96G
4/100,74.48291,0.40174,0.00397,21.94/503.53G,4.96G
5/100,76.43885,0.38133,0.00497,21.97/503.53G,4.96G
6/100,76.70863,0.37457,0.00496,22.45/503.53G,5.70G
7/100,76.48381,0.37783,0.00494,21.71/503.53G,7.28G
8/100,76.48381,0.38202,0.00492,22.39/503.53G,8.86G
9/100,77.22572,0.37654,0.0049,21.85/503.53G,10.44G
10/100,76.95594,0.36537,0.00488,21.85/503.53G,11.28G
11/100,76.84353,0.36813,0.00485,21.81/503.53G,11.28G
12/100,76.93345,0.37092,0.00482,21.59/503.53G,11.28G
13/100,77.60791,0.3608,0.00479,22.09/503.53G,11.28G
14/100,77.74281,0.36452,0.00476,21.60/503.53G,11.28G
15/100,77.47302,0.35966,0.00473,21.76/503.53G,11.28G
16/100,77.83273,0.36261,0.00469,21.99/503.53G,11.28G
17/100,78.93435,0.35098,0.00465,21.86/503.53G,11.28G
18/100,79.40647,0.34622,0.00461,22.09/503.53G,11.28G
19/100,78.93435,0.34643,0.00457,21.97/503.53G,11.28G
20/100,77.90018,0.35623,0.00452,21.58/503.53G,11.28G
21/100,78.88939,0.34819,0.00448,21.43/503.53G,11.28G
22/100,78.34982,0.34808,0.00443,23.55/503.53G,11.28G
23/100,78.57464,0.3487,0.00438,23.63/503.53G,11.28G
24/100,78.86691,0.34431,0.00432,22.95/503.53G,11.28G
25/100,79.65378,0.33396,0.00427,23.43/503.53G,11.28G
26/100,79.09173,0.34001,0.00421,23.78/503.53G,11.28G
27/100,79.04676,0.33817,0.00415,23.49/503.53G,11.28G
28/100,80.19335,0.33162,0.00409,24.15/503.53G,11.28G
29/100,79.94604,0.33336,0.00403,23.47/503.53G,11.28G
30/100,78.39478,0.34492,0.00397,23.37/503.53G,11.28G
31/100,79.8786,0.33111,0.00391,23.55/503.53G,11.28G
32/100,79.27158,0.33227,0.00384,23.30/503.53G,11.28G
33/100,79.27158,0.332,0.00377,20.71/503.53G,11.28G
34/100,79.96853,0.33337,0.0037,20.65/503.53G,11.28G
35/100,78.88939,0.333,0.00364,20.24/503.53G,11.28G
36/100,80.01349,0.31987,0.00356,20.10/503.53G,11.28G
37/100,79.36151,0.33167,0.00349,19.96/503.53G,11.28G
38/100,79.85612,0.33706,0.00342,20.48/503.53G,11.28G
39/100,78.7545,0.33584,0.00335,20.45/503.53G,11.28G
40/100,79.69874,0.32979,0.00327,19.97/503.53G,11.28G
41/100,80.50809,0.33158,0.0032,20.30/503.53G,11.28G
42/100,79.67626,0.33184,0.00312,20.46/503.53G,11.28G
43/100,80.57554,0.31609,0.00305,19.94/503.53G,11.28G
44/100,80.89029,0.32015,0.00297,19.98/503.53G,11.28G
45/100,81.0027,0.32016,0.00289,20.68/503.53G,11.28G
46/100,80.68795,0.31992,0.00281,20.74/503.53G,11.28G
