epoch,accuracy,loss,lr,RAM,gpu_mem
1/100,61.46583,0.52095,0.001,27.07/503.47G,3.10G
2/100,72.00989,0.42751,0.00199,28.22/503.47G,4.99G
3/100,74.52788,0.39475,0.00298,27.60/503.47G,6.58G
4/100,76.19155,0.38523,0.00397,28.41/503.47G,6.58G
5/100,76.88849,0.37479,0.00497,38.59/503.47G,6.59G
6/100,77.2482,0.37129,0.00496,38.60/503.47G,9.47G
7/100,77.99011,0.36526,0.00494,40.00/503.47G,9.76G
8/100,78.84442,0.35145,0.00492,28.36/503.47G,9.77G
9/100,79.31655,0.34732,0.0049,37.97/503.47G,9.77G
10/100,79.63129,0.34124,0.00488,29.63/503.47G,12.65G
11/100,79.27158,0.34927,0.00485,30.58/503.47G,12.95G
12/100,79.47392,0.34358,0.00482,32.12/503.47G,12.95G
13/100,80.3732,0.3337,0.00479,40.25/503.47G,12.95G
14/100,78.59712,0.34532,0.00476,38.42/503.47G,15.83G
15/100,79.74371,0.32947,0.00473,42.40/503.47G,16.13G
16/100,80.23831,0.3323,0.00469,38.71/503.47G,16.13G
17/100,80.03597,0.33404,0.00465,42.25/503.47G,17.42G
18/100,81.45234,0.32543,0.00461,42.29/503.47G,19.31G
19/100,80.3732,0.31932,0.00457,42.54/503.47G,19.31G
20/100,80.89029,0.31643,0.00452,39.24/503.47G,19.31G
21/100,80.28327,0.32378,0.00448,39.35/503.47G,19.31G
22/100,80.41817,0.32381,0.00443,39.06/503.47G,19.31G
23/100,80.80036,0.31512,0.00438,39.18/503.47G,19.31G
24/100,80.26079,0.32266,0.00432,39.35/503.47G,19.31G
25/100,80.95773,0.31977,0.00427,38.44/503.47G,19.31G
26/100,81.22752,0.32451,0.00421,39.34/503.47G,19.31G
27/100,80.98022,0.31387,0.00415,39.19/503.47G,19.31G
28/100,81.42986,0.31105,0.00409,38.43/503.47G,19.31G
29/100,81.36241,0.31106,0.00403,38.51/503.47G,19.31G
30/100,81.67716,0.31243,0.00397,39.40/503.47G,19.31G
31/100,81.85701,0.31041,0.00391,38.82/503.47G,19.31G
32/100,81.78957,0.30766,0.00384,39.72/503.47G,19.31G
33/100,81.54227,0.31253,0.00377,38.65/503.47G,19.31G
34/100,81.8795,0.30588,0.0037,38.48/503.47G,19.31G
35/100,81.33993,0.31337,0.00364,38.87/503.47G,19.31G
36/100,82.30665,0.3014,0.00356,39.53/503.47G,19.31G
37/100,81.76709,0.30119,0.00349,39.53/503.47G,19.31G
38/100,82.50899,0.29632,0.00342,39.21/503.47G,19.31G
39/100,81.99191,0.30492,0.00335,39.47/503.47G,19.31G
40/100,82.6214,0.29099,0.00327,40.38/503.47G,19.31G
41/100,83.04856,0.29682,0.0032,38.71/503.47G,19.31G
42/100,81.8795,0.30226,0.00312,39.11/503.47G,19.31G
43/100,82.84622,0.2903,0.00305,29.73/503.47G,19.31G
44/100,82.95863,0.29659,0.00297,28.68/503.47G,19.31G
45/100,82.14928,0.29514,0.00289,33.16/503.47G,19.31G
46/100,82.71133,0.29196,0.00281,33.26/503.47G,19.31G
47/100,82.77878,0.29747,0.00274,33.62/503.47G,19.31G
48/100,82.73381,0.29277,0.00266,32.22/503.47G,19.31G
49/100,83.72302,0.28104,0.00258,33.12/503.47G,19.31G
50/100,83.29586,0.28406,0.0025,31.95/503.47G,19.31G
51/100,83.76799,0.2825,0.00242,30.74/503.47G,19.31G
52/100,83.45324,0.28102,0.00234,31.40/503.47G,19.31G
53/100,84.06025,0.27519,0.00227,30.63/503.47G,19.31G
54/100,83.0036,0.28551,0.00219,27.30/503.47G,19.31G
55/100,82.98112,0.29647,0.00211,27.02/503.47G,19.31G
56/100,82.68885,0.28849,0.00203,27.18/503.47G,19.31G
