epoch,accuracy,loss,lr,RAM,gpu_mem
1/100,61.46583,0.52095,0.001,23.01/503.47G,3.10G
2/100,71.98741,0.4275,0.00199,23.73/503.47G,4.99G
3/100,74.52788,0.39474,0.00298,23.89/503.47G,6.58G
4/100,76.32644,0.38517,0.00397,30.17/503.47G,6.58G
5/100,76.84353,0.3749,0.00497,24.17/503.47G,6.59G
6/100,77.04586,0.37074,0.00496,24.63/503.47G,9.47G
7/100,78.25989,0.36587,0.00494,27.11/503.47G,9.76G
8/100,78.66457,0.35107,0.00492,29.47/503.47G,9.77G
9/100,79.20414,0.34793,0.0049,38.66/503.47G,9.77G
10/100,79.83363,0.34027,0.00488,38.75/503.47G,12.65G
11/100,79.09173,0.34964,0.00485,28.39/503.47G,12.95G
12/100,79.38399,0.34291,0.00482,39.06/503.47G,12.95G
13/100,80.17086,0.33257,0.00479,39.56/503.47G,12.95G
14/100,78.73201,0.34596,0.00476,38.66/503.47G,15.83G
15/100,79.72122,0.33005,0.00473,28.38/503.47G,16.13G
16/100,80.10342,0.33259,0.00469,38.32/503.47G,16.13G
17/100,80.44065,0.33438,0.00465,38.46/503.47G,17.42G
18/100,81.18255,0.32437,0.00461,28.37/503.47G,19.31G
19/100,80.14838,0.31988,0.00457,33.29/503.47G,19.31G
20/100,80.71043,0.31593,0.00452,38.85/503.47G,19.31G
21/100,80.1259,0.32445,0.00448,42.67/503.47G,19.31G
22/100,80.26079,0.3239,0.00443,38.59/503.47G,19.31G
23/100,80.89029,0.31492,0.00438,42.90/503.47G,19.31G
24/100,80.26079,0.32206,0.00432,39.16/503.47G,19.31G
25/100,80.86781,0.32039,0.00427,43.18/503.47G,19.31G
26/100,81.29496,0.32503,0.00421,42.49/503.47G,19.31G
27/100,81.0027,0.3145,0.00415,42.10/503.47G,19.31G
28/100,81.60971,0.31074,0.00409,39.26/503.47G,19.31G
29/100,80.86781,0.31261,0.00403,39.02/503.47G,19.31G
30/100,81.42986,0.31276,0.00397,38.58/503.47G,19.31G
31/100,81.92446,0.31116,0.00391,38.25/503.47G,19.31G
32/100,81.7446,0.30835,0.00384,39.48/503.47G,19.31G
33/100,81.40737,0.31294,0.00377,39.98/503.47G,19.31G
34/100,81.47482,0.30546,0.0037,38.84/503.47G,19.31G
35/100,81.18255,0.31346,0.00364,39.13/503.47G,19.31G
36/100,81.94694,0.30167,0.00356,39.91/503.47G,19.31G
37/100,81.69964,0.29995,0.00349,38.86/503.47G,19.31G
38/100,82.17176,0.29693,0.00342,39.85/503.47G,19.31G
39/100,82.05935,0.30434,0.00335,39.19/503.47G,19.31G
40/100,82.93615,0.29147,0.00327,39.07/503.47G,19.31G
41/100,83.2509,0.29787,0.0032,40.87/503.47G,19.31G
42/100,81.83453,0.30271,0.00312,39.51/503.47G,19.31G
43/100,82.39658,0.29109,0.00305,39.38/503.47G,19.31G
44/100,83.02608,0.29745,0.00297,39.14/503.47G,19.31G
45/100,82.39658,0.29443,0.00289,38.66/503.47G,19.31G
46/100,82.84622,0.29154,0.00281,39.28/503.47G,19.31G
47/100,82.93615,0.2966,0.00274,40.19/503.47G,19.31G
48/100,82.84622,0.29181,0.00266,39.34/503.47G,19.31G
49/100,83.43076,0.28229,0.00258,39.47/503.47G,19.31G
50/100,82.80126,0.28558,0.0025,39.92/503.47G,19.31G
51/100,83.79047,0.28196,0.00242,39.19/503.47G,19.31G
52/100,83.4982,0.2812,0.00234,39.45/503.47G,19.31G
53/100,83.70054,0.27704,0.00227,39.71/503.47G,19.31G
54/100,82.89119,0.28632,0.00219,29.69/503.47G,19.31G
55/100,82.91367,0.29485,0.00211,32.91/503.47G,19.31G
56/100,83.0036,0.28869,0.00203,32.13/503.47G,19.31G
57/100,83.18345,0.2841,0.00195,33.03/503.47G,19.31G
58/100,83.65558,0.28815,0.00188,33.23/503.47G,19.31G
59/100,83.31835,0.28489,0.0018,33.21/503.47G,19.31G
60/100,82.57644,0.29446,0.00173,32.98/503.47G,19.31G
61/100,82.82374,0.28938,0.00165,31.16/503.47G,19.31G
62/100,84.41996,0.27082,0.00158,32.90/503.47G,19.31G
63/100,82.89119,0.2842,0.00151,33.80/503.47G,19.31G
64/100,83.40827,0.28183,0.00144,30.76/503.47G,19.31G
65/100,83.76799,0.27425,0.00137,25.79/503.47G,19.31G
66/100,83.22842,0.28005,0.0013,26.17/503.47G,19.31G
67/100,84.28507,0.26832,0.00123,26.39/503.47G,19.31G
68/100,84.01529,0.27493,0.00116,26.99/503.47G,19.31G
