epoch,accuracy,loss,lr,RAM,gpu_mem
16/100,57.1268,1.20721,0.00094,33.19/755.17G,20.76G
17/100,68.9973,0.98616,0.00093,43.56/755.17G,22.08G
18/100,74.14568,0.86738,0.00092,43.63/755.17G,22.08G
19/100,76.57374,0.78695,0.00091,44.56/755.17G,22.08G
20/100,79.8786,0.69576,0.0009,44.32/755.17G,22.08G
21/100,79.56385,0.69802,0.0009,44.54/755.17G,22.08G
22/100,81.27248,0.65529,0.00089,44.24/755.17G,22.08G
23/100,81.51978,0.64055,0.00088,44.74/755.17G,22.08G
24/100,81.83453,0.62601,0.00086,44.94/755.17G,22.08G
25/100,82.89119,0.59706,0.00085,44.74/755.17G,22.08G
26/100,83.16097,0.58309,0.00084,44.69/755.17G,22.08G
27/100,82.6214,0.59429,0.00083,44.71/755.17G,22.08G
28/100,83.36331,0.57611,0.00082,44.84/755.17G,22.08G
29/100,84.1277,0.55961,0.00081,44.73/755.17G,22.08G
30/100,85.07194,0.53511,0.00079,44.62/755.17G,22.08G
31/100,85.58903,0.50684,0.00078,44.80/755.17G,22.08G
32/100,85.81385,0.514,0.00077,45.08/755.17G,23.40G
33/100,85.22932,0.51135,0.00075,44.73/755.17G,23.40G
34/100,86.24101,0.48953,0.00074,44.70/755.17G,23.40G
35/100,86.33094,0.4833,0.00073,44.72/755.17G,23.40G
36/100,87.54496,0.45272,0.00071,44.73/755.17G,23.40G
37/100,87.43255,0.45357,0.0007,45.23/755.17G,23.40G
38/100,88.21942,0.42622,0.00068,45.66/755.17G,23.40G
39/100,87.9946,0.43421,0.00067,45.80/755.17G,23.40G
40/100,86.66817,0.46812,0.00065,45.41/755.17G,23.40G
41/100,87.2527,0.46578,0.00064,45.51/755.17G,23.40G
42/100,87.85971,0.44937,0.00062,60.01/755.17G,23.40G
43/100,88.53417,0.42136,0.00061,59.82/755.17G,23.40G
44/100,88.82644,0.41702,0.00059,60.01/755.17G,23.40G
45/100,88.19694,0.42007,0.00058,59.92/755.17G,23.40G
46/100,88.42176,0.42066,0.00056,60.07/755.17G,23.40G
47/100,88.55665,0.41357,0.00055,59.95/755.17G,23.40G
48/100,88.24191,0.41315,0.00053,60.47/755.17G,23.40G
49/100,89.18615,0.39283,0.00052,60.36/755.17G,23.40G
50/100,89.43345,0.38015,0.0005,59.99/755.17G,23.40G
51/100,90.10791,0.37081,0.00048,60.06/755.17G,23.40G
52/100,89.81565,0.37564,0.00047,60.13/755.17G,23.40G
53/100,89.79317,0.36188,0.00045,60.10/755.17G,23.40G
54/100,90.80486,0.34075,0.00044,60.66/755.17G,23.40G
55/100,90.10791,0.36628,0.00042,60.21/755.17G,23.40G
56/100,90.66996,0.34487,0.00041,60.25/755.17G,23.40G
57/100,90.80486,0.35327,0.00039,60.47/755.17G,23.40G
58/100,90.51259,0.34882,0.00038,60.01/755.17G,23.40G
59/100,91.36691,0.32207,0.00036,60.32/755.17G,23.40G
60/100,91.05216,0.33987,0.00035,60.06/755.17G,23.40G
61/100,90.8723,0.33183,0.00033,60.90/755.17G,23.40G
62/100,91.54676,0.33737,0.00032,60.38/755.17G,23.40G
63/100,91.70414,0.30973,0.0003,59.96/755.17G,23.40G
64/100,91.20953,0.34648,0.00029,60.66/755.17G,23.40G
65/100,91.32194,0.33024,0.00027,60.54/755.17G,23.40G
66/100,91.43435,0.31985,0.00026,60.18/755.17G,23.40G
67/100,91.54676,0.30469,0.00025,60.64/755.17G,23.40G
68/100,92.13129,0.29982,0.00023,60.75/755.17G,23.40G
69/100,92.04137,0.29149,0.00022,60.92/755.17G,23.40G
70/100,91.9964,0.30778,0.00021,60.75/755.17G,23.40G
71/100,91.88399,0.31465,0.00019,60.67/755.17G,23.40G
72/100,92.04137,0.29782,0.00018,60.92/755.17G,23.40G
73/100,91.43435,0.31847,0.00017,60.30/755.17G,23.40G
74/100,91.83903,0.30009,0.00016,60.60/755.17G,23.40G
75/100,92.06385,0.29104,0.00015,62.02/755.17G,23.40G
76/100,92.19874,0.28998,0.00014,60.69/755.17G,23.40G
77/100,92.24371,0.28916,0.00012,60.70/755.17G,23.40G
78/100,92.76079,0.28426,0.00011,60.41/755.17G,23.40G
79/100,92.60342,0.28322,0.0001,60.67/755.17G,23.40G
80/100,92.94065,0.26045,0.0001,60.55/755.17G,23.40G
81/100,93.27788,0.26575,9e-05,60.40/755.17G,23.40G
82/100,92.80576,0.26699,8e-05,61.02/755.17G,23.40G
83/100,92.96313,0.26686,7e-05,60.82/755.17G,23.40G
