epoch,accuracy,loss,lr,RAM,gpu_mem
16/100,56.20504,0.08939,0.00094,31.49/755.17G,20.76G
17/100,62.88219,0.05108,0.00093,43.69/755.17G,22.08G
18/100,67.08633,0.04464,0.00092,43.87/755.17G,22.08G
19/100,69.64928,0.04127,0.00091,44.22/755.17G,22.08G
20/100,73.38129,0.03717,0.0009,44.15/755.17G,22.08G
21/100,76.28147,0.03417,0.0009,44.14/755.17G,22.08G
22/100,76.57374,0.03167,0.00089,44.13/755.17G,22.08G
23/100,76.84353,0.03193,0.00088,44.21/755.17G,22.08G
24/100,77.13579,0.03099,0.00086,44.71/755.17G,22.08G
25/100,79.42896,0.02858,0.00085,44.20/755.17G,22.08G
26/100,80.14838,0.02811,0.00084,44.06/755.17G,23.40G
27/100,81.67716,0.02691,0.00083,44.24/755.17G,23.40G
28/100,81.63219,0.02597,0.00082,44.14/755.17G,23.40G
29/100,81.63219,0.02559,0.00081,44.15/755.17G,23.40G
30/100,81.56475,0.02544,0.00079,44.08/755.17G,23.40G
31/100,82.75629,0.02388,0.00078,44.40/755.17G,23.40G
32/100,84.82464,0.02369,0.00077,44.01/755.17G,23.40G
33/100,83.2509,0.02468,0.00075,44.41/755.17G,23.40G
34/100,83.67806,0.02384,0.00074,44.09/755.17G,23.40G
35/100,85.04946,0.02187,0.00073,44.22/755.17G,23.40G
36/100,85.27428,0.0219,0.00071,44.13/755.17G,23.40G
37/100,86.01619,0.02064,0.0007,44.08/755.17G,23.40G
38/100,86.57824,0.0204,0.00068,44.04/755.17G,23.40G
39/100,87.20773,0.01988,0.00067,44.06/755.17G,23.40G
40/100,87.02788,0.02006,0.00065,44.04/755.17G,23.40G
41/100,86.80306,0.01972,0.00064,44.53/755.17G,23.40G
42/100,87.45504,0.01942,0.00062,44.16/755.17G,23.40G
43/100,87.61241,0.01888,0.00061,44.09/755.17G,23.40G
44/100,87.47752,0.01902,0.00059,44.06/755.17G,23.40G
45/100,87.45504,0.01839,0.00058,44.06/755.17G,23.40G
46/100,88.1295,0.01766,0.00056,44.52/755.17G,23.40G
47/100,88.60162,0.01735,0.00055,44.53/755.17G,23.40G
48/100,88.1295,0.01781,0.00053,44.45/755.17G,23.40G
49/100,88.42176,0.01809,0.00052,44.33/755.17G,23.40G
50/100,89.02878,0.01612,0.0005,44.79/755.17G,23.40G
51/100,88.91637,0.01651,0.00048,44.96/755.17G,23.40G
52/100,89.20863,0.0171,0.00047,44.99/755.17G,23.40G
53/100,89.29856,0.01554,0.00045,44.90/755.17G,23.40G
54/100,89.72572,0.01536,0.00044,45.16/755.17G,23.40G
55/100,89.27608,0.01682,0.00042,45.22/755.17G,23.40G
56/100,89.68076,0.01549,0.00041,45.85/755.17G,23.40G
57/100,90.40018,0.01519,0.00039,45.10/755.17G,23.40G
58/100,90.24281,0.01501,0.00038,45.46/755.17G,23.40G
59/100,90.625,0.01505,0.00036,45.47/755.17G,23.40G
60/100,90.53507,0.01463,0.00035,45.17/755.17G,23.40G
61/100,91.36691,0.01433,0.00033,45.10/755.17G,23.40G
62/100,90.3777,0.01545,0.00032,45.15/755.17G,23.40G
