epoch,accuracy,loss,lr,RAM,gpu_mem
16/100,68.43525,0.32373,0.00094,34.73/755.17G,20.76G
17/100,67.94065,0.32141,0.00093,48.34/755.17G,20.76G
18/100,73.83094,0.26211,0.00092,48.41/755.17G,22.07G
19/100,75.20234,0.24415,0.00091,48.33/755.17G,22.08G
20/100,78.41727,0.21163,0.0009,48.32/755.17G,22.08G
21/100,76.91097,0.22771,0.0009,45.45/755.17G,22.08G
22/100,76.79856,0.22857,0.00089,44.62/755.17G,22.08G
23/100,78.57464,0.21119,0.00088,45.01/755.17G,22.08G
24/100,77.99011,0.21513,0.00086,44.73/755.17G,22.08G
25/100,78.05755,0.21505,0.00085,44.64/755.17G,22.08G
26/100,79.31655,0.20387,0.00084,44.48/755.17G,22.08G
27/100,80.30576,0.1925,0.00083,44.55/755.17G,22.08G
28/100,79.63129,0.19971,0.00082,44.82/755.17G,22.08G
29/100,79.36151,0.20127,0.00081,44.70/755.17G,23.41G
30/100,80.64299,0.18974,0.00079,44.94/755.17G,23.41G
31/100,82.57644,0.17069,0.00078,44.89/755.17G,23.41G
32/100,81.94694,0.1754,0.00077,45.24/755.17G,23.41G
33/100,82.14928,0.17406,0.00075,44.85/755.17G,23.41G
34/100,82.3741,0.17076,0.00074,45.15/755.17G,23.41G
35/100,82.28417,0.17419,0.00073,43.30/755.17G,23.41G
36/100,83.34083,0.16266,0.00071,43.38/755.17G,23.41G
37/100,83.13849,0.16273,0.0007,43.41/755.17G,23.41G
38/100,83.56565,0.16062,0.00068,43.20/755.17G,23.41G
39/100,84.35252,0.15195,0.00067,43.84/755.17G,23.41G
40/100,83.85791,0.15699,0.00065,43.46/755.17G,23.41G
41/100,84.50989,0.15061,0.00064,43.39/755.17G,23.41G
42/100,85.07194,0.14607,0.00062,43.39/755.17G,23.41G
43/100,83.11601,0.16249,0.00061,43.39/755.17G,23.41G
44/100,84.15018,0.15288,0.00059,43.39/755.17G,23.41G
45/100,84.80216,0.14905,0.00058,43.24/755.17G,23.41G
46/100,85.43165,0.14139,0.00056,43.28/755.17G,23.41G
47/100,85.52158,0.14044,0.00055,44.21/755.17G,23.41G
48/100,85.27428,0.14274,0.00053,43.30/755.17G,23.41G
49/100,85.81385,0.13785,0.00052,43.49/755.17G,23.41G
50/100,86.03867,0.13557,0.0005,43.23/755.17G,23.41G
51/100,85.76888,0.13684,0.00048,43.23/755.17G,23.41G
52/100,86.42086,0.13174,0.00047,43.32/755.17G,23.41G
53/100,86.57824,0.13062,0.00045,43.31/755.17G,23.41G
54/100,86.73561,0.12939,0.00044,43.30/755.17G,23.41G
55/100,87.05036,0.1261,0.00042,43.31/755.17G,23.41G
56/100,86.69065,0.13007,0.00041,43.67/755.17G,23.41G
57/100,87.88219,0.11705,0.00039,43.36/755.17G,23.41G
58/100,87.18525,0.12386,0.00038,43.29/755.17G,23.41G
59/100,87.76978,0.11981,0.00036,43.43/755.17G,23.41G
60/100,86.75809,0.12682,0.00035,43.24/755.17G,23.41G
61/100,87.29766,0.1233,0.00033,43.45/755.17G,23.41G
62/100,87.2527,0.12374,0.00032,43.34/755.17G,23.41G
63/100,87.7473,0.12021,0.0003,43.44/755.17G,23.41G
64/100,87.90468,0.11691,0.00029,43.47/755.17G,23.41G
65/100,88.15198,0.1153,0.00027,43.55/755.17G,23.41G
66/100,88.30935,0.11293,0.00026,43.39/755.17G,23.41G
67/100,88.39928,0.11265,0.00025,43.32/755.17G,23.41G
68/100,88.10701,0.11473,0.00023,43.40/755.17G,23.41G
69/100,88.6241,0.10945,0.00022,43.41/755.17G,23.41G
70/100,88.64658,0.10806,0.00021,43.48/755.17G,23.41G
71/100,88.93885,0.1075,0.00019,43.40/755.17G,23.41G
72/100,89.09622,0.10549,0.00018,43.53/755.17G,23.41G
73/100,88.55665,0.1108,0.00017,43.73/755.17G,23.41G
74/100,89.2536,0.10292,0.00016,43.43/755.17G,23.41G
75/100,89.79317,0.09897,0.00015,43.31/755.17G,23.41G
76/100,89.23112,0.10539,0.00014,43.30/755.17G,23.41G
77/100,89.27608,0.10346,0.00012,43.45/755.17G,23.41G
78/100,89.32104,0.10406,0.00011,43.45/755.17G,23.41G
79/100,89.41097,0.10266,0.0001,43.35/755.17G,23.41G
80/100,88.93885,0.10631,0.0001,44.02/755.17G,23.41G
81/100,89.23112,0.10397,9e-05,43.40/755.17G,23.41G
82/100,89.5009,0.10157,8e-05,43.42/755.17G,23.41G
83/100,89.92806,0.09706,7e-05,43.30/755.17G,23.41G
84/100,89.7482,0.09908,6e-05,43.34/755.17G,23.41G
85/100,89.59083,0.09921,5e-05,43.47/755.17G,23.41G
86/100,89.41097,0.10211,5e-05,43.42/755.17G,23.41G
87/100,89.47842,0.10239,4e-05,43.66/755.17G,23.41G
88/100,90.15288,0.09486,4e-05,43.44/755.17G,23.41G
89/100,89.70324,0.09882,3e-05,43.46/755.17G,23.41G
90/100,90.31025,0.09437,2e-05,43.27/755.17G,23.41G
91/100,90.1304,0.09559,2e-05,43.51/755.17G,23.41G
92/100,90.64748,0.09052,2e-05,43.58/755.17G,23.41G
93/100,89.90558,0.09657,1e-05,43.46/755.17G,23.41G
94/100,90.01799,0.09599,1e-05,43.67/755.17G,23.41G
95/100,89.7482,0.09961,1e-05,43.30/755.17G,23.41G
96/100,89.83813,0.09772,0.0,43.40/755.17G,23.41G
97/100,89.70324,0.09937,0.0,43.47/755.17G,23.41G
98/100,90.35522,0.09452,0.0,43.37/755.17G,23.41G
