epoch,accuracy,loss,lr,RAM,gpu_mem
16/100,57.80126,0.54313,0.00094,51.47/755.17G,20.76G
17/100,66.70414,0.45672,0.00093,65.00/755.17G,22.08G
18/100,73.31385,0.38302,0.00092,65.30/755.17G,22.08G
19/100,75.02248,0.35761,0.00091,65.41/755.17G,22.08G
20/100,77.92266,0.3307,0.0009,65.22/755.17G,22.08G
21/100,79.85612,0.30672,0.0009,62.23/755.17G,22.08G
22/100,81.11511,0.29118,0.00089,61.04/755.17G,22.08G
23/100,81.72212,0.28113,0.00088,61.43/755.17G,23.41G
24/100,81.0027,0.28916,0.00086,61.78/755.17G,23.41G
25/100,81.65468,0.2787,0.00085,61.34/755.17G,23.41G
26/100,82.91367,0.25896,0.00084,61.51/755.17G,23.41G
27/100,83.8804,0.24757,0.00083,61.22/755.17G,23.41G
28/100,83.7455,0.24409,0.00082,61.40/755.17G,23.41G
29/100,84.15018,0.23905,0.00081,61.78/755.17G,23.41G
30/100,84.77968,0.23031,0.00079,61.85/755.17G,23.41G
31/100,85.97122,0.21651,0.00078,62.00/755.17G,23.41G
32/100,84.03777,0.24295,0.00077,61.55/755.17G,23.41G
33/100,85.02698,0.22906,0.00075,61.36/755.17G,23.41G
34/100,85.54406,0.21941,0.00074,61.41/755.17G,23.41G
35/100,86.01619,0.21499,0.00073,61.42/755.17G,23.41G
36/100,86.71313,0.20221,0.00071,61.49/755.17G,23.41G
37/100,86.21853,0.20706,0.0007,61.27/755.17G,23.41G
38/100,86.10612,0.21189,0.00068,62.94/755.17G,23.41G
39/100,88.1295,0.1839,0.00067,63.28/755.17G,23.41G
40/100,87.7473,0.18875,0.00065,63.08/755.17G,23.41G
41/100,87.54496,0.19501,0.00064,62.70/755.17G,23.41G
42/100,88.24191,0.18813,0.00062,63.17/755.17G,23.41G
43/100,88.15198,0.18341,0.00061,62.95/755.17G,23.41G
44/100,88.80396,0.17621,0.00059,63.41/755.17G,23.41G
45/100,88.96133,0.17822,0.00058,63.82/755.17G,23.41G
46/100,89.00629,0.17106,0.00056,69.95/755.17G,23.41G
47/100,89.23112,0.16858,0.00055,71.41/755.17G,23.41G
48/100,88.91637,0.17095,0.00053,71.32/755.17G,23.41G
49/100,90.17536,0.15842,0.00052,71.31/755.17G,23.41G
50/100,90.04047,0.1542,0.0005,71.64/755.17G,23.41G
51/100,90.58004,0.15274,0.00048,51.20/755.17G,23.41G
52/100,89.92806,0.15831,0.00047,50.33/755.17G,23.41G
53/100,89.97302,0.14801,0.00045,51.30/755.17G,23.41G
54/100,90.40018,0.14916,0.00044,60.43/755.17G,23.41G
55/100,90.40018,0.15148,0.00042,59.52/755.17G,23.41G
56/100,90.75989,0.14757,0.00041,59.86/755.17G,23.41G
57/100,91.52428,0.14056,0.00039,61.89/755.17G,23.41G
58/100,91.14209,0.14158,0.00038,62.26/755.17G,23.41G
59/100,91.5018,0.13688,0.00036,62.44/755.17G,23.41G
60/100,91.79406,0.13603,0.00035,63.41/755.17G,23.41G
61/100,91.52428,0.13405,0.00033,63.80/755.17G,23.41G
62/100,91.47932,0.13826,0.00032,63.37/755.17G,23.41G
63/100,91.95144,0.13273,0.0003,63.22/755.17G,23.41G
64/100,91.56924,0.13553,0.00029,63.35/755.17G,23.41G
65/100,91.97392,0.13167,0.00027,63.15/755.17G,23.41G
66/100,91.59173,0.13301,0.00026,63.26/755.17G,23.41G
67/100,92.24371,0.12363,0.00025,63.06/755.17G,23.41G
68/100,92.67086,0.12205,0.00023,63.07/755.17G,23.41G
69/100,92.10881,0.12531,0.00022,63.55/755.17G,23.41G
70/100,92.31115,0.12505,0.00021,63.18/755.17G,23.41G
71/100,92.46853,0.12213,0.00019,61.90/755.17G,23.41G
72/100,92.44604,0.12187,0.00018,61.49/755.17G,23.41G
73/100,92.71583,0.12636,0.00017,61.77/755.17G,23.41G
74/100,92.3786,0.12219,0.00016,62.07/755.17G,23.41G
75/100,92.58094,0.12284,0.00015,61.68/755.17G,23.41G
76/100,93.03058,0.12023,0.00014,61.79/755.17G,23.41G
77/100,92.42356,0.12305,0.00012,61.90/755.17G,23.41G
78/100,93.14299,0.1143,0.00011,62.11/755.17G,23.41G
79/100,92.35612,0.12088,0.0001,61.93/755.17G,23.41G
80/100,93.1205,0.11272,0.0001,62.00/755.17G,23.41G
81/100,92.76079,0.1197,9e-05,62.61/755.17G,23.41G
82/100,93.2554,0.11062,8e-05,62.69/755.17G,23.41G
83/100,92.8732,0.115,7e-05,62.80/755.17G,23.41G
84/100,93.45773,0.11098,6e-05,62.66/755.17G,23.41G
85/100,93.32284,0.11111,5e-05,63.08/755.17G,23.41G
86/100,93.21043,0.10793,5e-05,63.15/755.17G,23.41G
87/100,93.16547,0.11326,4e-05,62.77/755.17G,23.41G
88/100,93.27788,0.10361,4e-05,62.70/755.17G,23.41G
89/100,93.63759,0.1093,3e-05,62.86/755.17G,23.41G
90/100,93.2554,0.1118,2e-05,62.79/755.17G,23.41G
91/100,93.72752,0.10406,2e-05,62.65/755.17G,23.41G
92/100,93.75,0.10528,2e-05,63.69/755.17G,23.41G
93/100,93.83993,0.10251,1e-05,62.60/755.17G,23.41G
94/100,93.63759,0.10772,1e-05,63.42/755.17G,23.41G
95/100,93.77248,0.09991,1e-05,62.87/755.17G,23.41G
96/100,93.57014,0.10899,0.0,62.90/755.17G,23.41G
97/100,93.1205,0.11134,0.0,62.52/755.17G,23.41G
98/100,93.75,0.10851,0.0,64.28/755.17G,23.41G
99/100,93.21043,0.11067,0.0,64.58/755.17G,23.41G
100/100,93.36781,0.10703,0.0,64.43/755.17G,23.41G
