epoch,accuracy,loss,lr,RAM,gpu_mem
16/115,52.54047,1.17482,0.00095,72.01/755.17G,20.78G
17/115,58.36331,1.13461,0.00095,84.94/755.17G,22.10G
18/115,66.47932,1.03532,0.00094,82.59/755.17G,22.10G
19/115,72.43705,0.9069,0.00093,82.34/755.17G,22.10G
20/115,75.96673,0.82362,0.00093,82.87/755.17G,22.10G
21/115,76.21403,0.80002,0.00092,83.05/755.17G,22.10G
22/115,78.10252,0.75588,0.00091,82.05/755.17G,22.10G
23/115,79.4964,0.71548,0.0009,82.91/755.17G,22.11G
24/115,80.28327,0.68932,0.0009,83.72/755.17G,22.11G
25/115,79.78867,0.68759,0.00089,82.82/755.17G,22.11G
26/115,80.50809,0.66803,0.00088,82.97/755.17G,23.43G
27/115,81.90198,0.64424,0.00087,83.46/755.17G,23.43G
28/115,81.29496,0.63898,0.00086,82.41/755.17G,23.43G
29/115,82.19424,0.623,0.00085,82.34/755.17G,23.43G
30/115,82.44155,0.61349,0.00084,85.86/755.17G,23.43G
31/115,82.30665,0.61298,0.00083,83.72/755.17G,23.43G
32/115,82.91367,0.58666,0.00082,82.34/755.17G,23.43G
33/115,83.4982,0.58816,0.00081,81.88/755.17G,23.43G
34/115,83.92536,0.55136,0.0008,81.97/755.17G,23.43G
35/115,84.75719,0.5462,0.00079,82.52/755.17G,23.43G
36/115,84.6223,0.53942,0.00078,82.82/755.17G,23.43G
37/115,84.75719,0.53715,0.00077,82.42/755.17G,23.43G
38/115,85.45414,0.51695,0.00075,85.72/755.17G,23.43G
39/115,85.4991,0.52101,0.00074,82.82/755.17G,23.43G
40/115,85.61151,0.511,0.00073,82.37/755.17G,23.43G
41/115,86.15108,0.49665,0.00072,85.97/755.17G,23.43G
42/115,86.55576,0.48831,0.00071,83.33/755.17G,23.43G
43/115,86.60072,0.497,0.00069,84.48/755.17G,23.43G
44/115,86.28597,0.4766,0.00068,83.78/755.17G,23.43G
45/115,87.11781,0.47206,0.00067,82.74/755.17G,23.43G
46/115,86.84802,0.46437,0.00065,82.22/755.17G,23.43G
47/115,87.14029,0.46241,0.00064,83.62/755.17G,23.43G
48/115,87.11781,0.46918,0.00063,83.47/755.17G,23.43G
49/115,86.64568,0.47534,0.00062,82.89/755.17G,23.43G
50/115,87.2527,0.45542,0.0006,83.52/755.17G,23.43G
51/115,87.81475,0.44415,0.00059,82.76/755.17G,23.43G
52/115,88.39928,0.42613,0.00057,84.59/755.17G,23.43G
53/115,88.26439,0.42376,0.00056,82.75/755.17G,23.43G
54/115,89.05126,0.40776,0.00055,83.00/755.17G,23.43G
55/115,88.48921,0.42495,0.00053,83.30/755.17G,23.43G
56/115,88.60162,0.41238,0.00052,83.71/755.17G,23.43G
57/115,88.98381,0.40498,0.00051,83.33/755.17G,23.43G
58/115,89.2536,0.40462,0.00049,82.52/755.17G,23.43G
59/115,89.11871,0.39786,0.00048,83.45/755.17G,23.43G
60/115,88.91637,0.39839,0.00047,82.36/755.17G,23.43G
61/115,89.05126,0.39599,0.00045,82.83/755.17G,23.43G
62/115,89.72572,0.38241,0.00044,83.09/755.17G,23.43G
