epoch,accuracy,loss,lr,RAM,gpu_mem
16/115,52.18076,0.55916,0.00095,42.91/755.17G,20.78G
17/115,64.86061,0.5112,0.00095,53.26/755.17G,22.10G
18/115,73.40378,0.42969,0.00094,53.36/755.17G,22.10G
19/115,76.79856,0.39292,0.00093,53.59/755.17G,22.10G
20/115,77.18076,0.38023,0.00093,53.86/755.17G,22.10G
21/115,79.18165,0.36014,0.00092,54.08/755.17G,22.10G
22/115,79.69874,0.35327,0.00091,53.85/755.17G,22.10G
23/115,80.55306,0.3421,0.0009,53.67/755.17G,22.10G
24/115,80.91277,0.32963,0.0009,54.54/755.17G,22.10G
25/115,81.72212,0.32629,0.00089,54.36/755.17G,22.10G
26/115,82.21673,0.30875,0.00088,53.95/755.17G,22.10G
27/115,82.41906,0.30758,0.00087,54.09/755.17G,22.10G
28/115,82.71133,0.29777,0.00086,66.49/755.17G,22.10G
29/115,83.70054,0.2877,0.00085,66.22/755.17G,22.10G
30/115,83.81295,0.28973,0.00084,66.09/755.17G,22.10G
31/115,82.05935,0.30486,0.00083,65.95/755.17G,22.10G
32/115,83.27338,0.29286,0.00082,66.32/755.17G,22.10G
33/115,83.92536,0.28011,0.00081,65.85/755.17G,22.10G
34/115,85.09442,0.26473,0.0008,66.27/755.17G,22.10G
35/115,84.39748,0.26328,0.00079,65.75/755.17G,23.42G
36/115,85.94874,0.25108,0.00078,65.90/755.17G,23.42G
37/115,85.31924,0.25131,0.00077,66.38/755.17G,23.42G
38/115,86.15108,0.24524,0.00075,66.40/755.17G,23.43G
39/115,86.80306,0.23742,0.00074,66.48/755.17G,23.43G
40/115,86.75809,0.2344,0.00073,66.77/755.17G,23.43G
41/115,86.06115,0.2443,0.00072,66.59/755.17G,23.43G
42/115,86.82554,0.23328,0.00071,66.45/755.17G,23.43G
43/115,87.61241,0.22489,0.00069,66.85/755.17G,23.43G
44/115,87.20773,0.23297,0.00068,67.78/755.17G,23.43G
45/115,87.29766,0.2231,0.00067,66.33/755.17G,23.43G
46/115,87.63489,0.21819,0.00065,67.35/755.17G,23.43G
47/115,87.97212,0.21748,0.00064,67.41/755.17G,23.43G
48/115,87.7473,0.22134,0.00063,67.19/755.17G,23.43G
49/115,87.36511,0.21808,0.00062,54.63/755.17G,23.43G
50/115,88.10701,0.21099,0.0006,58.06/755.17G,23.43G
