epoch,accuracy,loss,lr,RAM,gpu_mem
16/115,51.77608,1.18252,0.00095,26.06/165.03G,20.78G
17/115,55.32824,1.16179,0.00095,40.01/165.03G,22.10G
18/115,57.86871,1.13747,0.00094,39.89/165.03G,22.10G
19/115,65.51259,1.0424,0.00093,40.02/165.03G,22.10G
20/115,68.97482,0.96542,0.00093,40.66/165.03G,22.10G
21/115,72.63939,0.90676,0.00092,40.73/165.03G,22.10G
22/115,73.60612,0.8716,0.00091,40.76/165.03G,22.10G
23/115,76.23651,0.80614,0.0009,41.20/165.03G,23.43G
24/115,77.60791,0.76617,0.0009,40.89/165.03G,23.43G
25/115,78.25989,0.76589,0.00089,41.09/165.03G,23.43G
26/115,78.3723,0.74156,0.00088,41.70/165.03G,23.43G
27/115,80.01349,0.6913,0.00087,41.07/165.03G,23.43G
28/115,81.72212,0.65625,0.00086,41.21/165.03G,23.43G
29/115,79.8786,0.69444,0.00085,41.21/165.03G,23.43G
30/115,81.38489,0.66018,0.00084,41.91/165.03G,23.43G
31/115,81.78957,0.63129,0.00083,40.96/165.03G,23.43G
32/115,83.04856,0.61159,0.00082,41.58/165.03G,23.43G
33/115,83.45324,0.59697,0.00081,41.17/165.03G,23.43G
34/115,84.39748,0.56808,0.0008,41.10/165.03G,23.43G
35/115,84.35252,0.56363,0.00079,41.15/165.03G,23.43G
36/115,84.66727,0.56053,0.00078,41.16/165.03G,23.43G
37/115,83.13849,0.60876,0.00077,41.66/165.03G,23.43G
38/115,84.08273,0.57704,0.00075,41.53/165.03G,23.43G
39/115,84.6223,0.5401,0.00074,37.94/165.03G,23.43G
40/115,84.59982,0.55084,0.00073,38.49/165.03G,23.43G
41/115,86.1286,0.5173,0.00072,38.50/165.03G,23.43G
42/115,86.35342,0.49469,0.00071,37.95/165.03G,23.43G
43/115,86.73561,0.48849,0.00069,37.80/165.03G,23.43G
44/115,86.57824,0.48419,0.00068,37.89/165.03G,23.43G
45/115,87.11781,0.47978,0.00067,37.87/165.03G,23.43G
46/115,86.44335,0.49336,0.00065,37.59/165.03G,23.43G
47/115,88.15198,0.4413,0.00064,38.41/165.03G,23.43G
48/115,87.5,0.46355,0.00063,38.17/165.03G,23.43G
49/115,87.56745,0.45721,0.00062,38.38/165.03G,23.43G
50/115,87.94964,0.44502,0.0006,39.61/165.03G,23.43G
51/115,87.07284,0.47243,0.00059,39.75/165.03G,23.43G
52/115,87.76978,0.4611,0.00057,40.26/165.03G,23.43G
53/115,87.76978,0.45573,0.00056,39.82/165.03G,23.43G
54/115,88.01709,0.43532,0.00055,40.14/165.03G,23.43G
55/115,88.15198,0.435,0.00053,39.95/165.03G,23.43G
56/115,88.48921,0.4245,0.00052,39.69/165.03G,23.43G
57/115,88.73651,0.41408,0.00051,40.36/165.03G,23.43G
58/115,88.60162,0.42333,0.00049,39.81/165.03G,23.43G
59/115,89.88309,0.38715,0.00048,39.86/165.03G,23.43G
60/115,88.78147,0.40649,0.00047,40.13/165.03G,23.43G
61/115,89.23112,0.39404,0.00045,40.24/165.03G,23.43G
62/115,89.9955,0.37174,0.00044,39.96/165.03G,23.43G
63/115,89.68076,0.3705,0.00043,39.99/165.03G,23.43G
64/115,90.49011,0.36955,0.00041,40.21/165.03G,23.43G
65/115,90.01799,0.37738,0.0004,40.26/165.03G,23.43G
66/115,89.52338,0.39179,0.00038,39.76/165.03G,23.43G
67/115,89.56835,0.3844,0.00037,40.05/165.03G,23.43G
68/115,89.86061,0.37106,0.00036,40.69/165.03G,23.43G
69/115,90.53507,0.36465,0.00035,39.73/165.03G,23.43G
70/115,90.625,0.35017,0.00033,40.00/165.03G,23.43G
71/115,90.40018,0.36243,0.00032,40.05/165.03G,23.43G
72/115,90.40018,0.35339,0.00031,40.50/165.03G,23.43G
73/115,90.75989,0.34513,0.00029,40.09/165.03G,23.43G
74/115,90.78237,0.35117,0.00028,39.93/165.03G,23.43G
75/115,90.96223,0.34814,0.00027,40.37/165.03G,23.43G
76/115,91.18705,0.33581,0.00026,40.24/165.03G,23.43G
77/115,91.52428,0.32299,0.00025,40.55/165.03G,23.43G
78/115,91.00719,0.33165,0.00023,40.18/165.03G,23.43G
79/115,91.86151,0.31587,0.00022,39.95/165.03G,23.43G
80/115,91.86151,0.30703,0.00021,40.56/165.03G,23.43G
81/115,91.36691,0.33032,0.0002,40.34/165.03G,23.43G
82/115,91.63669,0.3169,0.00019,40.35/165.03G,23.43G
83/115,92.01888,0.30926,0.00018,40.51/165.03G,23.43G
84/115,92.08633,0.30363,0.00017,39.91/165.03G,23.43G
85/115,92.13129,0.3044,0.00016,39.90/165.03G,23.43G
86/115,91.90647,0.30832,0.00015,40.63/165.03G,23.43G
87/115,92.04137,0.29908,0.00014,40.61/165.03G,23.43G
88/115,91.77158,0.30979,0.00013,40.21/165.03G,23.43G
89/115,92.35612,0.28817,0.00012,38.62/165.03G,23.43G
90/115,92.42356,0.29497,0.00011,39.93/165.03G,23.43G
91/115,92.58094,0.28931,0.0001,39.94/165.03G,23.43G
92/115,92.13129,0.30233,0.0001,39.89/165.03G,23.43G
93/115,92.64838,0.2837,9e-05,40.75/165.03G,23.43G
94/115,92.55845,0.27656,8e-05,40.32/165.03G,23.43G
95/115,92.67086,0.27789,7e-05,40.33/165.03G,23.43G
96/115,92.89568,0.27279,7e-05,40.47/165.03G,23.43G
97/115,92.04137,0.30503,6e-05,40.38/165.03G,23.43G
98/115,92.49101,0.28498,5e-05,40.31/165.03G,23.43G
99/115,93.18795,0.26494,5e-05,40.15/165.03G,23.43G
100/115,92.76079,0.28291,4e-05,40.00/165.03G,23.43G
101/115,92.94065,0.2759,4e-05,40.14/165.03G,23.43G
102/115,92.71583,0.29315,3e-05,40.34/165.03G,23.43G
103/115,92.80576,0.28332,3e-05,39.91/165.03G,23.43G
104/115,93.2554,0.27296,2e-05,40.47/165.03G,23.43G
105/115,92.80576,0.27719,2e-05,40.60/165.03G,23.43G
106/115,92.78327,0.2847,2e-05,40.18/165.03G,23.43G
107/115,92.71583,0.27659,1e-05,40.41/165.03G,23.43G
