epoch,accuracy,loss,lr,RAM,gpu_mem
16/115,51.34892,1.17924,0.00095,36.12/755.17G,20.78G
17/115,60.04946,1.11743,0.00095,42.64/755.17G,22.10G
18/115,69.31205,0.99238,0.00094,42.60/755.17G,22.10G
19/115,73.69604,0.88824,0.00093,43.02/755.17G,22.10G
20/115,74.70773,0.85114,0.00093,44.16/755.17G,22.10G
21/115,76.95594,0.80322,0.00092,54.79/755.17G,22.10G
22/115,77.81025,0.77205,0.00091,55.32/755.17G,22.10G
23/115,77.42806,0.77838,0.0009,67.19/755.17G,22.10G
24/115,78.77698,0.72583,0.0009,54.45/755.17G,22.10G
25/115,79.69874,0.70596,0.00089,56.40/755.17G,22.10G
26/115,80.3732,0.69106,0.00088,55.93/755.17G,22.10G
27/115,79.85612,0.70397,0.00087,54.98/755.17G,22.10G
28/115,81.02518,0.67225,0.00086,55.96/755.17G,22.10G
29/115,82.01439,0.64002,0.00085,55.42/755.17G,22.10G
30/115,81.90198,0.64015,0.00084,56.35/755.17G,22.10G
31/115,81.85701,0.63418,0.00083,56.43/755.17G,22.10G
32/115,80.14838,0.67144,0.00082,56.04/755.17G,22.10G
33/115,80.82284,0.66445,0.00081,67.61/755.17G,22.10G
34/115,82.57644,0.62036,0.0008,43.44/755.17G,22.10G
35/115,83.47572,0.59164,0.00079,44.77/755.17G,23.42G
36/115,82.89119,0.59873,0.00078,47.14/755.17G,23.42G
37/115,84.375,0.55984,0.00077,47.17/755.17G,23.42G
38/115,83.92536,0.56421,0.00075,59.97/755.17G,23.42G
39/115,83.13849,0.5804,0.00074,47.74/755.17G,23.42G
40/115,85.56655,0.53089,0.00073,47.02/755.17G,23.42G
41/115,83.70054,0.56444,0.00072,47.55/755.17G,23.42G
42/115,85.7464,0.50321,0.00071,46.10/755.17G,23.42G
43/115,85.65647,0.51959,0.00069,46.48/755.17G,23.42G
44/115,86.21853,0.49978,0.00068,47.03/755.17G,23.42G
45/115,86.48831,0.49523,0.00067,46.53/755.17G,23.42G
46/115,86.33094,0.49438,0.00065,51.74/755.17G,23.42G
47/115,86.75809,0.4707,0.00064,47.31/755.17G,23.42G
48/115,86.10612,0.49011,0.00063,53.48/755.17G,23.42G
49/115,87.56745,0.45689,0.00062,54.02/755.17G,23.42G
50/115,88.28687,0.43253,0.0006,57.34/755.17G,23.42G
51/115,87.70234,0.45324,0.00059,46.77/755.17G,23.42G
52/115,88.3768,0.43246,0.00057,46.39/755.17G,23.42G
53/115,87.9946,0.44513,0.00056,46.73/755.17G,23.42G
54/115,87.9946,0.43583,0.00055,47.01/755.17G,23.42G
55/115,88.71403,0.41312,0.00053,46.06/755.17G,23.42G
56/115,88.93885,0.41409,0.00052,46.43/755.17G,23.42G
57/115,88.69155,0.41128,0.00051,46.06/755.17G,23.42G
58/115,89.07374,0.39349,0.00049,46.75/755.17G,23.42G
59/115,89.16367,0.41083,0.00048,46.07/755.17G,23.42G
60/115,89.34353,0.40029,0.00047,46.20/755.17G,23.42G
61/115,89.68076,0.38916,0.00045,46.56/755.17G,23.42G
62/115,89.77068,0.38571,0.00044,58.10/755.17G,23.42G
63/115,89.29856,0.3894,0.00043,50.42/755.17G,23.42G
64/115,89.86061,0.38288,0.00041,50.87/755.17G,23.42G
65/115,90.31025,0.36011,0.0004,50.67/755.17G,23.42G
66/115,90.33273,0.37296,0.00038,50.59/755.17G,23.42G
67/115,89.83813,0.38992,0.00037,50.79/755.17G,23.42G
68/115,90.06295,0.37551,0.00036,58.32/755.17G,23.42G
69/115,90.64748,0.35692,0.00035,51.45/755.17G,23.42G
70/115,90.98471,0.34128,0.00033,50.37/755.17G,23.42G
71/115,90.91727,0.33372,0.00032,51.02/755.17G,23.42G
72/115,90.96223,0.33736,0.00031,50.47/755.17G,23.42G
73/115,91.09712,0.3415,0.00029,51.42/755.17G,23.42G
74/115,90.73741,0.34389,0.00028,69.09/755.17G,23.42G
75/115,90.8723,0.34125,0.00027,63.82/755.17G,23.42G
76/115,91.09712,0.33056,0.00026,63.93/755.17G,23.42G
77/115,91.34442,0.32429,0.00025,51.52/755.17G,23.42G
78/115,90.98471,0.32823,0.00023,51.41/755.17G,23.42G
79/115,91.27698,0.32286,0.00022,60.61/755.17G,23.42G
80/115,91.90647,0.30373,0.00021,56.81/755.17G,23.42G
81/115,91.59173,0.31602,0.0002,51.02/755.17G,23.42G
82/115,92.06385,0.30879,0.00019,50.75/755.17G,23.42G
83/115,91.43435,0.32658,0.00018,57.64/755.17G,23.42G
84/115,91.90647,0.30538,0.00017,63.58/755.17G,23.42G
85/115,92.06385,0.29738,0.00016,51.14/755.17G,23.42G
86/115,91.41187,0.32049,0.00015,52.65/755.17G,23.42G
87/115,91.68165,0.31184,0.00014,55.26/755.17G,23.42G
88/115,92.58094,0.28175,0.00013,53.15/755.17G,23.42G
89/115,92.58094,0.29015,0.00012,52.45/755.17G,23.42G
90/115,91.92896,0.30688,0.00011,52.47/755.17G,23.42G
91/115,92.31115,0.29854,0.0001,50.30/755.17G,23.42G
92/115,92.53597,0.28699,0.0001,51.02/755.17G,23.42G
93/115,92.35612,0.29518,9e-05,62.50/755.17G,23.42G
94/115,92.13129,0.2896,8e-05,64.95/755.17G,23.42G
95/115,92.01888,0.29121,7e-05,71.57/755.17G,23.42G
96/115,92.35612,0.29603,7e-05,62.22/755.17G,23.42G
97/115,92.78327,0.27895,6e-05,62.65/755.17G,23.42G
98/115,92.53597,0.28486,5e-05,61.87/755.17G,23.42G
99/115,92.55845,0.27314,5e-05,62.52/755.17G,23.42G
100/115,93.05306,0.2702,4e-05,74.18/755.17G,23.42G
101/115,92.94065,0.27609,4e-05,60.44/755.17G,23.42G
102/115,92.91817,0.27943,3e-05,57.45/755.17G,23.42G
103/115,93.18795,0.27303,3e-05,58.63/755.17G,23.42G
104/115,93.14299,0.26784,2e-05,71.74/755.17G,23.42G
105/115,93.2554,0.25894,2e-05,59.57/755.17G,23.42G
106/115,92.96313,0.27512,2e-05,60.13/755.17G,23.42G
107/115,92.8732,0.27551,1e-05,61.68/755.17G,23.42G
108/115,92.76079,0.27788,1e-05,59.75/755.17G,23.42G
109/115,93.09802,0.26457,1e-05,59.59/755.17G,23.42G
110/115,93.16547,0.26841,0.0,60.83/755.17G,23.42G
111/115,92.58094,0.28591,0.0,60.47/755.17G,23.42G
112/115,92.91817,0.27386,0.0,61.05/755.17G,23.42G
113/115,93.27788,0.26919,0.0,60.11/755.17G,23.42G
114/115,93.90737,0.25575,0.0,61.10/755.17G,23.42G
115/115,92.91817,0.2782,0.0,60.88/755.17G,23.42G
