epoch,accuracy,loss,lr,RAM,gpu_mem
16/115,54.18165,0.55855,0.00095,40.66/755.17G,20.81G
17/115,66.23201,0.49123,0.00095,47.21/755.17G,22.13G
18/115,74.14568,0.41095,0.00094,47.14/755.17G,22.14G
19/115,76.52878,0.38431,0.00093,48.68/755.17G,22.14G
20/115,78.88939,0.35539,0.00093,47.70/755.17G,22.14G
21/115,78.88939,0.34802,0.00092,47.77/755.17G,23.47G
22/115,80.1259,0.33094,0.00091,47.26/755.17G,23.47G
23/115,80.71043,0.32854,0.0009,47.77/755.17G,23.47G
24/115,80.19335,0.33315,0.0009,48.13/755.17G,23.47G
25/115,81.40737,0.31852,0.00089,48.01/755.17G,23.47G
26/115,80.7554,0.32028,0.00088,48.05/755.17G,23.47G
27/115,82.48651,0.29654,0.00087,47.70/755.17G,23.47G
28/115,82.26169,0.29534,0.00086,47.98/755.17G,23.47G
29/115,83.09353,0.28726,0.00085,49.21/755.17G,23.47G
30/115,84.53237,0.27889,0.00084,48.26/755.17G,23.47G
31/115,84.33004,0.27262,0.00083,48.16/755.17G,23.47G
32/115,84.01529,0.27112,0.00082,48.26/755.17G,23.47G
33/115,84.73471,0.26016,0.00081,47.80/755.17G,23.47G
34/115,83.63309,0.27672,0.0008,48.00/755.17G,23.47G
35/115,85.61151,0.25024,0.00079,48.21/755.17G,23.47G
36/115,84.82464,0.26257,0.00078,47.95/755.17G,23.47G
37/115,85.88129,0.24146,0.00077,48.54/755.17G,23.47G
38/115,85.99371,0.24527,0.00075,48.37/755.17G,23.47G
39/115,85.88129,0.24829,0.00074,48.51/755.17G,23.47G
40/115,85.22932,0.25093,0.00073,48.53/755.17G,23.47G
41/115,85.65647,0.24195,0.00072,48.81/755.17G,23.47G
42/115,86.91547,0.22947,0.00071,47.81/755.17G,23.47G
43/115,86.96043,0.22679,0.00069,48.16/755.17G,23.47G
44/115,88.46673,0.20483,0.00068,47.82/755.17G,23.47G
45/115,88.3768,0.21377,0.00067,47.58/755.17G,23.47G
46/115,88.71403,0.1976,0.00065,48.04/755.17G,23.47G
47/115,87.88219,0.2115,0.00064,47.93/755.17G,23.47G
48/115,87.9946,0.20837,0.00063,48.38/755.17G,23.47G
49/115,86.8705,0.22722,0.00062,47.59/755.17G,23.47G
50/115,88.6241,0.19826,0.0006,48.15/755.17G,23.47G
51/115,89.47842,0.1867,0.00059,48.66/755.17G,23.47G
52/115,89.45594,0.18874,0.00057,47.92/755.17G,23.47G
53/115,89.92806,0.18305,0.00056,48.17/755.17G,23.47G
54/115,89.29856,0.18275,0.00055,47.93/755.17G,23.47G
55/115,89.77068,0.18146,0.00053,48.20/755.17G,23.47G
56/115,89.32104,0.18942,0.00052,48.15/755.17G,23.47G
57/115,90.58004,0.17502,0.00051,48.50/755.17G,23.47G
58/115,90.42266,0.17309,0.00049,47.81/755.17G,23.47G
59/115,90.71493,0.17115,0.00048,49.16/755.17G,23.47G
60/115,90.08543,0.17521,0.00047,48.60/755.17G,23.47G
61/115,90.3777,0.17108,0.00045,47.99/755.17G,23.47G
62/115,90.84982,0.1641,0.00044,48.62/755.17G,23.47G
63/115,90.96223,0.16156,0.00043,48.18/755.17G,23.47G
64/115,90.96223,0.16462,0.00041,48.85/755.17G,23.47G
65/115,91.32194,0.15864,0.0004,48.09/755.17G,23.47G
66/115,90.93975,0.16641,0.00038,48.33/755.17G,23.47G
67/115,91.27698,0.16061,0.00037,45.37/755.17G,23.47G
68/115,92.28867,0.14831,0.00036,45.66/755.17G,23.47G
69/115,91.65917,0.15479,0.00035,46.51/755.17G,23.47G
70/115,92.17626,0.14745,0.00033,46.30/755.17G,23.47G
71/115,91.92896,0.14554,0.00032,46.31/755.17G,23.47G
72/115,91.54676,0.15147,0.00031,45.84/755.17G,23.47G
73/115,91.88399,0.14752,0.00029,46.53/755.17G,23.47G
74/115,92.51349,0.1454,0.00028,45.80/755.17G,23.47G
75/115,92.73831,0.13494,0.00027,46.29/755.17G,23.47G
76/115,92.53597,0.14158,0.00026,46.21/755.17G,23.47G
77/115,93.30036,0.13254,0.00025,45.68/755.17G,23.47G
78/115,92.49101,0.14167,0.00023,45.74/755.17G,23.47G
79/115,92.58094,0.14284,0.00022,46.04/755.17G,23.47G
80/115,93.03058,0.13504,0.00021,45.32/755.17G,23.47G
81/115,92.60342,0.13832,0.0002,46.47/755.17G,23.47G
82/115,93.1205,0.13158,0.00019,47.39/755.17G,23.47G
83/115,93.2554,0.12948,0.00018,46.11/755.17G,23.48G
84/115,93.05306,0.1309,0.00017,46.78/755.17G,23.48G
85/115,93.75,0.12517,0.00016,46.69/755.17G,23.48G
86/115,93.59263,0.12275,0.00015,46.26/755.17G,23.48G
87/115,93.32284,0.13263,0.00014,46.24/755.17G,23.48G
88/115,93.75,0.11875,0.00013,45.86/755.17G,23.48G
89/115,93.32284,0.13329,0.00012,45.79/755.17G,23.48G
90/115,93.54766,0.12639,0.00011,46.13/755.17G,23.48G
91/115,93.63759,0.12488,0.0001,45.75/755.17G,23.48G
92/115,93.54766,0.12543,0.0001,46.46/755.17G,23.48G
