epoch,accuracy,loss,lr,RAM,gpu_mem
16/115,50.15737,0.57042,0.00095,59.11/755.17G,21.10G
17/115,54.42896,0.55747,0.00095,62.88/755.17G,22.43G
18/115,59.19514,0.53814,0.00094,76.77/755.17G,22.43G
19/115,66.59173,0.49808,0.00093,69.46/755.17G,22.43G
20/115,71.94245,0.45254,0.00093,61.73/755.17G,22.43G
21/115,74.48291,0.42661,0.00092,63.63/755.17G,22.44G
22/115,75.35971,0.40827,0.00091,63.40/755.17G,23.76G
23/115,74.91007,0.41513,0.0009,87.78/755.17G,23.76G
24/115,77.72032,0.38675,0.0009,63.63/755.17G,23.76G
25/115,78.77698,0.37784,0.00089,80.22/755.17G,23.76G
26/115,80.01349,0.3561,0.00088,63.61/755.17G,23.76G
27/115,80.39568,0.34656,0.00087,84.03/755.17G,23.76G
28/115,80.7554,0.33904,0.00086,64.32/755.17G,23.76G
29/115,80.6205,0.33698,0.00085,87.32/755.17G,23.76G
30/115,80.77788,0.33377,0.00084,63.92/755.17G,23.76G
31/115,81.04766,0.33874,0.00083,63.96/755.17G,23.76G
32/115,81.02518,0.32925,0.00082,63.37/755.17G,23.76G
33/115,82.14928,0.31059,0.00081,63.49/755.17G,23.76G
34/115,82.80126,0.30778,0.0008,63.31/755.17G,23.76G
35/115,83.92536,0.29081,0.00079,63.54/755.17G,23.76G
36/115,84.06025,0.28954,0.00078,62.99/755.17G,23.76G
37/115,84.53237,0.28382,0.00077,75.31/755.17G,23.76G
38/115,83.67806,0.28691,0.00075,63.80/755.17G,23.76G
39/115,84.24011,0.28206,0.00074,63.78/755.17G,23.76G
40/115,84.39748,0.27906,0.00073,62.60/755.17G,23.76G
41/115,85.11691,0.26405,0.00072,64.30/755.17G,23.76G
42/115,86.15108,0.26002,0.00071,65.50/755.17G,23.76G
43/115,84.80216,0.26513,0.00069,65.22/755.17G,23.76G
44/115,85.63399,0.26377,0.00068,87.10/755.17G,23.76G
45/115,85.45414,0.25231,0.00067,77.48/755.17G,23.77G
46/115,86.8705,0.24905,0.00065,75.76/755.17G,23.77G
47/115,86.53327,0.23924,0.00064,64.51/755.17G,23.77G
48/115,86.44335,0.24776,0.00063,63.15/755.17G,23.77G
49/115,86.1286,0.24441,0.00062,87.43/755.17G,23.77G
50/115,86.98291,0.23774,0.0006,63.45/755.17G,23.77G
51/115,87.97212,0.22439,0.00059,64.60/755.17G,23.77G
52/115,86.8705,0.24044,0.00057,64.84/755.17G,23.77G
53/115,87.16277,0.22929,0.00056,64.07/755.17G,23.77G
54/115,87.81475,0.22376,0.00055,64.35/755.17G,23.77G
55/115,86.98291,0.23619,0.00053,64.64/755.17G,23.77G
56/115,88.91637,0.20897,0.00052,66.87/755.17G,23.77G
57/115,87.90468,0.22368,0.00051,65.06/755.17G,23.77G
58/115,87.92716,0.22201,0.00049,87.91/755.17G,23.77G
59/115,88.60162,0.2179,0.00048,64.72/755.17G,23.77G
60/115,88.66906,0.21304,0.00047,62.35/755.17G,23.77G
61/115,88.3768,0.2126,0.00045,65.70/755.17G,23.77G
