epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,54.54137,0.57126,0.00099,60.10/755.17G,21.04G
17/215,63.60162,0.51594,0.00098,61.77/755.17G,22.62G
18/215,70.7509,0.46065,0.00098,61.54/755.17G,22.62G
19/215,75.15737,0.41073,0.00098,61.74/755.17G,22.62G
20/215,76.84353,0.3879,0.00098,62.50/755.17G,22.62G
21/215,77.47302,0.38054,0.00098,73.96/755.17G,22.62G
22/215,79.4964,0.34747,0.00097,75.97/755.17G,22.62G
23/215,80.95773,0.3242,0.00097,63.81/755.17G,22.62G
24/215,80.77788,0.3298,0.00097,63.78/755.17G,24.20G
25/215,80.50809,0.32708,0.00097,64.61/755.17G,24.20G
26/215,80.26079,0.32334,0.00096,79.27/755.17G,24.20G
27/215,80.64299,0.32582,0.00096,65.33/755.17G,24.20G
28/215,82.48651,0.30115,0.00096,70.35/755.17G,24.20G
29/215,82.53147,0.30024,0.00096,62.37/755.17G,24.20G
30/215,84.48741,0.27355,0.00095,65.49/755.17G,24.20G
31/215,83.47572,0.28346,0.00095,77.71/755.17G,24.20G
32/215,85.54406,0.25689,0.00095,66.19/755.17G,24.20G
33/215,85.34173,0.25928,0.00094,66.15/755.17G,24.20G
34/215,85.76888,0.2461,0.00094,86.81/755.17G,24.20G
35/215,84.95953,0.25915,0.00094,64.24/755.17G,24.20G
36/215,85.29676,0.24942,0.00093,63.95/755.17G,24.20G
37/215,86.53327,0.23627,0.00093,87.86/755.17G,24.20G
38/215,86.69065,0.2326,0.00092,62.81/755.17G,24.20G
39/215,86.96043,0.22788,0.00092,74.76/755.17G,24.20G
40/215,85.99371,0.24205,0.00092,63.58/755.17G,24.20G
41/215,88.17446,0.21504,0.00091,63.54/755.17G,24.20G
42/215,88.53417,0.20669,0.00091,64.81/755.17G,24.20G
43/215,88.48921,0.2043,0.0009,66.36/755.17G,24.20G
44/215,89.02878,0.19428,0.0009,65.69/755.17G,24.20G
45/215,87.5,0.21609,0.0009,75.83/755.17G,24.20G
46/215,88.73651,0.1976,0.00089,64.72/755.17G,24.20G
47/215,89.68076,0.19035,0.00089,66.47/755.17G,24.20G
48/215,89.9955,0.18507,0.00088,70.95/755.17G,24.20G
49/215,89.77068,0.18701,0.00088,65.45/755.17G,24.20G
50/215,90.31025,0.1771,0.00087,64.19/755.17G,24.20G
51/215,90.19784,0.18476,0.00087,63.96/755.17G,24.20G
52/215,90.51259,0.17061,0.00086,64.67/755.17G,24.20G
53/215,90.55755,0.17608,0.00086,74.77/755.17G,24.20G
54/215,90.96223,0.17186,0.00085,86.73/755.17G,24.20G
55/215,90.73741,0.17408,0.00085,62.50/755.17G,24.20G
56/215,90.10791,0.18191,0.00084,76.77/755.17G,24.20G
57/215,91.00719,0.17018,0.00084,64.74/755.17G,24.20G
58/215,91.38939,0.15937,0.00083,53.89/755.17G,24.20G
59/215,91.56924,0.16136,0.00083,63.57/755.17G,24.20G
60/215,91.02968,0.16735,0.00082,53.40/755.17G,24.20G
61/215,91.54676,0.15823,0.00081,40.09/755.17G,24.20G
62/215,91.1196,0.15369,0.00081,39.85/755.17G,24.20G
63/215,91.83903,0.15823,0.0008,40.82/755.17G,24.20G
64/215,91.77158,0.15031,0.0008,39.84/755.17G,24.20G
65/215,91.00719,0.1673,0.00079,40.16/755.17G,24.20G
66/215,91.9964,0.1475,0.00078,39.96/755.17G,24.20G
67/215,92.10881,0.14737,0.00078,38.20/755.17G,24.20G
68/215,92.06385,0.14949,0.00077,38.21/755.17G,24.20G
69/215,89.97302,0.18882,0.00077,38.53/755.17G,24.20G
70/215,91.97392,0.15233,0.00076,38.36/755.17G,24.20G
71/215,91.97392,0.15355,0.00075,37.54/755.17G,24.20G
72/215,91.90647,0.15295,0.00075,38.50/755.17G,24.20G
73/215,92.85072,0.13004,0.00074,38.56/755.17G,24.20G
74/215,91.9964,0.14791,0.00074,38.22/755.17G,24.20G
75/215,92.55845,0.14393,0.00073,38.41/755.17G,24.20G
76/215,93.21043,0.13497,0.00072,38.69/755.17G,24.20G
77/215,93.16547,0.13503,0.00072,38.41/755.17G,24.20G
78/215,92.78327,0.14124,0.00071,37.81/755.17G,24.20G
79/215,93.18795,0.14316,0.0007,38.71/755.17G,24.20G
80/215,93.59263,0.13278,0.0007,38.59/755.17G,24.20G
81/215,93.34532,0.13496,0.00069,38.04/755.17G,24.20G
82/215,93.81745,0.12922,0.00068,39.21/755.17G,24.20G
83/215,93.9973,0.1248,0.00068,38.27/755.17G,24.20G
84/215,93.18795,0.13838,0.00067,37.83/755.17G,24.20G
85/215,92.78327,0.14475,0.00066,38.43/755.17G,24.20G
86/215,93.61511,0.12969,0.00065,38.68/755.17G,24.20G
87/215,93.75,0.12876,0.00065,37.84/755.17G,24.20G
88/215,90.91727,0.17339,0.00064,38.07/755.17G,24.20G
89/215,93.43525,0.13016,0.00063,38.42/755.17G,24.20G
90/215,93.41277,0.12853,0.00063,38.92/755.17G,24.20G
91/215,93.45773,0.13679,0.00062,38.07/755.17G,24.20G
92/215,93.83993,0.11776,0.00061,38.63/755.17G,24.20G
93/215,94.10971,0.11896,0.00061,39.91/755.17G,24.20G
94/215,93.95234,0.12248,0.0006,46.00/755.17G,24.20G
95/215,94.31205,0.1244,0.00059,45.35/755.17G,24.20G
96/215,94.3795,0.11855,0.00058,45.60/755.17G,24.20G
97/215,94.40198,0.12042,0.00058,46.35/755.17G,24.20G
98/215,94.42446,0.1168,0.00057,46.58/755.17G,24.20G
99/215,94.46942,0.11206,0.00056,45.50/755.17G,24.20G
100/215,94.44694,0.11491,0.00055,46.64/755.17G,24.20G
101/215,94.89658,0.11345,0.00055,38.76/755.17G,24.20G
102/215,94.96403,0.11084,0.00054,38.29/755.17G,24.20G
103/215,94.94155,0.10366,0.00053,38.65/755.17G,24.20G
104/215,94.69424,0.11406,0.00053,39.58/755.17G,24.20G
105/215,94.40198,0.11668,0.00052,39.76/755.17G,24.20G
106/215,94.8741,0.10742,0.00051,39.89/755.17G,24.20G
107/215,95.00899,0.10975,0.0005,39.75/755.17G,24.20G
108/215,93.66007,0.13419,0.0005,40.64/755.17G,24.20G
109/215,94.76169,0.11041,0.00049,39.58/755.17G,24.20G
110/215,95.48112,0.09733,0.00048,39.74/755.17G,24.20G
111/215,95.27878,0.10929,0.00047,40.17/755.17G,24.20G
112/215,95.43615,0.10747,0.00047,40.30/755.17G,24.20G
113/215,95.32374,0.10707,0.00046,41.32/755.17G,24.20G
114/215,94.8741,0.11696,0.00045,41.92/755.17G,24.20G
115/215,95.21133,0.11172,0.00045,41.27/755.17G,24.20G
