epoch,accuracy,loss,lr,RAM,gpu_mem
124/350,88.30645,0.28667,0.00072,114.76/755.17G,21.35G
125/350,91.53226,0.21641,0.00072,116.21/755.17G,22.69G
126/350,93.75,0.15841,0.00071,115.95/755.17G,24.02G
127/350,91.53226,0.21328,0.00071,115.96/755.17G,24.02G
128/350,94.15323,0.14801,0.0007,116.28/755.17G,24.02G
129/350,93.54839,0.16918,0.0007,115.73/755.17G,24.02G
130/350,94.75806,0.12571,0.0007,116.13/755.17G,24.02G
131/350,94.75806,0.1324,0.00069,116.09/755.17G,25.34G
132/350,95.56452,0.12609,0.00069,116.04/755.17G,25.34G
133/350,94.95968,0.12134,0.00068,115.74/755.17G,25.35G
134/350,93.75,0.15846,0.00068,115.70/755.17G,25.35G
135/350,95.76613,0.10845,0.00068,116.11/755.17G,26.68G
136/350,92.54032,0.16093,0.00067,116.03/755.17G,26.68G
137/350,95.3629,0.11903,0.00067,115.77/755.17G,26.68G
138/350,96.37097,0.09615,0.00066,116.22/755.17G,26.68G
139/350,94.35484,0.1252,0.00066,115.81/755.17G,28.01G
140/350,95.76613,0.11327,0.00065,116.45/755.17G,28.01G
141/350,95.56452,0.11067,0.00065,116.21/755.17G,28.01G
142/350,95.16129,0.11752,0.00065,116.33/755.17G,28.01G
143/350,96.57258,0.09232,0.00064,115.50/755.17G,28.01G
144/350,96.16935,0.09953,0.00064,115.31/755.17G,28.01G
145/350,95.16129,0.13219,0.00063,116.23/755.17G,28.01G
146/350,96.16935,0.09452,0.00063,115.95/755.17G,28.01G
147/350,95.56452,0.11324,0.00062,115.89/755.17G,28.01G
148/350,96.77419,0.0749,0.00062,116.13/755.17G,28.01G
149/350,96.57258,0.0846,0.00062,115.37/755.17G,28.01G
150/350,96.97581,0.06558,0.00061,115.40/755.17G,28.01G
151/350,95.3629,0.11984,0.00061,115.01/755.17G,28.01G
152/350,96.57258,0.09249,0.0006,115.41/755.17G,28.01G
153/350,97.58065,0.07656,0.0006,115.20/755.17G,28.01G
154/350,97.78226,0.06885,0.00059,115.49/755.17G,28.01G
155/350,97.17742,0.06264,0.00059,116.16/755.17G,28.01G
156/350,96.77419,0.08368,0.00059,115.64/755.17G,28.01G
157/350,96.77419,0.10133,0.00058,115.23/755.17G,28.01G
158/350,97.17742,0.08169,0.00058,115.26/755.17G,28.01G
159/350,97.58065,0.06008,0.00057,115.26/755.17G,28.01G
160/350,97.98387,0.05943,0.00057,115.44/755.17G,28.01G
161/350,97.37903,0.06774,0.00056,115.90/755.17G,28.01G
162/350,96.57258,0.09093,0.00056,115.70/755.17G,28.01G
163/350,97.78226,0.05192,0.00055,115.69/755.17G,28.01G
164/350,98.58871,0.05181,0.00055,115.74/755.17G,28.01G
165/350,96.97581,0.09601,0.00054,115.80/755.17G,28.01G
166/350,97.17742,0.08362,0.00054,115.95/755.17G,28.01G
167/350,95.56452,0.12847,0.00054,115.95/755.17G,28.01G
168/350,97.37903,0.081,0.00053,115.97/755.17G,28.01G
169/350,98.18548,0.04593,0.00053,116.12/755.17G,28.01G
170/350,97.78226,0.06423,0.00052,116.36/755.17G,28.01G
171/350,97.58065,0.07578,0.00052,115.33/755.17G,28.01G
172/350,97.58065,0.06905,0.00051,115.83/755.17G,28.01G
173/350,97.17742,0.07854,0.00051,115.86/755.17G,28.01G
174/350,97.58065,0.07041,0.0005,115.34/755.17G,28.01G
175/350,98.58871,0.0458,0.0005,115.59/755.17G,28.01G
176/350,98.58871,0.03133,0.0005,115.56/755.17G,28.01G
177/350,98.58871,0.04431,0.00049,115.27/755.17G,28.01G
178/350,97.78226,0.05136,0.00049,115.20/755.17G,28.01G
