epoch,accuracy,loss,lr,RAM,gpu_mem
16/350,72.58065,0.44075,0.00099,7.75/165.03G,21.35G
17/350,79.83871,0.3955,0.00099,9.69/165.03G,22.69G
18/350,79.6371,0.38773,0.00099,10.13/165.03G,22.69G
19/350,81.04839,0.37723,0.00099,9.31/165.03G,22.69G
20/350,80.24194,0.38943,0.00099,10.00/165.03G,22.69G
21/350,80.44355,0.36449,0.00099,10.00/165.03G,24.01G
22/350,81.04839,0.37547,0.00099,10.26/165.03G,24.01G
23/350,80.44355,0.35918,0.00099,9.81/165.03G,24.01G
24/350,79.83871,0.36805,0.00099,10.36/165.03G,24.01G
25/350,82.05645,0.35805,0.00099,9.69/165.03G,25.34G
26/350,81.85484,0.35833,0.00099,10.12/165.03G,25.34G
27/350,82.25806,0.35316,0.00099,9.89/165.03G,25.34G
28/350,82.45968,0.36603,0.00098,9.86/165.03G,25.34G
29/350,81.65323,0.36315,0.00098,9.45/165.03G,26.68G
30/350,82.8629,0.34815,0.00098,9.74/165.03G,26.68G
31/350,82.25806,0.34055,0.00098,9.73/165.03G,26.68G
