epoch,accuracy,loss,lr,RAM,gpu_mem
16/215,51.91327,0.58983,0.00099,59.66/755.17G,21.35G
17/215,50.63776,0.59576,0.00098,71.79/755.17G,22.68G
18/215,55.42092,0.57275,0.00098,76.78/755.17G,22.68G
19/215,55.86735,0.57144,0.00098,62.00/755.17G,22.68G
20/215,61.47959,0.52597,0.00098,72.04/755.17G,24.01G
21/215,67.34694,0.48735,0.00098,74.02/755.17G,24.01G
22/215,68.68622,0.47158,0.00097,81.11/755.17G,24.01G
23/215,69.64286,0.45109,0.00097,71.29/755.17G,24.01G
24/215,72.06633,0.44483,0.00097,79.01/755.17G,24.01G
25/215,73.78827,0.41449,0.00097,57.41/755.17G,24.01G
26/215,73.59694,0.42505,0.00096,79.54/755.17G,24.01G
27/215,71.42857,0.42446,0.00096,63.80/755.17G,24.01G
28/215,73.21429,0.4204,0.00096,74.31/755.17G,24.01G
29/215,72.1301,0.42451,0.00096,74.96/755.17G,24.01G
30/215,73.91582,0.39838,0.00095,78.09/755.17G,24.01G
31/215,74.4898,0.39317,0.00095,58.31/755.17G,24.01G
32/215,74.80867,0.39269,0.00095,69.29/755.17G,24.01G
33/215,74.4898,0.39851,0.00094,66.02/755.17G,24.01G
34/215,76.97704,0.37187,0.00094,75.64/755.17G,24.01G
35/215,76.65816,0.38175,0.00094,67.42/755.17G,24.01G
36/215,76.33929,0.37815,0.00093,58.74/755.17G,24.01G
37/215,77.29592,0.36228,0.00093,74.39/755.17G,24.01G
38/215,76.72194,0.36245,0.00092,62.98/755.17G,24.01G
39/215,77.93367,0.35595,0.00092,80.26/755.17G,24.01G
40/215,77.23214,0.36258,0.00092,71.27/755.17G,24.01G
41/215,76.91327,0.35853,0.00091,66.60/755.17G,24.01G
42/215,78.18878,0.36053,0.00091,58.96/755.17G,24.01G
43/215,77.42347,0.35887,0.0009,76.07/755.17G,24.01G
44/215,77.16837,0.36941,0.0009,64.72/755.17G,24.01G
45/215,77.16837,0.36046,0.0009,76.92/755.17G,24.01G
46/215,79.08163,0.33708,0.00089,60.73/755.17G,24.01G
47/215,79.01786,0.33317,0.00089,73.67/755.17G,25.34G
48/215,77.29592,0.34905,0.00088,58.67/755.17G,25.34G
49/215,78.95408,0.35006,0.00088,59.81/755.17G,25.34G
50/215,79.91071,0.32371,0.00087,73.77/755.17G,25.35G
51/215,80.22959,0.32248,0.00087,58.67/755.17G,25.35G
52/215,80.67602,0.32088,0.00086,72.38/755.17G,25.35G
53/215,78.44388,0.34004,0.00086,78.13/755.17G,25.35G
54/215,77.99745,0.33056,0.00085,61.93/755.17G,25.35G
55/215,77.8699,0.34231,0.00085,70.34/755.17G,25.35G
56/215,81.05867,0.30927,0.00084,59.60/755.17G,25.35G
57/215,81.69643,0.30885,0.00084,73.31/755.17G,25.35G
58/215,82.27041,0.30449,0.00083,58.67/755.17G,25.35G
59/215,82.65306,0.29239,0.00083,73.18/755.17G,25.35G
60/215,81.88776,0.30691,0.00082,58.64/755.17G,25.35G
61/215,81.69643,0.29355,0.00081,72.70/755.17G,25.35G
62/215,82.65306,0.30407,0.00081,58.58/755.17G,25.35G
63/215,82.07908,0.29933,0.0008,69.19/755.17G,25.35G
64/215,82.97194,0.28173,0.0008,58.73/755.17G,25.35G
65/215,83.8648,0.2915,0.00079,75.30/755.17G,25.35G
66/215,83.09949,0.27925,0.00079,65.24/755.17G,25.35G
67/215,84.1199,0.27598,0.00078,76.64/755.17G,25.35G
68/215,84.69388,0.27524,0.00077,67.10/755.17G,25.35G
69/215,83.41837,0.28551,0.00077,59.33/755.17G,25.35G
70/215,80.7398,0.30446,0.00076,73.71/755.17G,25.35G
71/215,83.60969,0.28549,0.00075,61.11/755.17G,25.35G
72/215,83.80102,0.28688,0.00075,76.58/755.17G,25.35G
73/215,84.69388,0.26902,0.00074,62.89/755.17G,25.35G
74/215,82.58929,0.29306,0.00074,58.80/755.17G,25.35G
75/215,83.41837,0.27118,0.00073,75.46/755.17G,25.35G
76/215,84.375,0.2751,0.00072,62.55/755.17G,25.35G
77/215,84.56633,0.26224,0.00072,80.58/755.17G,25.35G
78/215,85.07653,0.26292,0.00071,68.06/755.17G,25.35G
79/215,84.05612,0.26185,0.0007,58.57/755.17G,25.35G
80/215,83.67347,0.27768,0.0007,77.63/755.17G,25.35G
81/215,85.07653,0.26049,0.00069,64.27/755.17G,25.35G
82/215,85.45918,0.24498,0.00068,76.35/755.17G,25.35G
83/215,85.58673,0.25625,0.00068,59.03/755.17G,25.35G
84/215,85.84184,0.26106,0.00067,77.60/755.17G,25.35G
85/215,85.84184,0.24999,0.00066,64.54/755.17G,25.35G
86/215,85.71429,0.25107,0.00065,78.41/755.17G,25.35G
87/215,85.65051,0.25624,0.00065,65.32/755.17G,25.35G
88/215,84.6301,0.2746,0.00064,78.34/755.17G,25.35G
89/215,85.71429,0.25274,0.00063,61.58/755.17G,25.35G
90/215,85.26786,0.24414,0.00063,78.20/755.17G,25.35G
91/215,85.96939,0.24439,0.00062,67.16/755.17G,25.35G
92/215,85.52296,0.24893,0.00061,62.29/755.17G,25.35G
93/215,86.86224,0.23459,0.00061,59.07/755.17G,25.35G
94/215,85.77806,0.24625,0.0006,77.08/755.17G,25.35G
95/215,84.24745,0.25899,0.00059,67.73/755.17G,25.35G
96/215,86.28827,0.24338,0.00058,58.80/755.17G,25.35G
97/215,86.73469,0.23658,0.00058,78.21/755.17G,25.35G
98/215,86.22449,0.24691,0.00057,64.81/755.17G,25.35G
99/215,85.90561,0.24626,0.00056,62.26/755.17G,25.35G
100/215,85.84184,0.24369,0.00055,74.57/755.17G,25.35G
101/215,85.07653,0.25533,0.00055,58.94/755.17G,25.35G
102/215,86.67092,0.25069,0.00054,68.49/755.17G,25.35G
103/215,87.5,0.22421,0.00053,58.75/755.17G,25.35G
104/215,87.11735,0.22672,0.00053,75.08/755.17G,25.35G
105/215,86.67092,0.24058,0.00052,66.35/755.17G,25.35G
106/215,87.37245,0.22602,0.00051,58.37/755.17G,25.35G
107/215,86.92602,0.22313,0.0005,70.08/755.17G,25.35G
108/215,86.92602,0.22644,0.0005,58.98/755.17G,25.35G
109/215,88.77551,0.20289,0.00049,78.26/755.17G,25.35G
110/215,88.13776,0.22087,0.00048,62.14/755.17G,25.35G
111/215,87.81888,0.21011,0.00047,79.31/755.17G,25.35G
112/215,88.83929,0.19712,0.00047,64.88/755.17G,25.35G
113/215,89.09439,0.20132,0.00046,80.75/755.17G,25.35G
114/215,88.32908,0.21037,0.00045,70.54/755.17G,25.35G
115/215,89.34949,0.20233,0.00045,80.53/755.17G,25.35G
116/215,88.58418,0.20592,0.00044,67.45/755.17G,25.35G
117/215,89.15816,0.20125,0.00043,79.77/755.17G,25.35G
118/215,89.03061,0.20168,0.00042,60.02/755.17G,25.35G
119/215,88.96684,0.18854,0.00042,78.34/755.17G,25.35G
120/215,89.28571,0.19928,0.00041,63.07/755.17G,25.35G
121/215,89.22194,0.19829,0.0004,71.85/755.17G,25.35G
122/215,89.34949,0.18603,0.00039,59.01/755.17G,25.35G
123/215,89.03061,0.19959,0.00039,67.70/755.17G,25.35G
124/215,88.71173,0.20227,0.00038,78.06/755.17G,25.35G
125/215,88.39286,0.19658,0.00037,63.06/755.17G,25.35G
126/215,89.54082,0.18397,0.00037,69.78/755.17G,25.35G
127/215,89.73214,0.19464,0.00036,71.39/755.17G,25.35G
128/215,88.77551,0.20077,0.00035,71.63/755.17G,25.35G
129/215,89.79592,0.18857,0.00035,70.95/755.17G,25.35G
130/215,88.90306,0.20432,0.00034,75.59/755.17G,25.35G
131/215,89.41327,0.19196,0.00033,59.60/755.17G,25.35G
132/215,88.90306,0.19484,0.00032,59.41/755.17G,25.35G
133/215,89.34949,0.19184,0.00032,61.04/755.17G,25.35G
134/215,90.17857,0.18335,0.00031,63.52/755.17G,25.35G
135/215,90.17857,0.17388,0.0003,70.46/755.17G,25.35G
136/215,90.49745,0.18269,0.0003,76.79/755.17G,25.35G
137/215,89.98724,0.18492,0.00029,58.73/755.17G,25.35G
138/215,90.05102,0.19106,0.00028,58.65/755.17G,25.35G
139/215,89.47704,0.18775,0.00028,76.24/755.17G,25.35G
140/215,91.19898,0.1707,0.00027,59.16/755.17G,25.35G
141/215,90.68878,0.17641,0.00026,58.57/755.17G,25.35G
142/215,89.85969,0.1935,0.00026,60.27/755.17G,25.35G
143/215,91.00765,0.17064,0.00025,67.25/755.17G,25.35G
144/215,90.625,0.18701,0.00025,73.18/755.17G,25.35G
145/215,90.17857,0.17963,0.00024,77.40/755.17G,25.35G
146/215,89.85969,0.18746,0.00023,78.92/755.17G,25.35G
147/215,91.26276,0.16433,0.00023,74.29/755.17G,25.35G
148/215,90.17857,0.18841,0.00022,58.60/755.17G,25.35G
149/215,89.09439,0.19211,0.00022,59.24/755.17G,25.35G
150/215,89.98724,0.18473,0.00021,63.10/755.17G,25.35G
151/215,90.1148,0.17121,0.0002,60.71/755.17G,25.35G
152/215,91.39031,0.17096,0.0002,66.35/755.17G,25.35G
153/215,90.05102,0.18485,0.00019,68.39/755.17G,25.35G
154/215,90.49745,0.18056,0.00019,74.67/755.17G,25.35G
155/215,90.81633,0.17315,0.00018,75.47/755.17G,25.35G
156/215,91.26276,0.16884,0.00017,78.27/755.17G,25.35G
157/215,89.98724,0.17986,0.00017,58.89/755.17G,25.35G
158/215,90.94388,0.16534,0.00016,58.99/755.17G,25.35G
159/215,90.625,0.17419,0.00016,62.51/755.17G,25.35G
